Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.14,0.20,0.14,0.14,000,0.14
2011-08-15,0.14,0.14,0.14,0.14,000,0.14
2011-08-12,0.17,0.19,0.17,0.17,000,0.17
2011-08-11,0.14,0.19,0.14,0.14,000,0.14
2011-08-10,0.19,0.19,0.19,0.19,1000,0.19
2011-08-08,0.19,0.19,0.19,0.19,5000,0.19
2011-08-05,0.19,0.19,0.19,0.19,20000,0.19
2011-08-04,0.19,0.21,0.19,0.19,000,0.19
2011-08-03,0.19,0.21,0.19,0.19,000,0.19
2011-08-02,0.19,0.21,0.19,0.19,000,0.19
2011-08-01,0.19,0.21,0.19,0.19,000,0.19
2011-07-29,0.19,0.21,0.19,0.19,000,0.19
2011-07-28,0.19,0.20,0.19,0.19,000,0.19
2011-07-27,0.19,0.21,0.19,0.19,000,0.19
2011-07-26,0.20,0.20,0.19,0.20,15000,0.20
