Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.08,0.09,0.08,0.09,30000,0.09
2011-08-15,0.07,0.10,0.07,0.07,000,0.07
2011-08-12,0.07,0.09,0.07,0.07,000,0.07
2011-08-11,0.08,0.10,0.08,0.08,000,0.08
2011-08-10,0.08,0.09,0.08,0.08,000,0.08
2011-08-08,0.09,0.09,0.08,0.09,99000,0.09
2011-08-05,0.08,0.09,0.08,0.09,51000,0.09
2011-08-04,0.08,0.09,0.08,0.08,000,0.08
2011-08-03,0.08,0.09,0.08,0.08,000,0.08
2011-08-02,0.08,0.09,0.08,0.08,000,0.08
2011-08-01,0.08,0.09,0.08,0.08,000,0.08
2011-07-29,0.08,0.09,0.08,0.08,000,0.08
2011-07-28,0.08,0.09,0.08,0.08,000,0.08
2011-07-27,0.08,0.09,0.08,0.08,000,0.08
2011-07-26,0.08,0.09,0.08,0.08,000,0.08
2011-07-25,0.08,0.09,0.08,0.08,000,0.08
2011-07-22,0.08,0.09,0.08,0.08,000,0.08
2011-07-21,0.09,0.09,0.09,0.09,10000,0.09
