Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.14,0.18,0.14,0.14,000,0.14
2011-08-15,0.14,0.18,0.14,0.14,000,0.14
2011-08-12,0.14,0.18,0.14,0.14,000,0.14
2011-08-11,0.14,0.17,0.14,0.14,000,0.14
2011-08-10,0.14,0.18,0.14,0.14,000,0.14
2011-08-08,0.14,0.18,0.14,0.14,000,0.14
2011-08-05,0.14,0.18,0.14,0.14,000,0.14
2011-08-04,0.16,0.18,0.16,0.16,000,0.16
2011-08-03,0.16,0.18,0.16,0.16,000,0.16
2011-08-02,0.14,0.18,0.14,0.14,000,0.14
2011-08-01,0.14,0.19,0.14,0.14,000,0.14
2011-07-29,0.14,0.18,0.14,0.14,000,0.14
2011-07-28,0.14,0.18,0.14,0.14,000,0.14
2011-07-27,0.14,0.19,0.14,0.14,000,0.14
2011-07-26,0.16,0.19,0.16,0.16,000,0.16
2011-07-25,0.16,0.19,0.16,0.16,000,0.16
2011-07-22,0.15,0.17,0.15,0.15,000,0.15
2011-07-21,0.16,0.18,0.16,0.18,110000,0.18
