Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,0.02,0.02,0.02,0.02,000,0.02
2011-08-01,0.01,0.01,0.01,0.01,000,0.01
2011-07-25,0.01,0.01,0.01,0.01,000,0.01
2011-07-22,0.02,0.02,0.02,0.02,000,0.02
2011-07-21,0.02,0.02,0.02,0.02,000,0.02
2011-07-11,0.02,0.02,0.02,0.02,000,0.02
2011-07-08,0.02,0.02,0.02,0.02,000,0.02
2011-07-05,0.02,0.02,0.02,0.02,000,0.02
2011-06-28,0.03,0.03,0.03,0.03,000,0.03
2011-06-22,0.02,0.02,0.02,0.02,000,0.02
2011-06-20,0.03,0.03,0.03,0.03,000,0.03
2011-06-13,0.03,0.03,0.03,0.03,000,0.03
2011-06-09,0.02,0.02,0.02,0.02,000,0.02
2011-06-01,0.04,0.04,0.04,0.04,000,0.04
2011-05-31,0.04,0.04,0.04,0.04,000,0.04
2011-05-27,0.02,0.02,0.02,0.02,000,0.02
2011-05-26,0.02,0.02,0.02,0.02,000,0.02
2011-05-18,0.02,0.02,0.02,0.02,000,0.02
2011-05-16,0.03,0.03,0.03,0.03,000,0.03
2011-05-11,0.02,0.02,0.02,0.02,000,0.02
2011-05-10,0.02,0.02,0.02,0.02,000,0.02
2011-05-09,0.02,0.02,0.02,0.02,000,0.02
2011-05-03,0.04,0.04,0.04,0.04,000,0.04
2011-04-26,0.04,0.04,0.04,0.04,000,0.04
2011-04-25,0.04,0.04,0.04,0.04,000,0.04
2011-04-21,0.02,0.02,0.02,0.02,000,0.02
2011-04-20,0.02,0.02,0.02,0.02,000,0.02
2011-04-19,0.01,0.01,0.01,0.01,000,0.01
2011-04-18,0.02,0.02,0.02,0.02,000,0.02
2011-04-15,0.01,0.01,0.01,0.01,000,0.01
2011-04-14,0.02,0.02,0.02,0.02,000,0.02
2011-04-13,0.02,0.02,0.02,0.02,000,0.02
2011-04-12,0.02,0.02,0.02,0.02,000,0.02
2011-04-11,0.02,0.02,0.02,0.02,000,0.02
2011-04-08,0.02,0.02,0.02,0.02,000,0.02
2011-04-07,0.02,0.02,0.02,0.02,000,0.02
2011-04-06,0.02,0.02,0.02,0.02,000,0.02
2011-04-05,0.02,0.02,0.02,0.02,000,0.02
2011-04-04,0.02,0.02,0.02,0.02,000,0.02
2011-04-01,0.02,0.02,0.02,0.02,000,0.02
2011-03-31,0.02,0.02,0.02,0.02,000,0.02
2011-03-30,0.02,0.02,0.02,0.02,000,0.02
2011-03-29,0.03,0.03,0.03,0.03,000,0.03
