Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.27,0.27,0.27,0.27,1000,0.27
2011-08-15,0.27,0.28,0.27,0.27,000,0.27
2011-08-12,0.17,0.28,0.17,0.17,000,0.17
2011-08-11,0.17,0.17,0.17,0.17,000,0.17
2011-08-10,0.20,0.26,0.20,0.20,000,0.20
2011-08-08,0.17,0.23,0.17,0.17,000,0.17
2011-08-05,0.17,0.30,0.17,0.17,000,0.17
2011-08-04,0.20,0.26,0.20,0.20,000,0.20
2011-08-03,0.19,0.28,0.19,0.19,000,0.19
2011-08-02,0.21,0.28,0.21,0.21,000,0.21
2011-08-01,0.20,0.28,0.20,0.20,000,0.20
2011-07-29,0.21,0.27,0.21,0.21,000,0.21
2011-07-28,0.20,0.28,0.20,0.20,000,0.20
2011-07-27,0.18,0.28,0.18,0.18,000,0.18
2011-07-26,0.20,0.26,0.20,0.20,000,0.20
2011-07-25,0.23,0.23,0.23,0.23,8000,0.23
