Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,1.16,1.17,1.16,1.17,71000,1.17
2011-11-04,1.16,1.16,1.15,1.16,446000,1.16
2011-11-03,1.16,1.16,1.15,1.15,684000,1.15
2011-11-02,1.17,1.17,1.15,1.16,1456000,1.16
2011-11-01,1.17,1.17,1.16,1.17,716000,1.17
2011-10-31,1.19,1.19,1.17,1.17,286000,1.17
2011-10-28,1.19,1.19,1.17,1.17,304000,1.17
2011-10-27,1.18,1.18,1.16,1.17,618000,1.17
2011-10-25,1.19,1.19,1.18,1.18,105000,1.18
2011-10-24,1.19,1.19,1.18,1.18,29000,1.18
2011-10-21,1.16,1.17,1.16,1.17,207000,1.17
2011-10-20,1.15,1.16,1.15,1.16,313000,1.16
2011-10-19,1.17,1.17,1.15,1.15,844000,1.15
2011-10-18,1.18,1.18,1.17,1.18,225000,1.18
2011-10-17,1.18,1.19,1.18,1.19,275000,1.19
2011-10-14,1.16,1.17,1.16,1.17,651000,1.17
2011-10-13,1.17,1.17,1.16,1.17,586000,1.17
2011-10-12,1.16,1.18,1.16,1.17,332000,1.17
2011-10-11,1.16,1.17,1.16,1.17,320000,1.17
2011-10-10,1.16,1.16,1.15,1.15,311000,1.15
2011-10-07,1.15,1.17,1.15,1.16,255000,1.16
2011-10-06,1.16,1.18,1.15,1.18,943000,1.18
2011-10-05,1.17,1.17,1.15,1.16,319000,1.16
2011-10-04,1.17,1.18,1.15,1.17,735000,1.17
2011-10-03,1.16,1.17,1.15,1.16,636000,1.16
2011-09-30,1.16,1.19,1.16,1.16,535000,1.16
2011-09-29,1.19,1.20,1.16,1.16,428000,1.16
2011-09-28,1.17,1.20,1.17,1.20,51000,1.20
2011-09-27,1.18,1.20,1.18,1.18,125000,1.18
