Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.10,0.14,0.10,0.10,000,0.10
2011-08-15,0.10,0.14,0.10,0.10,000,0.10
2011-08-12,0.12,0.12,0.12,0.12,9000,0.12
2011-08-11,0.10,0.14,0.10,0.10,000,0.10
2011-08-10,0.12,0.14,0.12,0.12,000,0.12
2011-08-08,0.10,0.14,0.10,0.10,000,0.10
2011-08-05,0.10,0.14,0.10,0.10,000,0.10
2011-08-04,0.12,0.14,0.12,0.12,000,0.12
2011-08-03,0.12,0.14,0.12,0.12,000,0.12
2011-08-02,0.13,0.14,0.13,0.13,000,0.13
2011-08-01,0.12,0.14,0.12,0.12,000,0.12
2011-07-29,0.12,0.14,0.12,0.12,000,0.12
2011-07-28,0.10,0.14,0.10,0.10,000,0.10
2011-07-27,0.12,0.14,0.12,0.12,000,0.12
2011-07-26,0.12,0.13,0.12,0.12,000,0.12
2011-07-25,0.12,0.14,0.12,0.12,000,0.12
2011-07-22,0.12,0.17,0.12,0.12,000,0.12
2011-07-21,0.12,0.17,0.12,0.12,000,0.12
2011-07-20,0.12,0.18,0.12,0.12,000,0.12
2011-07-19,0.15,0.15,0.13,0.14,17000,0.14
