Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,9.42,9.42,9.12,9.37,7334000,9.37
2011-11-04,9.41,9.54,9.40,9.40,8218000,9.40
2011-11-03,9.08,9.27,9.00,9.20,6069000,9.20
2011-11-02,8.75,9.28,8.73,9.27,12525000,9.27
2011-11-01,9.33,9.33,8.94,9.00,11519000,9.00
2011-10-31,9.74,9.74,9.43,9.49,5791000,9.49
2011-10-28,9.61,9.73,9.56,9.73,10719000,9.73
2011-10-27,9.16,9.49,9.08,9.41,9936000,9.41
2011-10-25,9.25,9.34,9.00,9.17,5271000,9.17
2011-10-24,9.14,9.25,9.13,9.19,7037000,9.19
2011-10-21,8.91,8.97,8.86,8.95,7797000,8.95
2011-10-20,8.89,8.92,8.65,8.78,9302000,8.78
2011-10-19,8.71,8.85,8.70,8.85,6681000,8.85
2011-10-18,8.82,8.82,8.50,8.62,10225000,8.62
2011-10-17,8.94,9.13,8.92,9.02,12324000,9.02
2011-10-14,8.55,8.78,8.51,8.70,8683000,8.70
2011-10-13,8.50,8.67,8.46,8.58,12698000,8.58
2011-10-12,8.22,8.43,8.12,8.42,7820000,8.42
2011-10-11,8.22,8.38,8.21,8.23,11628000,8.23
2011-10-10,7.96,8.05,7.88,8.02,7675000,8.02
2011-10-07,7.68,7.97,7.64,7.90,16910000,7.90
2011-10-06,7.28,7.52,7.28,7.48,10742000,7.48
2011-10-05,7.20,7.22,7.02,7.12,10152000,7.12
2011-10-04,7.27,7.30,7.10,7.10,14669000,7.10
2011-10-03,7.67,7.67,7.36,7.47,13022000,7.47
2011-09-30,8.03,8.03,7.71,7.75,13392000,7.75
2011-09-29,7.92,7.94,7.77,7.94,10146000,7.94
2011-09-28,8.30,8.30,8.03,8.07,7215000,8.07
2011-09-27,8.19,8.33,8.18,8.31,5934000,8.31
