Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,46.00,46.17,45.31,45.94,103000,45.94
2011-11-04,46.01,46.40,45.22,45.98,186000,45.98
2011-11-03,45.43,45.50,43.80,45.50,105000,45.50
2011-11-02,44.96,45.50,44.50,45.50,153000,45.50
2011-11-01,44.90,46.25,44.86,44.96,329000,44.96
2011-10-31,46.98,46.98,45.23,45.50,222000,45.50
2011-10-28,47.50,48.00,46.35,46.50,365000,46.50
2011-10-27,43.71,46.05,43.60,46.05,519000,46.05
2011-10-25,43.00,44.30,42.92,43.20,221000,43.20
2011-10-24,41.80,42.72,41.80,42.02,231000,42.02
2011-10-21,41.20,41.25,40.64,41.25,196000,41.25
2011-10-20,42.00,42.40,41.21,41.40,199000,41.40
2011-10-19,42.00,42.49,41.86,42.31,167000,42.31
2011-10-18,42.41,42.41,41.53,42.00,185000,42.00
2011-10-17,42.60,43.00,41.36,42.41,148000,42.41
2011-10-14,41.14,41.88,41.11,41.82,135000,41.82
2011-10-13,41.73,42.49,41.61,41.80,231000,41.80
2011-10-12,39.50,41.50,39.50,41.50,311000,41.50
2011-10-11,42.25,43.26,40.30,40.50,284000,40.50
2011-10-10,42.19,42.19,41.02,41.27,122000,41.27
2011-10-07,41.11,43.00,41.11,41.72,309000,41.72
2011-10-06,38.27,40.09,38.27,39.98,286000,39.98
2011-10-05,38.70,39.52,37.90,37.98,376000,37.98
2011-10-04,38.40,39.40,37.63,38.70,498000,38.70
2011-10-03,41.78,41.78,38.07,38.50,393000,38.50
2011-09-30,41.97,43.36,40.84,41.98,676000,41.98
2011-09-29,40.19,41.19,39.58,41.14,242000,41.14
2011-09-28,39.62,40.50,39.51,40.17,548000,40.17
2011-09-27,37.50,39.96,37.50,39.42,429000,39.42
