Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,1.78,1.79,1.77,1.78,2067000,1.78
2011-11-04,1.78,1.79,1.77,1.78,9103000,1.78
2011-11-03,1.79,1.79,1.78,1.78,3767000,1.78
2011-11-02,1.78,1.79,1.77,1.79,13943000,1.79
2011-11-01,1.80,1.80,1.77,1.79,25549000,1.79
2011-10-31,1.90,1.92,1.88,1.88,2562000,1.88
2011-10-28,1.89,1.90,1.87,1.89,6110000,1.89
2011-10-27,1.89,1.90,1.88,1.89,4412000,1.89
2011-10-25,1.85,1.89,1.85,1.87,2210000,1.87
2011-10-24,1.87,1.90,1.85,1.85,3768000,1.85
2011-10-21,1.86,1.87,1.86,1.86,1897000,1.86
2011-10-20,1.87,1.88,1.84,1.84,2406000,1.84
2011-10-19,1.89,1.89,1.87,1.88,2897000,1.88
2011-10-18,1.88,1.88,1.86,1.88,3103000,1.88
2011-10-17,1.86,1.90,1.85,1.89,4120000,1.89
2011-10-14,1.88,1.88,1.85,1.86,3963000,1.86
2011-10-13,1.84,1.88,1.84,1.88,7105000,1.88
2011-10-12,1.85,1.86,1.84,1.85,5279000,1.85
2011-10-11,1.86,1.88,1.83,1.87,3287000,1.87
2011-10-10,1.83,1.85,1.83,1.84,2333000,1.84
2011-10-07,1.83,1.85,1.82,1.82,3550000,1.82
2011-10-06,1.84,1.85,1.82,1.83,5649000,1.83
2011-10-05,1.82,1.87,1.80,1.85,4807000,1.85
2011-10-04,1.79,1.85,1.77,1.82,7954000,1.82
2011-10-03,1.79,1.83,1.77,1.80,4148000,1.80
2011-09-30,1.77,1.83,1.77,1.83,12293000,1.83
2011-09-29,1.83,1.85,1.82,1.84,5416000,1.84
2011-09-28,1.87,1.87,1.83,1.86,6126000,1.86
2011-09-27,1.86,1.91,1.86,1.89,6729000,1.89
