Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,2.72,2.74,2.68,2.69,6994000,2.69
2011-11-04,2.71,2.74,2.69,2.73,10307000,2.73
2011-11-03,2.68,2.68,2.62,2.67,9650000,2.67
2011-11-02,2.60,2.73,2.58,2.71,15272000,2.71
2011-11-01,2.70,2.71,2.62,2.64,22066000,2.64
2011-10-31,2.75,2.76,2.70,2.73,19795000,2.73
2011-10-28,2.65,2.77,2.62,2.75,36485000,2.75
2011-10-27,2.54,2.60,2.49,2.59,25274000,2.59
2011-10-25,2.52,2.55,2.50,2.52,5908000,2.52
2011-10-24,2.46,2.54,2.46,2.51,10125000,2.51
2011-10-21,2.42,2.48,2.41,2.45,7752000,2.45
2011-10-20,2.45,2.46,2.41,2.41,7179000,2.41
2011-10-19,2.50,2.51,2.45,2.47,7879000,2.47
2011-10-18,2.50,2.52,2.46,2.47,7890000,2.47
2011-10-17,2.56,2.56,2.53,2.55,9944000,2.55
2011-10-14,2.51,2.53,2.48,2.52,10478000,2.52
2011-10-13,2.51,2.56,2.49,2.52,14668000,2.52
2011-10-12,2.45,2.51,2.42,2.51,10955000,2.51
2011-10-11,2.48,2.50,2.44,2.46,18054000,2.46
2011-10-10,2.45,2.46,2.42,2.45,9798000,2.45
2011-10-07,2.45,2.45,2.39,2.42,14337000,2.42
2011-10-06,2.40,2.45,2.37,2.43,17191000,2.43
2011-10-05,2.35,2.38,2.35,2.36,11810000,2.36
2011-10-04,2.38,2.39,2.28,2.34,27545000,2.34
2011-10-03,2.46,2.46,2.38,2.42,16482000,2.42
2011-09-30,2.52,2.53,2.44,2.47,15001000,2.47
2011-09-29,2.47,2.53,2.44,2.49,8928000,2.49
2011-09-28,2.55,2.55,2.46,2.50,12806000,2.50
2011-09-27,2.53,2.56,2.52,2.55,11914000,2.55
