Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.40,0.40,0.40,0.40,000,0.40
2011-08-15,0.40,0.40,0.40,0.40,000,0.40
2011-08-12,0.40,0.40,0.40,0.40,000,0.40
2011-08-11,0.40,0.40,0.40,0.40,000,0.40
2011-08-10,0.40,0.47,0.40,0.40,000,0.40
2011-08-08,0.40,0.40,0.40,0.40,000,0.40
2011-08-05,0.41,0.50,0.41,0.41,000,0.41
2011-08-04,0.40,0.40,0.40,0.40,000,0.40
2011-08-03,0.41,0.54,0.41,0.41,000,0.41
2011-08-02,0.40,0.40,0.40,0.40,000,0.40
2011-08-01,0.40,0.54,0.40,0.40,000,0.40
2011-07-29,0.48,0.49,0.48,0.49,8000,0.49
