Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,2.88,2.88,2.85,2.88,1367000,2.88
2011-11-04,2.87,2.88,2.86,2.87,1363000,2.87
2011-11-03,2.83,2.86,2.83,2.86,1134000,2.86
2011-11-02,2.84,2.85,2.82,2.84,1324000,2.84
2011-11-01,2.82,2.87,2.81,2.85,2406000,2.85
2011-10-31,2.86,2.86,2.82,2.82,1499000,2.82
2011-10-28,2.85,2.86,2.83,2.86,2191000,2.86
2011-10-27,2.82,2.86,2.81,2.84,3350000,2.84
2011-10-25,2.80,2.82,2.80,2.82,1743000,2.82
2011-10-24,2.82,2.82,2.79,2.79,4862000,2.79
2011-10-21,2.81,2.82,2.81,2.82,2153000,2.82
2011-10-20,2.85,2.87,2.81,2.82,1262000,2.82
2011-10-19,2.84,2.87,2.84,2.87,1391000,2.87
2011-10-18,2.82,2.85,2.82,2.84,1097000,2.84
2011-10-17,2.84,2.85,2.82,2.84,611000,2.84
2011-10-14,2.82,2.85,2.82,2.85,1210000,2.85
2011-10-13,2.82,2.82,2.80,2.80,1845000,2.80
2011-10-12,2.82,2.83,2.81,2.83,1813000,2.83
2011-10-11,2.84,2.84,2.81,2.82,2388000,2.82
2011-10-10,2.86,2.86,2.81,2.82,2842000,2.82
2011-10-07,2.86,2.88,2.82,2.84,2755000,2.84
2011-10-06,2.87,2.88,2.85,2.87,2765000,2.87
2011-10-05,2.84,2.86,2.81,2.86,1692000,2.86
2011-10-04,2.85,2.87,2.82,2.84,2366000,2.84
2011-10-03,2.84,2.89,2.83,2.85,1865000,2.85
2011-09-30,2.87,2.87,2.84,2.86,2963000,2.86
2011-09-29,2.87,2.88,2.85,2.87,907000,2.87
2011-09-28,2.89,2.90,2.86,2.88,1081000,2.88
2011-09-27,2.86,2.90,2.86,2.90,2037000,2.90
