Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,12.68,12.81,12.67,12.76,5159000,12.76
2011-11-04,12.64,12.83,12.61,12.66,5885000,12.66
2011-11-03,12.34,12.54,12.29,12.49,9023000,12.49
2011-11-02,11.86,12.43,11.81,12.43,7340000,12.43
2011-11-01,12.32,12.34,11.97,11.98,4890000,11.98
2011-10-31,12.89,12.89,12.36,12.36,6245000,12.36
2011-10-28,12.70,12.84,12.70,12.80,5382000,12.80
2011-10-27,12.21,12.66,12.12,12.59,7605000,12.59
2011-10-25,12.18,12.25,12.13,12.25,2800000,12.25
2011-10-24,11.90,12.18,11.90,12.12,3974000,12.12
2011-10-21,11.76,11.92,11.76,11.82,1820000,11.82
2011-10-20,11.99,12.00,11.74,11.76,4202000,11.76
2011-10-19,12.03,12.13,12.00,12.09,3118000,12.09
2011-10-18,12.15,12.19,11.92,12.00,4482000,12.00
2011-10-17,12.27,12.37,12.05,12.31,3657000,12.31
2011-10-14,12.02,12.22,11.92,12.22,3627000,12.22
2011-10-13,12.20,12.33,12.06,12.06,6183000,12.06
2011-10-12,12.04,12.33,11.80,12.33,4787000,12.33
2011-10-11,12.18,12.33,12.03,12.04,6123000,12.04
2011-10-10,11.74,11.80,11.69,11.75,3073000,11.75
2011-10-07,11.35,11.61,11.30,11.54,7393000,11.54
2011-10-06,11.20,11.35,11.19,11.27,7013000,11.27
2011-10-05,11.02,11.17,10.92,10.93,6520000,10.93
2011-10-04,11.22,11.27,10.81,10.87,11100000,10.87
2011-10-03,11.59,11.64,11.50,11.56,6096000,11.56
2011-09-30,12.10,12.10,11.73,11.84,7999000,11.84
2011-09-29,11.95,12.07,11.90,12.00,3232000,12.00
2011-09-28,12.20,12.25,11.95,12.03,6099000,12.03
2011-09-27,11.98,12.27,11.98,12.20,5569000,12.20
