Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.40,0.40,0.40,0.40,652000,0.40
2011-08-15,0.40,0.40,0.39,0.40,67866000,0.40
2011-08-12,0.50,0.50,0.50,0.50,000,0.50
2011-08-11,0.26,0.35,0.26,0.26,000,0.26
2011-08-10,0.26,0.36,0.26,0.26,000,0.26
2011-08-08,0.25,0.35,0.25,0.25,000,0.25
2011-08-05,0.26,0.36,0.26,0.26,000,0.26
2011-08-04,0.26,0.38,0.26,0.26,000,0.26
2011-08-03,0.26,0.38,0.26,0.26,000,0.26
2011-08-02,0.26,0.38,0.26,0.26,000,0.26
2011-08-01,0.26,0.38,0.26,0.26,000,0.26
2011-07-29,0.26,0.38,0.26,0.26,000,0.26
2011-07-28,0.26,0.38,0.26,0.26,000,0.26
2011-07-27,0.26,0.38,0.26,0.26,000,0.26
2011-07-26,0.26,0.38,0.26,0.26,000,0.26
2011-07-25,0.26,0.38,0.26,0.26,000,0.26
2011-07-22,0.21,0.39,0.21,0.21,000,0.21
2011-07-21,0.21,0.39,0.21,0.21,000,0.21
2011-07-20,0.21,0.40,0.21,0.21,000,0.21
2011-07-19,0.21,0.40,0.21,0.21,000,0.21
2011-07-18,0.21,0.40,0.21,0.21,000,0.21
2011-07-15,0.24,0.36,0.24,0.24,000,0.24
2011-07-14,0.21,0.40,0.21,0.21,000,0.21
2011-07-13,0.21,0.40,0.21,0.21,000,0.21
2011-07-12,0.21,0.40,0.21,0.21,000,0.21
2011-07-11,0.21,0.36,0.21,0.21,5000000,0.21
