Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.30,0.39,0.30,0.30,000,0.30
2011-08-15,0.30,0.40,0.30,0.30,000,0.30
2011-08-12,0.31,0.40,0.31,0.31,000,0.31
2011-08-11,0.35,0.40,0.35,0.40,52000,0.40
2011-08-10,0.30,0.37,0.30,0.30,192000,0.30
2011-08-08,0.30,0.40,0.30,0.30,000,0.30
2011-08-05,0.30,0.40,0.30,0.30,000,0.30
2011-08-04,0.31,0.40,0.31,0.31,000,0.31
2011-08-03,0.30,0.40,0.30,0.30,000,0.30
2011-08-02,0.30,0.40,0.30,0.30,000,0.30
2011-08-01,0.35,0.40,0.35,0.35,000,0.35
2011-07-29,0.30,0.40,0.30,0.30,000,0.30
2011-07-28,0.39,0.40,0.39,0.39,000,0.39
2011-07-27,0.37,0.40,0.37,0.37,000,0.37
2011-07-26,0.37,0.40,0.37,0.37,000,0.37
2011-07-25,0.37,0.40,0.37,0.37,000,0.37
2011-07-22,0.37,0.40,0.37,0.37,000,0.37
2011-07-21,0.37,0.40,0.37,0.37,000,0.37
2011-07-20,0.37,0.40,0.37,0.37,000,0.37
2011-07-19,0.37,0.40,0.37,0.37,000,0.37
2011-07-18,0.37,0.40,0.37,0.37,000,0.37
2011-07-15,0.37,0.40,0.37,0.37,000,0.37
2011-07-14,0.38,0.40,0.38,0.38,000,0.38
2011-07-13,0.37,0.40,0.37,0.40,2000,0.40
