Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.23,0.23,0.23,0.23,426000,0.23
2011-09-22,0.23,0.23,0.23,0.23,1369000,0.23
2011-09-21,0.24,0.25,0.23,0.23,1680000,0.23
2011-09-20,0.23,0.25,0.23,0.24,3660000,0.24
2011-09-19,0.25,0.25,0.23,0.23,3069000,0.23
2011-09-16,0.25,0.25,0.25,0.25,2087000,0.25
2011-09-15,0.25,0.25,0.25,0.25,2233000,0.25
2011-09-14,0.25,0.25,0.24,0.25,3905000,0.25
2011-09-13,0.25,0.26,0.25,0.25,8230000,0.25
2011-09-12,0.24,0.25,0.24,0.25,4789000,0.25
2011-09-09,0.25,0.25,0.25,0.25,3251000,0.25
2011-09-08,0.26,0.26,0.25,0.25,3408000,0.25
2011-09-07,0.25,0.26,0.25,0.26,5255000,0.26
2011-09-06,0.25,0.25,0.25,0.25,2362000,0.25
2011-09-05,0.24,0.25,0.23,0.25,3034000,0.25
2011-09-02,0.24,0.25,0.24,0.25,1842000,0.25
2011-09-01,0.25,0.26,0.24,0.24,21398000,0.24
2011-08-31,0.23,0.25,0.23,0.25,7682000,0.25
2011-08-29,0.22,0.23,0.22,0.23,3064000,0.23
2011-08-26,0.22,0.22,0.22,0.22,1293000,0.22
2011-08-25,0.22,0.22,0.22,0.22,1474000,0.22
2011-08-24,0.22,0.22,0.22,0.22,1349000,0.22
2011-08-23,0.22,0.22,0.22,0.22,2647000,0.22
2011-08-22,0.22,0.22,0.21,0.22,3307000,0.22
2011-08-19,0.22,0.22,0.22,0.22,3245000,0.22
2011-08-18,0.23,0.23,0.23,0.23,1519000,0.23
2011-08-17,0.23,0.23,0.23,0.23,1922000,0.23
2011-08-16,0.23,0.23,0.23,0.23,4546000,0.23
2011-08-15,0.23,0.23,0.22,0.23,3091000,0.23
2011-08-12,0.23,0.23,0.22,0.22,3145000,0.22
2011-08-11,0.23,0.23,0.21,0.22,4425000,0.22
2011-08-10,0.23,0.24,0.22,0.23,5977000,0.23
2011-08-08,0.24,0.24,0.22,0.22,5991000,0.22
2011-08-05,0.25,0.25,0.24,0.24,6730000,0.24
2011-08-04,0.26,0.27,0.26,0.27,1643000,0.27
