Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.21,0.22,0.21,0.22,84000,0.22
2011-09-22,0.22,0.22,0.22,0.22,171000,0.22
2011-09-21,0.22,0.22,0.22,0.22,71000,0.22
2011-09-20,0.22,0.22,0.22,0.22,80000,0.22
2011-09-19,0.22,0.22,0.22,0.22,58000,0.22
2011-09-16,0.22,0.22,0.22,0.22,80000,0.22
2011-09-15,0.22,0.22,0.22,0.22,43000,0.22
2011-09-14,0.22,0.22,0.22,0.22,548000,0.22
2011-09-13,0.22,0.22,0.22,0.22,813000,0.22
2011-09-12,0.21,0.22,0.21,0.22,100000,0.22
2011-09-09,0.21,0.22,0.21,0.22,90000,0.22
2011-09-08,0.22,0.22,0.21,0.21,117000,0.21
2011-09-07,0.21,0.22,0.21,0.22,91000,0.22
2011-09-06,0.20,0.22,0.20,0.21,231000,0.21
2011-09-05,0.22,0.22,0.20,0.20,222000,0.20
2011-09-02,0.22,0.22,0.22,0.22,60000,0.22
2011-09-01,0.22,0.22,0.22,0.22,388000,0.22
2011-08-31,0.22,0.22,0.22,0.22,567000,0.22
2011-08-29,0.22,0.22,0.22,0.22,20000,0.22
2011-08-26,0.22,0.22,0.22,0.22,77000,0.22
2011-08-25,0.21,0.22,0.21,0.22,83000,0.22
2011-08-24,0.22,0.22,0.21,0.21,198000,0.21
2011-08-23,0.20,0.21,0.20,0.21,273000,0.21
2011-08-22,0.21,0.21,0.20,0.20,240000,0.20
2011-08-19,0.21,0.21,0.20,0.21,230000,0.21
2011-08-18,0.21,0.22,0.21,0.21,108000,0.21
2011-08-17,0.22,0.22,0.22,0.22,10000,0.22
2011-08-16,0.22,0.22,0.22,0.22,974000,0.22
2011-08-15,0.22,0.22,0.22,0.22,149000,0.22
2011-08-12,0.22,0.22,0.21,0.22,225000,0.22
2011-08-11,0.20,0.21,0.20,0.21,370000,0.21
2011-08-10,0.22,0.22,0.21,0.21,1230000,0.21
2011-08-08,0.22,0.22,0.21,0.22,1409000,0.22
2011-08-05,0.24,0.24,0.23,0.23,1014000,0.23
2011-08-04,0.25,0.25,0.25,0.25,80000,0.25
