Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.07,0.07,0.07,0.07,100000,0.07
2011-09-22,0.07,0.07,0.07,0.07,110000,0.07
2011-09-21,0.07,0.08,0.07,0.07,000,0.07
2011-09-20,0.07,0.08,0.07,0.07,000,0.07
2011-09-19,0.07,0.08,0.07,0.07,000,0.07
2011-09-16,0.07,0.08,0.07,0.07,000,0.07
2011-09-15,0.07,0.08,0.07,0.07,000,0.07
2011-09-14,0.06,0.09,0.06,0.09,232000,0.09
2011-09-13,0.06,0.07,0.06,0.06,000,0.06
2011-09-12,0.06,0.06,0.06,0.06,6000,0.06
2011-09-09,0.06,0.06,0.06,0.06,100000,0.06
2011-09-08,0.06,0.07,0.06,0.07,250000,0.07
2011-09-07,0.06,0.06,0.06,0.06,25000,0.06
2011-09-06,0.06,0.07,0.06,0.06,000,0.06
2011-09-05,0.06,0.07,0.06,0.06,000,0.06
2011-09-02,0.07,0.07,0.07,0.07,78000,0.07
2011-09-01,0.07,0.07,0.07,0.07,70000,0.07
2011-08-31,0.06,0.07,0.06,0.07,144000,0.07
2011-08-29,0.07,0.07,0.07,0.07,000,0.07
2011-08-26,0.06,0.07,0.06,0.06,000,0.06
2011-08-25,0.06,0.06,0.06,0.06,240000,0.06
2011-08-24,0.07,0.07,0.07,0.07,100000,0.07
2011-08-23,0.06,0.06,0.06,0.06,60000,0.06
2011-08-22,0.06,0.06,0.06,0.06,22000,0.06
2011-08-19,0.07,0.07,0.07,0.07,366000,0.07
2011-08-18,0.07,0.07,0.07,0.07,100000,0.07
2011-08-17,0.07,0.07,0.07,0.07,1140000,0.07
2011-08-16,0.07,0.07,0.07,0.07,1130000,0.07
2011-08-15,0.06,0.08,0.06,0.08,95000,0.08
2011-08-12,0.07,0.07,0.07,0.07,188000,0.07
2011-08-11,0.06,0.07,0.06,0.07,215000,0.07
2011-08-10,0.07,0.07,0.07,0.07,199000,0.07
2011-08-08,0.08,0.08,0.07,0.07,243000,0.07
2011-08-05,0.09,0.09,0.08,0.08,234000,0.08
2011-08-04,0.09,0.09,0.09,0.09,318000,0.09
