Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.33,0.34,0.33,0.34,350000,0.34
2011-09-22,0.34,0.34,0.34,0.34,314000,0.34
2011-09-21,0.35,0.35,0.34,0.34,210000,0.34
2011-09-20,0.35,0.36,0.35,0.35,000,0.35
2011-09-19,0.35,0.35,0.35,0.35,50000,0.35
2011-09-16,0.35,0.35,0.35,0.35,405000,0.35
2011-09-15,0.35,0.35,0.34,0.35,72000,0.35
2011-09-14,0.35,0.36,0.35,0.35,000,0.35
2011-09-13,0.34,0.35,0.33,0.35,225000,0.35
2011-09-12,0.34,0.34,0.34,0.34,4000,0.34
2011-09-09,0.36,0.36,0.35,0.35,150000,0.35
2011-09-08,0.35,0.36,0.35,0.35,77000,0.35
2011-09-07,0.35,0.36,0.35,0.35,43000,0.35
2011-09-06,0.34,0.36,0.34,0.34,000,0.34
2011-09-05,0.35,0.35,0.35,0.35,21000,0.35
2011-09-02,0.36,0.36,0.36,0.36,100000,0.36
2011-09-01,0.37,0.37,0.37,0.37,81000,0.37
2011-08-31,0.36,0.37,0.36,0.37,161000,0.37
2011-08-29,0.34,0.37,0.34,0.35,43000,0.35
2011-08-26,0.35,0.35,0.35,0.35,5000,0.35
2011-08-25,0.36,0.37,0.36,0.36,45000,0.36
2011-08-24,0.35,0.35,0.35,0.35,132000,0.35
2011-08-23,0.35,0.35,0.35,0.35,42000,0.35
2011-08-22,0.35,0.35,0.34,0.34,178000,0.34
2011-08-19,0.35,0.35,0.34,0.35,115000,0.35
2011-08-18,0.35,0.37,0.35,0.35,000,0.35
2011-08-17,0.36,0.37,0.35,0.37,143000,0.37
2011-08-16,0.36,0.37,0.35,0.35,254000,0.35
2011-08-15,0.36,0.36,0.36,0.36,19000,0.36
2011-08-12,0.38,0.38,0.36,0.36,51000,0.36
2011-08-11,0.35,0.35,0.33,0.35,615000,0.35
2011-08-10,0.38,0.38,0.35,0.35,293000,0.35
2011-08-08,0.38,0.38,0.35,0.37,268000,0.37
2011-08-05,0.39,0.39,0.38,0.38,259000,0.38
2011-08-04,0.40,0.40,0.40,0.40,102000,0.40
