Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,5.53,5.62,5.50,5.59,9294000,5.59
2011-11-04,5.52,5.53,5.45,5.50,4678000,5.50
2011-11-03,5.47,5.52,5.39,5.45,7436000,5.45
2011-11-02,5.39,5.53,5.32,5.51,11158000,5.51
2011-11-01,5.42,5.45,5.33,5.41,5860000,5.41
2011-10-31,5.45,5.57,5.43,5.47,16695000,5.47
2011-10-28,5.36,5.42,5.32,5.40,6402000,5.40
2011-10-27,5.19,5.35,5.14,5.31,10555000,5.31
2011-10-25,5.17,5.20,5.11,5.19,5457000,5.19
2011-10-24,5.05,5.16,5.05,5.10,6250000,5.10
2011-10-21,5.03,5.03,4.96,5.01,2325000,5.01
2011-10-20,5.09,5.09,4.97,4.97,3083000,4.97
2011-10-19,5.12,5.15,5.04,5.06,2279000,5.06
2011-10-18,5.04,5.06,4.98,5.04,7016000,5.04
2011-10-17,5.08,5.19,4.96,5.12,9698000,5.12
2011-10-14,4.84,5.00,4.84,4.99,5386000,4.99
2011-10-13,5.04,5.07,4.88,4.89,9188000,4.89
2011-10-12,4.83,4.97,4.83,4.97,6184000,4.97
2011-10-11,4.97,4.98,4.79,4.82,7836000,4.82
2011-10-10,4.85,4.92,4.82,4.90,5676000,4.90
2011-10-07,4.72,4.87,4.72,4.76,8882000,4.76
2011-10-06,4.60,4.70,4.53,4.67,17122000,4.67
2011-10-05,4.86,4.90,4.38,4.45,31185000,4.45
2011-10-04,5.02,5.10,4.84,4.84,11497000,4.84
2011-10-03,5.14,5.18,5.07,5.13,7189000,5.13
2011-09-30,5.29,5.29,5.11,5.27,9001000,5.27
2011-09-29,5.14,5.26,5.14,5.24,3452000,5.24
2011-09-28,5.25,5.31,5.20,5.22,6516000,5.22
2011-09-27,5.09,5.32,5.08,5.24,14403000,5.24
