Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.05,0.06,0.05,0.05,000,0.05
2011-09-22,0.06,0.06,0.06,0.06,000,0.06
2011-09-21,0.06,0.06,0.06,0.06,165000,0.06
2011-09-20,0.06,0.06,0.06,0.06,150000,0.06
2011-09-19,0.06,0.06,0.06,0.06,500000,0.06
2011-09-16,0.06,0.06,0.06,0.06,366000,0.06
2011-09-15,0.06,0.06,0.06,0.06,50000,0.06
2011-09-14,0.06,0.06,0.06,0.06,550000,0.06
2011-09-13,0.06,0.06,0.06,0.06,70000,0.06
2011-09-12,0.06,0.06,0.06,0.06,000,0.06
2011-09-09,0.06,0.06,0.06,0.06,100000,0.06
2011-09-08,0.05,0.05,0.05,0.05,200000,0.05
2011-09-07,0.06,0.07,0.06,0.06,000,0.06
2011-09-06,0.06,0.06,0.06,0.06,30000,0.06
2011-09-05,0.05,0.06,0.05,0.05,000,0.05
2011-09-02,0.06,0.06,0.06,0.06,100000,0.06
2011-09-01,0.06,0.07,0.06,0.06,000,0.06
2011-08-31,0.06,0.06,0.06,0.06,100000,0.06
2011-08-29,0.06,0.07,0.06,0.06,000,0.06
2011-08-26,0.06,0.07,0.06,0.06,000,0.06
2011-08-25,0.06,0.06,0.06,0.06,31000,0.06
2011-08-24,0.06,0.06,0.06,0.06,125000,0.06
2011-08-23,0.07,0.07,0.07,0.07,600000,0.07
2011-08-22,0.07,0.07,0.06,0.07,500000,0.07
2011-08-19,0.06,0.07,0.06,0.07,700000,0.07
2011-08-18,0.07,0.07,0.07,0.07,000,0.07
2011-08-17,0.07,0.07,0.07,0.07,215000,0.07
2011-08-16,0.07,0.07,0.07,0.07,220000,0.07
2011-08-15,0.07,0.07,0.07,0.07,200000,0.07
2011-08-12,0.07,0.07,0.07,0.07,000,0.07
2011-08-11,0.07,0.07,0.07,0.07,2430000,0.07
2011-08-10,0.07,0.07,0.07,0.07,1067000,0.07
2011-08-08,0.07,0.07,0.06,0.07,1017000,0.07
2011-08-05,0.06,0.07,0.06,0.07,815000,0.07
2011-08-04,0.07,0.07,0.07,0.07,000,0.07
2011-08-03,0.07,0.07,0.07,0.07,300000,0.07
