Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,6.07,6.26,6.06,6.26,1926000,6.26
2011-11-04,6.13,6.19,6.11,6.11,1763000,6.11
2011-11-03,6.07,6.09,6.02,6.09,882000,6.09
2011-11-02,6.05,6.14,6.04,6.12,1764000,6.12
2011-11-01,6.15,6.24,6.07,6.09,1701000,6.09
2011-10-31,6.26,6.26,6.16,6.16,1850000,6.16
2011-10-28,6.28,6.29,6.16,6.23,1731000,6.23
2011-10-27,6.15,6.25,6.09,6.19,3590000,6.19
2011-10-25,5.96,6.12,5.96,6.11,2171000,6.11
2011-10-24,6.00,6.00,5.97,5.99,1251000,5.99
2011-10-21,5.94,5.94,5.89,5.92,759000,5.92
2011-10-20,5.82,5.97,5.73,5.91,2340000,5.91
2011-10-19,5.95,5.95,5.75,5.82,1762000,5.82
2011-10-18,5.82,5.94,5.82,5.93,2163000,5.93
2011-10-17,5.98,6.00,5.87,5.94,1213000,5.94
2011-10-14,5.84,6.02,5.78,5.99,3073000,5.99
2011-10-13,5.67,5.88,5.65,5.87,3070000,5.87
2011-10-12,5.60,5.74,5.56,5.70,2171000,5.70
2011-10-11,5.65,5.66,5.55,5.59,1873000,5.59
2011-10-10,5.54,5.57,5.43,5.57,2051000,5.57
2011-10-07,5.54,5.56,5.45,5.49,2231000,5.49
2011-10-06,5.54,5.54,5.40,5.49,4739000,5.49
2011-10-05,5.52,5.53,5.34,5.42,4081000,5.42
2011-10-04,5.66,5.66,5.32,5.48,4957000,5.48
2011-10-03,5.67,5.75,5.66,5.73,1518000,5.73
2011-09-30,5.78,5.79,5.66,5.79,3363000,5.79
2011-09-29,5.73,5.76,5.70,5.76,1456000,5.76
2011-09-28,5.73,5.77,5.65,5.74,1696000,5.74
2011-09-27,5.81,5.82,5.72,5.77,1785000,5.77
