Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.83,0.84,0.83,0.84,127000,0.84
2011-09-22,0.84,0.85,0.83,0.85,194000,0.85
2011-09-21,0.85,0.86,0.85,0.85,170000,0.85
2011-09-20,0.85,0.85,0.85,0.85,85000,0.85
2011-09-19,0.85,0.86,0.85,0.85,210000,0.85
2011-09-16,0.86,0.87,0.85,0.85,201000,0.85
2011-09-15,0.86,0.86,0.86,0.86,90000,0.86
2011-09-14,0.86,0.86,0.85,0.86,156000,0.86
2011-09-13,0.85,0.86,0.85,0.86,201000,0.86
2011-09-12,0.85,0.85,0.85,0.85,98000,0.85
2011-09-09,0.87,0.87,0.86,0.86,207000,0.86
2011-09-08,0.87,0.87,0.86,0.86,513000,0.86
2011-09-07,0.86,0.86,0.85,0.85,356000,0.85
2011-09-06,0.85,0.86,0.85,0.85,324000,0.85
2011-09-05,0.88,0.88,0.86,0.86,171000,0.86
2011-09-02,0.89,0.91,0.88,0.88,360000,0.88
2011-09-01,0.90,0.90,0.88,0.89,474000,0.89
2011-08-31,0.87,0.88,0.87,0.88,520000,0.88
2011-08-29,0.86,0.87,0.86,0.87,471000,0.87
2011-08-26,0.85,0.86,0.85,0.85,423000,0.85
2011-08-25,0.86,0.86,0.85,0.85,181000,0.85
2011-08-24,0.87,0.87,0.85,0.85,196000,0.85
2011-08-23,0.85,0.86,0.85,0.86,241000,0.86
2011-08-22,0.85,0.88,0.84,0.85,281000,0.85
2011-08-19,0.85,0.87,0.85,0.86,377000,0.86
2011-08-18,0.89,0.89,0.88,0.88,630000,0.88
2011-08-17,0.88,0.89,0.88,0.88,638000,0.88
2011-08-16,0.89,0.91,0.88,0.88,322000,0.88
2011-08-15,0.89,0.89,0.88,0.88,588000,0.88
2011-08-12,0.88,0.90,0.88,0.89,459000,0.89
2011-08-11,0.89,0.89,0.82,0.87,402000,0.87
2011-08-10,0.91,0.93,0.88,0.89,582000,0.89
2011-08-08,0.92,0.92,0.88,0.90,627000,0.90
2011-08-05,0.95,0.95,0.92,0.93,852000,0.93
2011-08-04,0.98,0.99,0.96,0.97,156000,0.97
