Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.06,0.06,0.06,0.06,100000,0.06
2011-09-22,0.06,0.06,0.06,0.06,16000,0.06
2011-09-21,0.06,0.06,0.06,0.06,4000,0.06
2011-09-20,0.06,0.06,0.06,0.06,000,0.06
2011-09-19,0.06,0.06,0.06,0.06,000,0.06
2011-09-16,0.06,0.06,0.06,0.06,11000,0.06
2011-09-15,0.06,0.06,0.06,0.06,375000,0.06
2011-09-14,0.06,0.06,0.06,0.06,430000,0.06
2011-09-13,0.06,0.06,0.06,0.06,261000,0.06
2011-09-12,0.06,0.06,0.06,0.06,302000,0.06
2011-09-09,0.06,0.06,0.06,0.06,55000,0.06
2011-09-08,0.06,0.06,0.06,0.06,000,0.06
2011-09-07,0.06,0.06,0.06,0.06,337000,0.06
2011-09-06,0.06,0.06,0.06,0.06,000,0.06
2011-09-05,0.06,0.06,0.06,0.06,164000,0.06
2011-09-02,0.06,0.06,0.06,0.06,2000,0.06
2011-09-01,0.07,0.07,0.06,0.06,88000,0.06
2011-08-31,0.06,0.07,0.06,0.06,172000,0.06
2011-08-29,0.06,0.06,0.06,0.06,62000,0.06
2011-08-26,0.06,0.06,0.06,0.06,20000,0.06
2011-08-25,0.06,0.06,0.06,0.06,374000,0.06
2011-08-24,0.06,0.06,0.06,0.06,164000,0.06
2011-08-23,0.06,0.06,0.06,0.06,200000,0.06
2011-08-22,0.06,0.06,0.06,0.06,1800000,0.06
2011-08-19,0.06,0.07,0.06,0.07,195000,0.07
2011-08-18,0.06,0.07,0.06,0.06,200000,0.06
2011-08-17,0.06,0.07,0.06,0.07,675000,0.07
2011-08-16,0.06,0.07,0.06,0.06,425000,0.06
2011-08-15,0.07,0.07,0.07,0.07,369000,0.07
2011-08-12,0.07,0.07,0.06,0.06,414000,0.06
2011-08-11,0.06,0.07,0.06,0.06,388000,0.06
2011-08-10,0.07,0.07,0.06,0.06,1238000,0.06
2011-08-08,0.07,0.07,0.06,0.07,1033000,0.07
2011-08-05,0.07,0.07,0.07,0.07,2248000,0.07
2011-08-04,0.08,0.08,0.08,0.08,1665000,0.08
