Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.34,0.37,0.34,0.34,000,0.34
2011-09-22,0.37,0.38,0.37,0.38,285000,0.38
2011-09-21,0.36,0.36,0.36,0.36,20000,0.36
2011-09-20,0.36,0.41,0.36,0.36,000,0.36
2011-09-19,0.37,0.43,0.37,0.43,12000,0.43
2011-09-16,0.35,0.40,0.35,0.35,000,0.35
2011-09-15,0.35,0.40,0.35,0.35,000,0.35
2011-09-14,0.35,0.40,0.35,0.35,000,0.35
2011-09-13,0.35,0.39,0.35,0.35,000,0.35
2011-09-12,0.39,0.39,0.39,0.39,1000,0.39
2011-09-09,0.40,0.40,0.40,0.40,1000,0.40
2011-09-08,0.36,0.36,0.36,0.36,15000,0.36
2011-09-07,0.35,0.39,0.35,0.35,000,0.35
2011-09-06,0.35,0.40,0.35,0.40,5000,0.40
2011-09-05,0.36,0.36,0.36,0.36,70000,0.36
2011-09-02,0.35,0.38,0.35,0.35,000,0.35
2011-09-01,0.38,0.38,0.38,0.38,278000,0.38
2011-08-31,0.36,0.38,0.36,0.37,249000,0.37
2011-08-29,0.34,0.37,0.34,0.34,000,0.34
2011-08-26,0.34,0.37,0.34,0.34,000,0.34
2011-08-25,0.37,0.37,0.36,0.37,323000,0.37
2011-08-24,0.35,0.37,0.35,0.37,136000,0.37
2011-08-23,0.35,0.37,0.35,0.37,20000,0.37
2011-08-22,0.34,0.36,0.34,0.34,000,0.34
2011-08-19,0.34,0.37,0.32,0.37,272000,0.37
2011-08-18,0.36,0.37,0.36,0.37,272000,0.37
2011-08-17,0.36,0.37,0.36,0.36,000,0.36
2011-08-16,0.38,0.38,0.36,0.36,122000,0.36
2011-08-15,0.38,0.38,0.36,0.38,222000,0.38
2011-08-12,0.37,0.38,0.35,0.38,318000,0.38
2011-08-11,0.34,0.38,0.34,0.37,491000,0.37
2011-08-10,0.42,0.43,0.36,0.37,1119000,0.37
2011-08-08,0.44,0.44,0.42,0.42,665000,0.42
2011-08-05,0.44,0.46,0.44,0.46,133000,0.46
2011-08-04,0.46,0.46,0.46,0.46,356000,0.46
