Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.40,0.43,0.40,0.40,000,0.40
2011-09-22,0.40,0.43,0.40,0.40,000,0.40
2011-09-21,0.40,0.43,0.40,0.40,000,0.40
2011-09-20,0.43,0.44,0.43,0.44,31000,0.44
2011-09-19,0.43,0.44,0.43,0.43,000,0.43
2011-09-16,0.43,0.43,0.43,0.43,104000,0.43
2011-09-15,0.41,0.43,0.41,0.43,58000,0.43
2011-09-14,0.41,0.43,0.41,0.43,26000,0.43
2011-09-13,0.42,0.42,0.42,0.42,5000,0.42
2011-09-12,0.42,0.45,0.42,0.42,000,0.42
2011-09-09,0.42,0.43,0.42,0.43,26000,0.43
2011-09-08,0.44,0.44,0.44,0.44,43000,0.44
2011-09-07,0.43,0.44,0.43,0.43,000,0.43
2011-09-06,0.44,0.44,0.44,0.44,20000,0.44
2011-09-05,0.41,0.41,0.41,0.41,20000,0.41
2011-09-02,0.43,0.43,0.43,0.43,25000,0.43
2011-09-01,0.44,0.44,0.43,0.43,26000,0.43
2011-08-31,0.42,0.42,0.42,0.42,29000,0.42
2011-08-29,0.42,0.44,0.42,0.44,2000,0.44
2011-08-26,0.43,0.43,0.43,0.43,13000,0.43
2011-08-25,0.47,0.47,0.43,0.43,9000,0.43
2011-08-24,0.42,0.46,0.42,0.42,000,0.42
2011-08-23,0.41,0.46,0.41,0.41,000,0.41
2011-08-22,0.40,0.47,0.40,0.40,000,0.40
2011-08-19,0.46,0.46,0.43,0.43,29000,0.43
2011-08-18,0.47,0.48,0.47,0.48,39000,0.48
2011-08-17,0.47,0.48,0.47,0.47,64000,0.47
2011-08-16,0.47,0.48,0.47,0.47,146000,0.47
2011-08-15,0.48,0.48,0.47,0.47,123000,0.47
2011-08-12,0.46,0.47,0.44,0.47,90000,0.47
2011-08-11,0.47,0.47,0.44,0.46,260000,0.46
2011-08-10,0.49,0.49,0.47,0.48,97000,0.48
2011-08-08,0.47,0.50,0.47,0.48,76000,0.48
2011-08-05,0.50,0.50,0.50,0.50,213000,0.50
2011-08-04,0.51,0.51,0.51,0.51,41000,0.51
