Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.14,0.14,0.14,0.14,353000,0.14
2011-09-22,0.14,0.14,0.14,0.14,754000,0.14
2011-09-21,0.14,0.14,0.14,0.14,69000,0.14
2011-09-20,0.14,0.14,0.14,0.14,98000,0.14
2011-09-19,0.15,0.15,0.14,0.14,313000,0.14
2011-09-16,0.15,0.15,0.14,0.15,635000,0.15
2011-09-15,0.15,0.15,0.15,0.15,119000,0.15
2011-09-14,0.15,0.15,0.15,0.15,386000,0.15
2011-09-13,0.15,0.15,0.15,0.15,190000,0.15
2011-09-12,0.15,0.15,0.15,0.15,527000,0.15
2011-09-09,0.15,0.16,0.15,0.15,913000,0.15
2011-09-08,0.15,0.15,0.15,0.15,222000,0.15
2011-09-07,0.15,0.15,0.15,0.15,185000,0.15
2011-09-06,0.14,0.15,0.14,0.15,322000,0.15
2011-09-05,0.15,0.15,0.14,0.15,482000,0.15
2011-09-02,0.16,0.16,0.15,0.15,524000,0.15
2011-09-01,0.16,0.17,0.16,0.16,857000,0.16
2011-08-31,0.15,0.16,0.15,0.16,1201000,0.16
2011-08-29,0.15,0.15,0.15,0.15,422000,0.15
2011-08-26,0.15,0.15,0.14,0.15,188000,0.15
2011-08-25,0.15,0.15,0.14,0.15,807000,0.15
2011-08-24,0.14,0.15,0.14,0.14,847000,0.14
2011-08-23,0.14,0.14,0.14,0.14,623000,0.14
2011-08-22,0.14,0.14,0.14,0.14,502000,0.14
2011-08-19,0.14,0.14,0.14,0.14,1856000,0.14
2011-08-18,0.15,0.15,0.14,0.15,1093000,0.15
2011-08-17,0.15,0.15,0.15,0.15,682000,0.15
2011-08-16,0.15,0.15,0.15,0.15,1679000,0.15
2011-08-15,0.15,0.15,0.14,0.15,1502000,0.15
2011-08-12,0.14,0.15,0.14,0.15,1583000,0.15
2011-08-11,0.14,0.14,0.13,0.14,1756000,0.14
2011-08-10,0.16,0.16,0.15,0.15,1381000,0.15
2011-08-08,0.17,0.17,0.15,0.15,2198000,0.15
2011-08-05,0.18,0.18,0.17,0.17,3713000,0.17
2011-08-04,0.19,0.19,0.18,0.18,838000,0.18
