Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.22,0.22,0.22,0.22,10000,0.22
2011-09-22,0.22,0.24,0.22,0.22,000,0.22
2011-09-21,0.20,0.27,0.20,0.20,000,0.20
2011-09-20,0.22,0.22,0.22,0.22,46000,0.22
2011-09-19,0.20,0.25,0.20,0.20,000,0.20
2011-09-16,0.22,0.22,0.22,0.22,50000,0.22
2011-09-15,0.22,0.25,0.22,0.22,000,0.22
2011-09-14,0.22,0.25,0.22,0.22,000,0.22
2011-09-13,0.22,0.22,0.22,0.22,37000,0.22
2011-09-12,0.22,0.24,0.22,0.22,000,0.22
2011-09-09,0.23,0.24,0.23,0.23,000,0.23
2011-09-08,0.23,0.23,0.23,0.23,5000,0.23
2011-09-07,0.23,0.23,0.23,0.23,128000,0.23
2011-09-06,0.23,0.23,0.23,0.23,126000,0.23
2011-09-05,0.23,0.25,0.23,0.25,24000,0.25
2011-09-02,0.23,0.25,0.23,0.25,67000,0.25
2011-09-01,0.23,0.25,0.23,0.25,91000,0.25
2011-08-31,0.23,0.23,0.23,0.23,45000,0.23
2011-08-29,0.22,0.24,0.22,0.22,000,0.22
2011-08-26,0.22,0.24,0.22,0.22,000,0.22
2011-08-25,0.22,0.25,0.22,0.22,000,0.22
2011-08-24,0.22,0.24,0.22,0.22,100000,0.22
2011-08-23,0.22,0.22,0.22,0.22,42000,0.22
2011-08-22,0.23,0.23,0.21,0.21,70000,0.21
2011-08-19,0.23,0.23,0.23,0.23,41000,0.23
2011-08-18,0.22,0.22,0.22,0.22,45000,0.22
2011-08-17,0.22,0.25,0.22,0.22,000,0.22
2011-08-16,0.25,0.25,0.22,0.22,797000,0.22
2011-08-15,0.25,0.25,0.22,0.22,969000,0.22
2011-08-12,0.26,0.26,0.25,0.25,125000,0.25
2011-08-11,0.25,0.25,0.25,0.25,312000,0.25
2011-08-10,0.26,0.26,0.25,0.25,294000,0.25
2011-08-08,0.28,0.28,0.25,0.26,855000,0.26
2011-08-05,0.30,0.30,0.29,0.29,228000,0.29
2011-08-04,0.30,0.31,0.30,0.31,65000,0.31
