Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.92,0.93,0.91,0.93,189000,0.93
2011-09-22,0.92,0.93,0.92,0.93,36000,0.93
2011-09-21,0.94,0.94,0.94,0.94,35000,0.94
2011-09-20,0.94,0.95,0.94,0.94,79000,0.94
2011-09-19,0.93,0.95,0.93,0.94,250000,0.94
2011-09-16,0.93,0.94,0.93,0.93,139000,0.93
2011-09-15,0.92,0.92,0.92,0.92,10000,0.92
2011-09-14,0.93,0.93,0.92,0.93,26000,0.93
2011-09-13,0.92,0.93,0.92,0.93,80000,0.93
2011-09-12,0.91,0.92,0.91,0.92,88000,0.92
2011-09-09,0.95,0.95,0.94,0.94,43000,0.94
2011-09-08,0.95,0.95,0.94,0.95,125000,0.95
2011-09-07,0.94,0.94,0.94,0.94,39000,0.94
2011-09-06,0.92,0.94,0.90,0.94,96000,0.94
2011-09-05,0.93,0.93,0.92,0.93,47000,0.93
2011-09-02,0.95,0.95,0.95,0.95,64000,0.95
2011-09-01,0.98,0.99,0.96,0.96,315000,0.96
2011-08-31,0.94,0.99,0.94,0.98,317000,0.98
2011-08-29,0.93,0.94,0.93,0.94,158000,0.94
2011-08-26,0.94,0.94,0.90,0.91,143000,0.91
2011-08-25,0.91,0.94,0.91,0.92,112000,0.92
2011-08-24,0.94,0.94,0.90,0.90,169000,0.90
2011-08-23,0.90,0.93,0.89,0.92,194000,0.92
2011-08-22,0.91,0.93,0.87,0.90,390000,0.90
2011-08-19,0.94,0.94,0.91,0.92,545000,0.92
2011-08-18,0.98,0.98,0.95,0.96,115000,0.96
2011-08-17,0.98,1.00,0.96,0.97,129000,0.97
2011-08-16,1.01,1.01,0.96,0.96,515000,0.96
2011-08-15,0.98,0.99,0.97,0.98,381000,0.98
2011-08-12,0.99,1.00,0.97,0.97,629000,0.97
2011-08-11,1.00,1.00,0.92,0.97,712000,0.97
2011-08-10,1.06,1.10,1.01,1.01,447000,1.01
2011-08-08,1.11,1.12,1.02,1.04,1046000,1.04
2011-08-05,1.19,1.19,1.12,1.14,1341000,1.14
2011-08-04,1.23,1.23,1.20,1.20,178000,1.20
