Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.04,0.05,0.04,0.04,000,0.04
2011-09-22,0.04,0.05,0.04,0.04,000,0.04
2011-09-21,0.04,0.05,0.04,0.04,000,0.04
2011-09-20,0.05,0.05,0.05,0.05,000,0.05
2011-09-19,0.05,0.05,0.05,0.05,50000,0.05
2011-09-16,0.05,0.06,0.05,0.05,000,0.05
2011-09-15,0.05,0.06,0.05,0.06,91000,0.06
2011-09-14,0.05,0.05,0.05,0.05,000,0.05
2011-09-13,0.05,0.06,0.05,0.05,000,0.05
2011-09-12,0.05,0.05,0.05,0.05,50000,0.05
2011-09-09,0.05,0.06,0.05,0.05,000,0.05
2011-09-08,0.05,0.05,0.05,0.05,000,0.05
2011-09-07,0.05,0.05,0.05,0.05,80000,0.05
2011-09-06,0.05,0.05,0.05,0.05,100000,0.05
2011-09-05,0.05,0.05,0.05,0.05,000,0.05
2011-09-02,0.05,0.05,0.05,0.05,000,0.05
2011-09-01,0.05,0.05,0.05,0.05,50000,0.05
2011-08-31,0.05,0.05,0.05,0.05,000,0.05
2011-08-29,0.05,0.05,0.05,0.05,000,0.05
2011-08-26,0.05,0.05,0.05,0.05,000,0.05
2011-08-25,0.05,0.05,0.05,0.05,60000,0.05
2011-08-24,0.04,0.05,0.04,0.04,000,0.04
2011-08-23,0.04,0.05,0.04,0.04,000,0.04
2011-08-22,0.04,0.06,0.04,0.04,000,0.04
2011-08-19,0.04,0.06,0.04,0.04,000,0.04
2011-08-18,0.04,0.06,0.04,0.04,000,0.04
2011-08-17,0.04,0.06,0.04,0.04,000,0.04
2011-08-16,0.04,0.06,0.04,0.04,000,0.04
2011-08-15,0.04,0.06,0.04,0.04,000,0.04
2011-08-12,0.04,0.06,0.04,0.04,000,0.04
2011-08-11,0.04,0.05,0.04,0.04,000,0.04
2011-08-10,0.04,0.06,0.04,0.04,000,0.04
2011-08-08,0.05,0.06,0.05,0.05,000,0.05
2011-08-05,0.06,0.06,0.05,0.05,60000,0.05
2011-08-04,0.06,0.06,0.06,0.06,000,0.06
2011-08-03,0.06,0.06,0.06,0.06,175000,0.06
