Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,104.50,104.80,104.50,104.62,5300,104.62
2011-09-22,105.13,105.15,104.90,105.00,3400,105.00
2011-09-21,105.13,105.13,105.13,105.13,200,105.13
2011-09-20,105.12,105.12,105.12,105.12,100,105.12
2011-09-19,105.30,105.30,105.05,105.05,1000,105.05
2011-09-16,105.00,105.20,105.00,105.20,2600,105.20
2011-09-15,105.00,105.00,105.00,105.00,100,105.00
2011-09-14,105.10,105.10,105.10,105.10,100,105.10
2011-09-13,105.20,105.20,104.81,105.00,3700,105.00
2011-09-12,105.20,105.20,105.01,105.01,2200,105.01
2011-09-09,105.10,105.20,105.10,105.20,400,105.20
2011-09-08,105.20,106.20,105.00,105.00,5200,105.00
2011-09-07,105.00,105.10,105.00,105.00,2300,105.00
2011-09-06,105.00,105.10,104.60,105.10,7400,105.10
2011-09-05,105.00,105.00,104.60,105.00,2800,105.00
2011-09-02,105.12,105.12,105.00,105.00,1600,105.00
2011-09-01,105.30,105.30,105.00,105.10,1600,105.10
2011-08-31,106.80,107.50,106.80,107.30,3100,107.30
2011-08-29,106.70,106.70,106.70,106.70,200,106.70
2011-08-26,106.80,106.80,106.80,106.80,1000,106.80
2011-08-25,106.40,106.40,106.40,106.40,200,106.40
2011-08-24,106.50,106.60,106.40,106.50,3300,106.50
2011-08-23,106.20,106.40,106.20,106.40,1600,106.40
2011-08-22,106.20,106.20,106.00,106.20,2800,106.20
2011-08-19,106.60,106.80,106.20,106.40,7900,106.40
2011-08-18,106.25,106.80,106.25,106.80,2600,106.80
2011-08-17,105.80,106.10,105.80,106.10,1200,106.10
2011-08-16,105.50,105.70,105.50,105.60,3400,105.60
2011-08-15,105.00,105.32,105.00,105.32,1700,105.32
2011-08-12,104.84,104.84,104.50,104.80,5700,104.80
2011-08-11,105.05,105.05,103.70,104.84,21700,104.84
2011-08-10,105.00,105.60,105.00,105.06,8400,105.06
2011-08-08,107.00,107.00,104.50,104.80,14800,104.80
2011-08-05,107.48,107.50,107.00,107.12,7100,107.12
2011-08-04,107.60,107.70,107.58,107.70,800,107.70
