Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.07,0.08,0.07,0.07,000,0.07
2011-09-22,0.08,0.08,0.08,0.08,55000,0.08
2011-09-21,0.08,0.08,0.08,0.08,000,0.08
2011-09-20,0.08,0.08,0.08,0.08,000,0.08
2011-09-19,0.07,0.09,0.07,0.07,000,0.07
2011-09-16,0.08,0.08,0.08,0.08,70000,0.08
2011-09-15,0.08,0.08,0.08,0.08,100000,0.08
2011-09-14,0.08,0.08,0.08,0.08,55000,0.08
2011-09-13,0.08,0.08,0.08,0.08,340000,0.08
2011-09-12,0.07,0.08,0.07,0.07,000,0.07
2011-09-09,0.08,0.09,0.08,0.08,000,0.08
2011-09-08,0.08,0.08,0.08,0.08,222000,0.08
2011-09-07,0.08,0.09,0.08,0.08,000,0.08
2011-09-06,0.08,0.08,0.08,0.08,000,0.08
2011-09-05,0.08,0.08,0.08,0.08,305000,0.08
2011-09-02,0.08,0.08,0.07,0.08,654000,0.08
2011-09-01,0.08,0.08,0.08,0.08,687000,0.08
2011-08-31,0.07,0.08,0.07,0.07,000,0.07
2011-08-29,0.07,0.07,0.07,0.07,000,0.07
2011-08-26,0.07,0.07,0.07,0.07,300000,0.07
2011-08-25,0.07,0.07,0.07,0.07,000,0.07
2011-08-24,0.07,0.07,0.07,0.07,205000,0.07
2011-08-23,0.06,0.08,0.06,0.06,000,0.06
2011-08-22,0.07,0.07,0.07,0.07,70000,0.07
2011-08-19,0.08,0.08,0.07,0.07,1407000,0.07
2011-08-18,0.07,0.08,0.07,0.08,2253000,0.08
2011-08-17,0.06,0.06,0.06,0.06,70000,0.06
2011-08-16,0.05,0.06,0.05,0.05,000,0.05
2011-08-15,0.05,0.07,0.05,0.07,62000,0.07
2011-08-12,0.05,0.06,0.05,0.05,000,0.05
2011-08-11,0.05,0.06,0.05,0.06,140000,0.06
2011-08-10,0.05,0.06,0.05,0.05,000,0.05
2011-08-08,0.05,0.06,0.05,0.05,000,0.05
2011-08-05,0.06,0.06,0.06,0.06,000,0.06
2011-08-04,0.06,0.06,0.06,0.06,150000,0.06
