Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,31.12,32.33,31.00,32.10,183000,32.10
2011-11-04,30.16,31.70,30.13,31.40,177000,31.40
2011-11-03,29.99,30.29,29.62,29.70,125000,29.70
2011-11-02,29.64,30.15,29.12,30.15,214500,30.15
2011-11-01,29.99,30.58,29.74,30.40,435000,30.40
2011-10-31,28.92,29.64,28.92,29.45,163000,29.45
2011-10-28,28.50,30.68,28.50,30.59,357000,30.59
2011-10-27,27.91,28.41,27.66,28.00,258000,28.00
2011-10-25,28.24,28.24,27.22,27.91,118000,27.91
2011-10-24,28.30,28.50,28.30,28.39,110500,28.39
2011-10-21,27.90,28.29,27.90,28.07,158000,28.07
2011-10-20,27.94,27.94,27.50,27.87,261500,27.87
2011-10-19,28.50,28.50,27.32,27.56,117500,27.56
2011-10-18,28.49,28.49,27.99,28.07,134000,28.07
2011-10-17,27.80,28.16,27.80,28.01,208000,28.01
2011-10-14,27.15,27.99,27.15,27.95,61000,27.95
2011-10-13,26.63,27.00,26.58,26.96,133000,26.96
2011-10-12,26.63,26.95,26.60,26.81,177500,26.81
2011-10-11,27.50,27.50,26.62,26.83,156000,26.83
2011-10-10,26.14,26.55,26.09,26.32,173500,26.32
2011-10-07,25.80,26.61,25.80,26.45,213500,26.45
2011-10-06,24.54,25.40,24.31,25.40,56500,25.40
2011-10-05,24.88,24.88,24.03,24.47,64000,24.47
2011-10-04,24.30,24.88,23.70,24.88,489500,24.88
2011-10-03,26.28,26.28,24.78,24.94,465000,24.94
2011-09-30,26.45,26.45,25.44,26.31,152000,26.31
2011-09-29,26.34,26.48,25.90,26.45,73500,26.45
2011-09-28,26.13,26.50,26.13,26.25,129500,26.25
2011-09-27,25.03,26.60,24.89,25.72,317000,25.72
