Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,2.82,2.82,2.72,2.77,2295000,2.77
2011-11-04,2.73,2.79,2.73,2.79,4446000,2.79
2011-11-03,2.70,2.71,2.63,2.67,3121000,2.67
2011-11-02,2.62,2.77,2.60,2.74,4146000,2.74
2011-11-01,2.77,2.78,2.64,2.66,5216000,2.66
2011-10-31,2.87,2.89,2.80,2.80,3312000,2.80
2011-10-28,2.85,2.93,2.81,2.89,8614000,2.89
2011-10-27,2.67,2.80,2.67,2.79,8909000,2.79
2011-10-25,2.72,2.75,2.67,2.69,3251000,2.69
2011-10-24,2.71,2.76,2.70,2.72,3611000,2.72
2011-10-21,2.68,2.69,2.64,2.66,1980000,2.66
2011-10-20,2.72,2.75,2.64,2.66,4712000,2.66
2011-10-19,2.74,2.78,2.71,2.73,6455000,2.73
2011-10-18,2.68,2.76,2.64,2.69,5366000,2.69
2011-10-17,2.70,2.73,2.67,2.72,2154000,2.72
2011-10-14,2.62,2.68,2.61,2.65,1687000,2.65
2011-10-13,2.62,2.70,2.58,2.66,5081000,2.66
2011-10-12,2.56,2.62,2.52,2.62,4499000,2.62
2011-10-11,2.61,2.66,2.57,2.58,6941000,2.58
2011-10-10,2.47,2.55,2.47,2.54,4779000,2.54
2011-10-07,2.43,2.51,2.41,2.44,11048000,2.44
2011-10-06,2.39,2.41,2.32,2.39,11220000,2.39
2011-10-05,2.32,2.37,2.31,2.36,9627000,2.36
2011-10-04,2.41,2.43,2.30,2.30,7436000,2.30
2011-10-03,2.53,2.53,2.44,2.46,4546000,2.46
2011-09-30,2.60,2.63,2.54,2.59,6925000,2.59
2011-09-29,2.63,2.66,2.60,2.61,3953000,2.61
2011-09-28,2.69,2.71,2.65,2.67,4782000,2.67
2011-09-27,2.70,2.73,2.67,2.69,3587000,2.69
