Date,Open,High,Low,Close,Volume,Adj Close
2011-07-18,10.00,10.00,10.00,10.00,000,10.00
2011-05-27,7.65,7.65,7.65,7.65,000,7.65
2011-05-26,7.40,7.40,7.40,7.40,000,7.40
2011-05-23,7.68,7.68,7.68,7.68,000,7.68
2011-05-10,8.80,8.80,8.80,8.80,000,8.80
2011-04-25,8.60,8.60,8.60,8.60,000,8.60
2011-04-20,8.55,8.55,8.55,8.55,000,8.55
2011-03-31,9.60,9.60,9.60,9.60,000,9.60
2011-03-24,8.60,8.60,8.60,8.60,000,8.60
2011-03-23,8.40,8.40,8.40,8.40,000,8.40
2011-03-22,8.65,8.65,8.65,8.65,000,8.65
2011-03-18,8.85,8.85,8.85,8.85,1000,8.85
