Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.25,0.26,0.25,0.26,26000,0.26
2011-08-15,0.26,0.26,0.26,0.26,5000,0.26
2011-08-12,0.25,0.26,0.25,0.26,129000,0.26
2011-08-11,0.26,0.26,0.25,0.25,56000,0.25
2011-08-10,0.27,0.27,0.26,0.26,105000,0.26
2011-08-08,0.26,0.26,0.26,0.26,153000,0.26
2011-08-05,0.29,0.29,0.28,0.28,32000,0.28
2011-08-04,0.28,0.30,0.28,0.28,000,0.28
2011-08-03,0.27,0.29,0.27,0.27,000,0.27
2011-08-02,0.28,0.30,0.28,0.28,000,0.28
2011-08-01,0.28,0.29,0.28,0.28,000,0.28
2011-07-29,0.27,0.29,0.27,0.27,000,0.27
2011-07-28,0.27,0.29,0.27,0.27,000,0.27
2011-07-27,0.27,0.29,0.27,0.27,000,0.27
2011-07-26,0.27,0.29,0.27,0.27,000,0.27
2011-07-25,0.27,0.29,0.27,0.27,000,0.27
2011-07-22,0.27,0.29,0.27,0.27,000,0.27
2011-07-21,0.29,0.29,0.29,0.29,15000,0.29
