Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,1.55,1.60,1.55,1.60,28746000,1.60
2011-11-04,1.58,1.60,1.56,1.57,44767000,1.57
2011-11-03,1.51,1.53,1.50,1.53,47472000,1.53
2011-11-02,1.45,1.55,1.43,1.55,95939000,1.55
2011-11-01,1.53,1.56,1.48,1.48,50458000,1.48
2011-10-31,1.62,1.62,1.55,1.55,37413000,1.55
2011-10-28,1.64,1.66,1.62,1.63,70559000,1.63
2011-10-27,1.49,1.62,1.49,1.62,95143000,1.62
2011-10-25,1.47,1.48,1.46,1.48,35174000,1.48
2011-10-24,1.45,1.48,1.44,1.47,36103000,1.47
2011-10-21,1.38,1.42,1.38,1.42,29378000,1.42
2011-10-20,1.41,1.41,1.37,1.38,42442000,1.38
2011-10-19,1.43,1.45,1.42,1.43,38548000,1.43
2011-10-18,1.43,1.43,1.40,1.41,35210000,1.41
2011-10-17,1.48,1.49,1.45,1.49,41200000,1.49
2011-10-14,1.42,1.46,1.42,1.45,41376000,1.45
2011-10-13,1.45,1.47,1.43,1.44,50356000,1.44
2011-10-12,1.38,1.46,1.38,1.45,55949000,1.45
2011-10-11,1.43,1.45,1.39,1.39,64849000,1.39
2011-10-10,1.39,1.40,1.36,1.40,26878000,1.40
2011-10-07,1.41,1.41,1.37,1.37,54864000,1.37
2011-10-06,1.31,1.38,1.30,1.38,94783000,1.38
2011-10-05,1.25,1.27,1.25,1.27,63859000,1.27
2011-10-04,1.25,1.27,1.21,1.21,78707000,1.21
2011-10-03,1.30,1.32,1.27,1.28,46886000,1.28
2011-09-30,1.39,1.39,1.32,1.33,61628000,1.33
2011-09-29,1.37,1.40,1.37,1.40,31310000,1.40
2011-09-28,1.43,1.45,1.40,1.40,34750000,1.40
2011-09-27,1.41,1.45,1.40,1.45,50492000,1.45
