Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.06,0.12,0.06,0.06,000,0.06
2011-08-15,0.07,0.12,0.07,0.07,000,0.07
2011-08-11,0.06,0.12,0.06,0.06,000,0.06
2011-08-10,0.07,0.07,0.07,0.07,000,0.07
2011-08-08,0.05,0.12,0.05,0.05,000,0.05
2011-08-05,0.07,0.12,0.07,0.07,000,0.07
2011-08-04,0.07,0.07,0.07,0.07,000,0.07
2011-08-03,0.07,0.14,0.07,0.07,000,0.07
2011-08-02,0.08,0.08,0.08,0.08,000,0.08
2011-08-01,0.08,0.08,0.08,0.08,000,0.08
2011-07-29,0.08,0.08,0.08,0.08,000,0.08
2011-07-28,0.08,0.08,0.08,0.08,000,0.08
2011-07-27,0.05,0.05,0.05,0.05,000,0.05
2011-07-26,0.08,0.15,0.08,0.08,000,0.08
2011-07-25,0.05,0.05,0.05,0.05,000,0.05
2011-07-22,0.05,0.05,0.05,0.05,000,0.05
2011-07-21,0.05,0.15,0.05,0.05,000,0.05
2011-07-20,0.05,0.05,0.05,0.05,000,0.05
2011-07-18,0.05,0.05,0.05,0.05,000,0.05
2011-07-15,0.08,0.08,0.08,0.08,000,0.08
2011-07-14,0.05,0.15,0.05,0.05,000,0.05
2011-07-13,0.09,0.15,0.09,0.09,000,0.09
2011-07-12,0.09,0.09,0.09,0.09,000,0.09
2011-07-11,0.08,0.08,0.08,0.08,000,0.08
2011-07-08,0.08,0.08,0.08,0.08,000,0.08
2011-07-07,0.08,0.12,0.08,0.08,000,0.08
2011-07-06,0.08,0.08,0.08,0.08,000,0.08
2011-07-05,0.10,0.10,0.10,0.10,1000,0.10
