Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,1.15,1.16,1.09,1.13,3783000,1.13
2011-11-04,1.18,1.20,1.15,1.15,2141000,1.15
2011-11-03,1.20,1.20,1.16,1.16,1180000,1.16
2011-11-02,1.15,1.22,1.14,1.21,1746000,1.21
2011-11-01,1.21,1.23,1.19,1.19,1180000,1.19
2011-10-31,1.30,1.30,1.00,1.25,1535000,1.25
2011-10-28,1.29,1.32,1.26,1.32,3966000,1.32
2011-10-27,1.20,1.28,1.20,1.27,4453000,1.27
2011-10-25,1.20,1.21,1.18,1.20,3464000,1.20
2011-10-24,1.13,1.18,1.13,1.18,2332000,1.18
2011-10-21,1.11,1.12,1.09,1.12,418000,1.12
2011-10-20,1.12,1.13,1.10,1.11,587000,1.11
2011-10-19,1.15,1.16,1.14,1.15,853000,1.15
2011-10-18,1.15,1.15,1.12,1.13,1867000,1.13
2011-10-17,1.11,1.20,1.10,1.19,3246000,1.19
2011-10-14,1.10,1.13,1.10,1.12,1857000,1.12
2011-10-13,1.09,1.12,1.08,1.11,2828000,1.11
2011-10-12,1.02,1.08,1.00,1.08,2301000,1.08
2011-10-11,1.02,1.03,1.01,1.02,3007000,1.02
2011-10-10,1.00,1.01,0.98,1.00,1962000,1.00
2011-10-07,1.02,1.03,0.99,1.01,4698000,1.01
2011-10-06,0.99,1.02,0.97,1.02,2681000,1.02
2011-10-05,1.00,1.01,0.92,0.99,2885000,0.99
2011-10-04,1.00,1.01,0.96,1.00,3195000,1.00
2011-10-03,1.07,1.08,1.03,1.04,2208000,1.04
2011-09-30,1.09,1.10,1.09,1.09,1146000,1.09
2011-09-29,1.09,1.11,1.08,1.11,1617000,1.11
2011-09-28,1.12,1.12,1.09,1.10,592000,1.10
2011-09-27,1.10,1.11,1.09,1.11,873000,1.11
