Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.03,0.05,0.03,0.03,000,0.03
2011-08-15,0.02,0.05,0.02,0.02,000,0.02
2011-08-12,0.03,0.04,0.03,0.03,000,0.03
2011-08-11,0.02,0.04,0.02,0.02,000,0.02
2011-08-10,0.02,0.05,0.02,0.02,000,0.02
2011-08-08,0.03,0.03,0.03,0.03,000,0.03
2011-08-05,0.03,0.05,0.03,0.03,000,0.03
2011-08-04,0.03,0.04,0.03,0.03,000,0.03
2011-08-03,0.03,0.04,0.03,0.03,000,0.03
2011-08-02,0.03,0.04,0.03,0.03,000,0.03
2011-08-01,0.03,0.04,0.03,0.03,000,0.03
2011-07-29,0.03,0.03,0.03,0.03,15000,0.03
