Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,4.16,4.16,3.99,4.14,8170000,4.14
2011-11-04,4.16,4.22,4.14,4.17,8218000,4.17
2011-11-03,3.95,4.10,3.95,4.10,8163000,4.10
2011-11-02,3.78,4.12,3.78,4.10,14406000,4.10
2011-11-01,4.11,4.18,3.89,3.89,15256000,3.89
2011-10-31,4.36,4.36,4.17,4.22,8617000,4.22
2011-10-28,4.27,4.39,4.27,4.36,16199000,4.36
2011-10-27,3.96,4.22,3.93,4.21,16935000,4.21
2011-10-25,4.00,4.03,3.91,3.95,6122000,3.95
2011-10-24,3.95,4.00,3.93,3.98,9298000,3.98
2011-10-21,3.79,3.82,3.73,3.81,6413000,3.81
2011-10-20,3.86,3.87,3.73,3.76,8603000,3.76
2011-10-19,3.95,3.98,3.88,3.89,8623000,3.89
2011-10-18,3.93,3.94,3.78,3.82,14700000,3.82
2011-10-17,3.91,4.09,3.91,4.09,15440000,4.09
2011-10-14,3.83,3.89,3.81,3.86,8941000,3.86
2011-10-13,3.69,3.91,3.60,3.89,16550000,3.89
2011-10-12,3.52,3.71,3.47,3.70,12386000,3.70
2011-10-11,3.58,3.67,3.54,3.55,13580000,3.55
2011-10-10,3.52,3.53,3.44,3.51,5926000,3.51
2011-10-07,3.40,3.52,3.35,3.45,16858000,3.45
2011-10-06,3.18,3.30,3.18,3.30,12623000,3.30
2011-10-05,3.15,3.17,3.10,3.11,7661000,3.11
2011-10-04,3.10,3.22,3.05,3.07,17442000,3.07
2011-10-03,3.19,3.22,3.11,3.18,15428000,3.18
2011-09-30,3.29,3.31,3.21,3.25,23338000,3.25
2011-09-29,3.30,3.39,3.30,3.35,7089000,3.35
2011-09-28,3.54,3.54,3.39,3.40,6614000,3.40
2011-09-27,3.44,3.58,3.41,3.55,11393000,3.55
