Date,Open,High,Low,Close,Volume,Adj Close
2011-11-08,1.86,1.88,1.86,1.88,742000,1.88
2011-11-04,1.86,1.87,1.84,1.86,803000,1.86
2011-11-03,1.86,1.86,1.85,1.86,356000,1.86
2011-11-02,1.84,1.87,1.84,1.86,813000,1.86
2011-11-01,1.84,1.87,1.83,1.87,727000,1.87
2011-10-31,1.88,1.88,1.84,1.84,816000,1.84
2011-10-28,1.86,1.89,1.85,1.89,1848000,1.89
2011-10-27,1.82,1.85,1.82,1.85,843000,1.85
2011-10-25,1.83,1.83,1.80,1.81,323000,1.81
2011-10-24,1.82,1.83,1.82,1.82,467000,1.82
2011-10-21,1.81,1.82,1.80,1.82,598000,1.82
2011-10-20,1.82,1.82,1.80,1.80,344000,1.80
2011-10-19,1.82,1.83,1.82,1.82,814000,1.82
2011-10-18,1.80,1.84,1.79,1.82,815000,1.82
2011-10-17,1.80,1.82,1.79,1.80,415000,1.80
2011-10-14,1.80,1.82,1.79,1.80,791000,1.80
2011-10-13,1.82,1.82,1.81,1.82,337000,1.82
2011-10-12,1.79,1.82,1.79,1.82,512000,1.82
2011-10-11,1.80,1.81,1.80,1.81,933000,1.81
2011-10-10,1.79,1.80,1.79,1.80,358000,1.80
2011-10-07,1.78,1.80,1.78,1.78,709000,1.78
2011-10-06,1.77,1.78,1.77,1.78,1015000,1.78
2011-10-05,1.75,1.77,1.75,1.77,755000,1.77
2011-10-04,1.74,1.76,1.73,1.75,1465000,1.75
2011-10-03,1.75,1.76,1.75,1.75,2095000,1.75
2011-09-30,1.72,1.75,1.72,1.75,652000,1.75
2011-09-29,1.75,1.75,1.71,1.73,548000,1.73
2011-09-28,1.76,1.76,1.74,1.75,323000,1.75
2011-09-27,1.75,1.76,1.75,1.75,482000,1.75
