Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,0.16,0.16,0.16,0.16,50000,0.16
2011-08-15,0.16,0.16,0.16,0.16,50000,0.16
2011-08-12,0.16,0.16,0.16,0.16,180000,0.16
2011-08-11,0.16,0.16,0.16,0.16,215000,0.16
2011-08-10,0.17,0.17,0.17,0.17,202000,0.17
2011-08-08,0.16,0.16,0.16,0.16,91000,0.16
2011-08-05,0.17,0.17,0.17,0.17,000,0.17
2011-08-04,0.17,0.18,0.17,0.17,000,0.17
2011-08-03,0.17,0.18,0.17,0.17,000,0.17
2011-08-02,0.17,0.17,0.17,0.17,000,0.17
2011-08-01,0.17,0.18,0.17,0.18,150000,0.18
