Date,Open,High,Low,Close,Volume,Adj Close
2011-08-16,1.12,1.50,1.12,1.12,000,1.12
2011-08-15,1.11,1.50,1.11,1.11,000,1.11
2011-08-12,1.11,1.50,1.11,1.11,000,1.11
2011-08-11,1.25,1.50,1.25,1.25,000,1.25
2011-08-10,1.30,1.50,1.30,1.30,000,1.30
2011-08-08,1.30,1.30,1.30,1.30,5000,1.30
2011-08-05,1.36,1.36,1.36,1.36,1000,1.36
2011-08-04,1.40,1.52,1.40,1.40,000,1.40
2011-08-03,1.36,1.54,1.36,1.36,000,1.36
2011-08-02,1.37,1.54,1.37,1.37,000,1.37
2011-08-01,1.37,1.54,1.37,1.37,000,1.37
2011-07-29,1.37,1.54,1.37,1.37,000,1.37
2011-07-28,1.40,1.52,1.40,1.40,000,1.40
2011-07-27,1.37,1.54,1.37,1.37,000,1.37
2011-07-26,1.48,1.48,1.48,1.48,7000,1.48
