Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.26,0.27,0.26,0.26,000,0.26
2011-08-03,0.27,0.27,0.27,0.27,80000,0.27
2011-08-02,0.27,0.27,0.27,0.27,15000,0.27
2011-08-01,0.26,0.29,0.26,0.26,000,0.26
2011-07-29,0.26,0.29,0.26,0.26,000,0.26
2011-07-28,0.26,0.29,0.26,0.26,000,0.26
2011-07-27,0.26,0.30,0.26,0.26,000,0.26
2011-07-26,0.26,0.30,0.26,0.26,000,0.26
2011-07-25,0.26,0.30,0.26,0.26,000,0.26
2011-07-22,0.26,0.30,0.26,0.26,000,0.26
2011-07-21,0.25,0.25,0.25,0.25,500,0.25
2011-07-20,0.25,0.30,0.25,0.25,000,0.25
2011-07-19,0.25,0.30,0.25,0.25,000,0.25
2011-07-18,0.26,0.30,0.26,0.26,000,0.26
2011-07-15,0.26,0.30,0.26,0.26,000,0.26
2011-07-14,0.26,0.28,0.26,0.26,000,0.26
2011-07-13,0.26,0.30,0.26,0.26,000,0.26
2011-07-12,0.28,0.28,0.28,0.28,10000,0.28
2011-07-11,0.25,0.30,0.25,0.25,000,0.25
2011-07-08,0.25,0.30,0.25,0.25,000,0.25
2011-07-07,0.26,0.30,0.26,0.26,000,0.26
2011-07-06,0.26,0.30,0.26,0.26,000,0.26
2011-07-05,0.28,0.28,0.28,0.28,34000,0.28
2011-07-04,0.28,0.34,0.28,0.28,000,0.28
2011-07-01,0.28,0.34,0.28,0.28,000,0.28
2011-06-30,0.28,0.34,0.28,0.28,000,0.28
2011-06-29,0.28,0.34,0.28,0.28,000,0.28
2011-06-28,0.26,0.30,0.26,0.30,13000,0.30
2011-06-27,0.26,0.34,0.26,0.26,000,0.26
2011-06-24,0.26,0.34,0.26,0.26,000,0.26
2011-06-23,0.26,0.34,0.26,0.26,000,0.26
2011-06-22,0.27,0.34,0.27,0.27,000,0.27
2011-06-21,0.27,0.34,0.27,0.27,000,0.27
2011-06-20,0.27,0.34,0.27,0.27,000,0.27
2011-06-17,0.27,0.34,0.27,0.27,000,0.27
2011-06-16,0.27,0.34,0.27,0.27,000,0.27
2011-06-15,0.27,0.34,0.27,0.27,000,0.27
2011-06-14,0.27,0.34,0.27,0.27,000,0.27
2011-06-13,0.27,0.34,0.27,0.27,000,0.27
2011-06-10,0.30,0.34,0.30,0.30,000,0.30
2011-06-09,0.30,0.34,0.30,0.30,000,0.30
2011-06-08,0.27,0.34,0.27,0.27,000,0.27
2011-06-07,0.30,0.34,0.30,0.30,000,0.30
2011-06-06,0.27,0.34,0.27,0.27,000,0.27
2011-06-03,0.27,0.34,0.27,0.27,000,0.27
2011-06-02,0.28,0.34,0.28,0.28,000,0.28
2011-06-01,0.28,0.34,0.28,0.28,000,0.28
2011-05-31,0.28,0.34,0.28,0.28,000,0.28
2011-05-30,0.28,0.34,0.28,0.28,000,0.28
2011-05-27,0.28,0.34,0.28,0.28,000,0.28
2011-05-26,0.28,0.34,0.28,0.28,000,0.28
2011-05-25,0.30,0.33,0.30,0.30,000,0.30
2011-05-24,0.30,0.33,0.30,0.30,000,0.30
2011-05-23,0.30,0.33,0.30,0.30,000,0.30
2011-05-20,0.30,0.33,0.30,0.30,000,0.30
2011-05-19,0.30,0.33,0.30,0.30,000,0.30
2011-05-18,0.30,0.30,0.30,0.30,20500,0.30
2011-05-16,0.30,0.34,0.30,0.30,000,0.30
2011-05-13,0.30,0.34,0.30,0.30,000,0.30
2011-05-12,0.30,0.34,0.30,0.30,000,0.30
2011-05-11,0.30,0.30,0.30,0.30,27000,0.30
2011-05-10,0.28,0.32,0.28,0.28,000,0.28
2011-05-09,0.28,0.32,0.28,0.28,000,0.28
2011-05-06,0.27,0.33,0.27,0.27,000,0.27
2011-05-05,0.28,0.33,0.28,0.28,000,0.28
2011-05-04,0.28,0.33,0.28,0.28,000,0.28
2011-05-03,0.28,0.33,0.28,0.28,000,0.28
2011-04-29,0.30,0.30,0.30,0.30,50000,0.30
2011-04-28,0.30,0.33,0.30,0.30,000,0.30
2011-04-27,0.30,0.30,0.30,0.30,20000,0.30
2011-04-26,0.27,0.33,0.27,0.27,000,0.27
2011-04-25,0.28,0.33,0.28,0.28,000,0.28
2011-04-21,0.28,0.32,0.28,0.28,000,0.28
2011-04-20,0.28,0.32,0.28,0.28,000,0.28
2011-04-19,0.28,0.32,0.28,0.28,000,0.28
2011-04-18,0.32,0.32,0.32,0.32,1000,0.32
2011-04-15,0.26,0.32,0.26,0.26,000,0.26
2011-04-14,0.26,0.32,0.26,0.26,000,0.26
2011-04-13,0.27,0.32,0.27,0.27,000,0.27
2011-04-12,0.27,0.32,0.27,0.27,000,0.27
2011-04-11,0.26,0.32,0.26,0.26,000,0.26
2011-04-08,0.28,0.30,0.28,0.28,000,0.28
2011-04-07,0.28,0.32,0.28,0.28,000,0.28
2011-04-06,0.28,0.28,0.28,0.28,500,0.28
2011-04-05,0.28,0.28,0.28,0.28,45000,0.28
2011-04-04,0.28,0.32,0.28,0.28,000,0.28
2011-04-01,0.28,0.28,0.28,0.28,20000,0.28
2011-03-31,0.28,0.33,0.28,0.28,000,0.28
2011-03-30,0.28,0.33,0.28,0.28,000,0.28
2011-03-29,0.22,0.33,0.22,0.22,000,0.22
2011-03-28,0.22,0.33,0.22,0.22,000,0.22
2011-03-25,0.23,0.33,0.23,0.23,000,0.23
2011-03-24,0.22,0.33,0.22,0.22,000,0.22
2011-03-23,0.23,0.33,0.23,0.23,000,0.23
2011-03-22,0.23,0.33,0.23,0.23,000,0.23
2011-03-21,0.22,0.33,0.22,0.22,000,0.22
2011-03-18,0.20,0.33,0.20,0.20,000,0.20
2011-03-17,0.23,0.33,0.23,0.23,000,0.23
2011-03-16,0.22,0.33,0.22,0.22,000,0.22
2011-03-15,0.23,0.33,0.23,0.23,000,0.23
2011-03-14,0.24,0.33,0.24,0.24,000,0.24
2011-03-11,0.25,0.33,0.25,0.25,000,0.25
2011-03-10,0.29,0.29,0.27,0.27,28000,0.27
2011-03-09,0.29,0.34,0.29,0.29,000,0.29
2011-03-08,0.29,0.34,0.29,0.29,000,0.29
2011-03-07,0.29,0.34,0.29,0.29,000,0.29
2011-03-04,0.30,0.34,0.30,0.30,000,0.30
2011-03-03,0.34,0.34,0.34,0.34,328000,0.34
2011-03-02,0.29,0.34,0.29,0.29,000,0.29
2011-03-01,0.30,0.34,0.30,0.30,000,0.30
2011-02-28,0.30,0.34,0.30,0.30,000,0.30
