Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.00,0.00,0.00,0.00,2972000,0.00
2011-08-03,0.00,0.00,0.00,0.00,000,0.00
2011-08-02,0.00,0.00,0.00,0.00,2427000,0.00
2011-08-01,0.00,0.00,0.00,0.00,98000,0.00
2011-07-29,0.00,0.00,0.00,0.00,000,0.00
2011-07-28,0.00,0.00,0.00,0.00,000,0.00
2011-07-27,0.00,0.00,0.00,0.00,132000,0.00
2011-07-26,0.00,0.00,0.00,0.00,2000,0.00
2011-07-25,0.00,0.00,0.00,0.00,128000,0.00
2011-07-22,0.00,0.00,0.00,0.00,1462000,0.00
2011-07-21,0.00,0.00,0.00,0.00,805000,0.00
2011-07-20,0.00,0.00,0.00,0.00,3094000,0.00
2011-07-19,0.00,0.00,0.00,0.00,750000,0.00
2011-07-18,0.00,0.00,0.00,0.00,000,0.00
2011-07-15,0.00,0.00,0.00,0.00,100000,0.00
2011-07-14,0.00,0.00,0.00,0.00,6047000,0.00
2011-07-13,0.00,0.00,0.00,0.00,12471000,0.00
2011-07-12,0.00,0.00,0.00,0.00,4180000,0.00
2011-07-11,0.00,0.00,0.00,0.00,1531000,0.00
2011-07-08,0.00,0.00,0.00,0.00,1500000,0.00
2011-07-07,0.00,0.00,0.00,0.00,10012000,0.00
2011-07-06,0.00,0.00,0.00,0.00,300000,0.00
2011-07-05,0.00,0.00,0.00,0.00,1007000,0.00
2011-07-04,0.00,0.00,0.00,0.00,123000,0.00
2011-07-01,0.00,0.00,0.00,0.00,000,0.00
2011-06-30,0.00,0.00,0.00,0.00,000,0.00
2011-06-29,0.00,0.00,0.00,0.00,000,0.00
2011-06-28,0.00,0.00,0.00,0.00,000,0.00
2011-06-27,0.00,0.00,0.00,0.00,000,0.00
2011-06-24,0.00,0.00,0.00,0.00,000,0.00
2011-06-23,0.00,0.00,0.00,0.00,000,0.00
2011-06-22,0.00,0.00,0.00,0.00,000,0.00
2011-06-21,0.00,0.00,0.00,0.00,000,0.00
2011-06-20,0.00,0.00,0.00,0.00,30000,0.00
2011-06-17,0.00,0.00,0.00,0.00,000,0.00
2011-06-16,0.00,0.00,0.00,0.00,1550000,0.00
2011-06-15,0.00,0.00,0.00,0.00,000,0.00
2011-06-14,0.00,0.00,0.00,0.00,000,0.00
2011-06-13,0.00,0.00,0.00,0.00,000,0.00
2011-06-10,0.00,0.00,0.00,0.00,000,0.00
2011-06-09,0.00,0.00,0.00,0.00,000,0.00
2011-06-08,0.00,0.00,0.00,0.00,000,0.00
2011-06-07,0.00,0.00,0.00,0.00,000,0.00
2011-06-06,0.00,0.00,0.00,0.00,000,0.00
2011-06-03,0.00,0.00,0.00,0.00,000,0.00
2011-06-02,0.00,0.00,0.00,0.00,000,0.00
2011-06-01,0.00,0.00,0.00,0.00,1300000,0.00
2011-05-31,0.00,0.00,0.00,0.00,000,0.00
2011-05-30,0.00,0.00,0.00,0.00,000,0.00
2011-05-27,0.00,0.00,0.00,0.00,000,0.00
2011-05-26,0.00,0.00,0.00,0.00,200000,0.00
2011-05-25,0.00,0.00,0.00,0.00,000,0.00
2011-05-24,0.00,0.00,0.00,0.00,000,0.00
2011-05-23,0.00,0.00,0.00,0.00,300000,0.00
2011-05-20,0.00,0.00,0.00,0.00,000,0.00
2011-05-19,0.00,0.00,0.00,0.00,000,0.00
2011-05-18,0.00,0.00,0.00,0.00,412000,0.00
2011-05-16,0.00,0.00,0.00,0.00,000,0.00
