Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.40,0.40,0.40,0.40,194000,0.40
2011-08-03,0.40,0.41,0.40,0.41,433000,0.41
2011-08-02,0.41,0.41,0.41,0.41,60000,0.41
2011-08-01,0.41,0.41,0.41,0.41,65000,0.41
2011-07-29,0.40,0.41,0.40,0.41,35000,0.41
2011-07-28,0.41,0.41,0.41,0.41,89000,0.41
2011-07-27,0.41,0.43,0.41,0.41,1135000,0.41
2011-07-26,0.40,0.40,0.40,0.40,250000,0.40
2011-07-25,0.40,0.40,0.40,0.40,291000,0.40
2011-07-22,0.40,0.40,0.40,0.40,104000,0.40
2011-07-21,0.40,0.40,0.40,0.40,81000,0.40
2011-07-20,0.40,0.40,0.39,0.39,92000,0.39
2011-07-19,0.38,0.39,0.38,0.39,200000,0.39
2011-07-18,0.39,0.39,0.38,0.38,248000,0.38
2011-07-15,0.40,0.40,0.39,0.39,225000,0.39
2011-07-14,0.41,0.41,0.40,0.40,30000,0.40
2011-07-13,0.40,0.40,0.40,0.40,97000,0.40
2011-07-12,0.41,0.41,0.39,0.40,369000,0.40
2011-07-11,0.40,0.41,0.40,0.41,723000,0.41
2011-07-08,0.38,0.40,0.38,0.40,855000,0.40
2011-07-07,0.38,0.38,0.38,0.38,181000,0.38
2011-07-06,0.38,0.38,0.38,0.38,193000,0.38
2011-07-05,0.38,0.38,0.38,0.38,61000,0.38
2011-07-04,0.38,0.38,0.38,0.38,60000,0.38
2011-07-01,0.38,0.38,0.38,0.38,210000,0.38
2011-06-30,0.38,0.38,0.38,0.38,104000,0.38
2011-06-29,0.37,0.38,0.37,0.37,10000,0.37
2011-06-28,0.37,0.37,0.37,0.37,70000,0.37
2011-06-27,0.38,0.38,0.37,0.37,168000,0.37
2011-06-24,0.37,0.38,0.37,0.38,94000,0.38
2011-06-23,0.37,0.37,0.37,0.37,51000,0.37
2011-06-22,0.37,0.37,0.37,0.37,50000,0.37
2011-06-21,0.37,0.37,0.37,0.37,119000,0.37
2011-06-20,0.37,0.37,0.37,0.37,215000,0.37
2011-06-17,0.38,0.38,0.36,0.37,465000,0.37
2011-06-16,0.38,0.38,0.38,0.38,213000,0.38
2011-06-15,0.38,0.38,0.38,0.38,135000,0.38
2011-06-14,0.38,0.38,0.38,0.38,91000,0.38
2011-06-13,0.38,0.38,0.37,0.38,532000,0.38
2011-06-10,0.38,0.40,0.38,0.39,1442000,0.39
2011-06-09,0.38,0.38,0.38,0.38,569000,0.38
2011-06-08,0.38,0.38,0.38,0.38,471000,0.38
2011-06-07,0.37,0.37,0.37,0.37,132000,0.37
2011-06-06,0.37,0.37,0.37,0.37,250000,0.37
2011-06-03,0.37,0.37,0.37,0.37,1000,0.37
2011-06-02,0.37,0.37,0.37,0.37,130000,0.37
2011-06-01,0.37,0.37,0.37,0.37,149000,0.37
2011-05-31,0.37,0.37,0.37,0.37,74000,0.37
2011-05-30,0.36,0.37,0.36,0.37,86000,0.37
2011-05-27,0.37,0.37,0.37,0.37,16000,0.37
2011-05-26,0.36,0.36,0.36,0.36,10000,0.36
2011-05-25,0.36,0.37,0.36,0.37,162000,0.37
2011-05-24,0.36,0.36,0.36,0.36,151000,0.36
2011-05-23,0.36,0.37,0.36,0.37,150000,0.37
2011-05-20,0.36,0.36,0.36,0.36,3000,0.36
2011-05-19,0.36,0.37,0.36,0.36,000,0.36
2011-05-18,0.37,0.37,0.37,0.37,102000,0.37
2011-05-16,0.37,0.37,0.37,0.37,170000,0.37
2011-05-13,0.37,0.37,0.37,0.37,42000,0.37
2011-05-12,0.37,0.37,0.36,0.36,70000,0.36
2011-05-11,0.36,0.37,0.36,0.37,97000,0.37
2011-05-10,0.37,0.37,0.37,0.37,271000,0.37
2011-05-09,0.37,0.37,0.36,0.37,270000,0.37
2011-05-06,0.36,0.36,0.36,0.36,23000,0.36
2011-05-05,0.36,0.37,0.36,0.37,185000,0.37
2011-05-04,0.35,0.37,0.35,0.37,104000,0.37
2011-05-03,0.35,0.35,0.35,0.35,113000,0.35
2011-04-29,0.35,0.36,0.35,0.35,133000,0.35
2011-04-28,0.36,0.37,0.36,0.36,502000,0.36
2011-04-27,0.36,0.37,0.36,0.37,276000,0.37
2011-04-26,0.37,0.37,0.36,0.37,223000,0.37
2011-04-25,0.36,0.37,0.36,0.37,106000,0.37
2011-04-21,0.37,0.37,0.37,0.37,92000,0.37
2011-04-20,0.36,0.37,0.36,0.37,6000,0.37
2011-04-19,0.37,0.37,0.37,0.37,150000,0.37
2011-04-18,0.37,0.37,0.37,0.37,35000,0.37
2011-04-15,0.37,0.37,0.37,0.37,195000,0.37
2011-04-14,0.37,0.37,0.36,0.37,157000,0.37
2011-04-13,0.37,0.38,0.37,0.37,49000,0.37
2011-04-12,0.38,0.38,0.38,0.38,131000,0.38
2011-04-11,0.38,0.38,0.38,0.38,234000,0.38
2011-04-08,0.38,0.38,0.36,0.38,361000,0.38
2011-04-07,0.47,0.47,0.46,0.46,769000,0.46
2011-04-06,0.46,0.47,0.46,0.47,337000,0.47
2011-04-05,0.47,0.47,0.46,0.46,159000,0.46
2011-04-04,0.46,0.47,0.46,0.47,246000,0.47
2011-04-01,0.46,0.46,0.45,0.46,193000,0.46
2011-03-31,0.46,0.46,0.45,0.46,56000,0.46
2011-03-30,0.46,0.46,0.46,0.46,107000,0.46
2011-03-29,0.45,0.46,0.45,0.46,158000,0.46
2011-03-28,0.46,0.46,0.46,0.46,24000,0.46
2011-03-25,0.46,0.47,0.46,0.46,169000,0.46
2011-03-24,0.46,0.46,0.46,0.46,197000,0.46
2011-03-23,0.44,0.45,0.44,0.45,166000,0.45
2011-03-22,0.44,0.44,0.44,0.44,82000,0.44
2011-03-21,0.44,0.44,0.44,0.44,000,0.44
2011-03-18,0.44,0.44,0.44,0.44,30000,0.44
2011-03-17,0.43,0.44,0.43,0.44,140000,0.44
2011-03-16,0.43,0.44,0.43,0.44,6000,0.44
2011-03-15,0.43,0.43,0.43,0.43,104000,0.43
2011-03-14,0.44,0.44,0.44,0.44,186000,0.44
2011-03-11,0.44,0.44,0.44,0.44,1000,0.44
2011-03-10,0.44,0.45,0.44,0.45,61000,0.45
2011-03-09,0.45,0.45,0.44,0.44,55000,0.44
2011-03-08,0.44,0.45,0.44,0.45,80000,0.45
2011-03-07,0.44,0.45,0.44,0.44,50000,0.44
2011-03-04,0.44,0.44,0.44,0.44,89000,0.44
2011-03-03,0.44,0.44,0.44,0.44,46000,0.44
2011-03-02,0.44,0.44,0.43,0.44,45000,0.44
