Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.21,0.21,0.21,0.21,10000,0.21
2011-08-03,0.20,0.21,0.20,0.20,000,0.20
2011-08-02,0.21,0.21,0.21,0.21,150000,0.21
2011-08-01,0.20,0.21,0.20,0.20,000,0.20
2011-07-29,0.20,0.21,0.20,0.21,47000,0.21
2011-07-28,0.21,0.22,0.21,0.21,66000,0.21
2011-07-27,0.22,0.22,0.22,0.22,80000,0.22
2011-07-26,0.22,0.22,0.22,0.22,77000,0.22
2011-07-25,0.22,0.22,0.21,0.22,87000,0.22
2011-07-22,0.22,0.22,0.22,0.22,000,0.22
2011-07-21,0.22,0.22,0.22,0.22,33000,0.22
2011-07-20,0.22,0.22,0.22,0.22,15000,0.22
2011-07-19,0.21,0.22,0.21,0.22,11000,0.22
2011-07-18,0.21,0.22,0.21,0.21,000,0.21
2011-07-15,0.22,0.22,0.22,0.22,30000,0.22
2011-07-14,0.22,0.22,0.22,0.22,50000,0.22
2011-07-13,0.23,0.23,0.23,0.23,25000,0.23
2011-07-12,0.22,0.22,0.22,0.22,11000,0.22
2011-07-11,0.22,0.22,0.22,0.22,000,0.22
2011-07-08,0.22,0.22,0.22,0.22,000,0.22
2011-07-07,0.22,0.22,0.22,0.22,19000,0.22
2011-07-06,0.22,0.22,0.22,0.22,000,0.22
2011-07-05,0.22,0.22,0.22,0.22,124000,0.22
2011-07-04,0.22,0.22,0.22,0.22,119000,0.22
2011-07-01,0.22,0.22,0.22,0.22,323000,0.22
2011-06-30,0.22,0.22,0.22,0.22,47000,0.22
2011-06-29,0.22,0.22,0.22,0.22,000,0.22
2011-06-28,0.22,0.22,0.22,0.22,6000,0.22
2011-06-27,0.21,0.22,0.21,0.21,000,0.21
2011-06-24,0.21,0.21,0.21,0.21,1000,0.21
2011-06-23,0.22,0.22,0.21,0.21,102000,0.21
2011-06-22,0.21,0.21,0.21,0.21,114000,0.21
2011-06-21,0.21,0.21,0.21,0.21,120000,0.21
2011-06-20,0.20,0.22,0.20,0.20,000,0.20
2011-06-17,0.21,0.21,0.21,0.21,60000,0.21
2011-06-16,0.22,0.22,0.22,0.22,40000,0.22
2011-06-15,0.22,0.22,0.22,0.22,65000,0.22
2011-06-14,0.22,0.22,0.22,0.22,173000,0.22
2011-06-13,0.22,0.22,0.20,0.22,56000,0.22
2011-06-10,0.21,0.22,0.21,0.21,000,0.21
2011-06-09,0.22,0.22,0.21,0.21,3000,0.21
2011-06-08,0.21,0.21,0.21,0.21,1000,0.21
2011-06-07,0.22,0.22,0.22,0.22,150000,0.22
2011-06-06,0.22,0.22,0.21,0.22,210000,0.22
2011-06-03,0.21,0.22,0.21,0.21,000,0.21
2011-06-02,0.21,0.22,0.21,0.22,20000,0.22
2011-06-01,0.22,0.22,0.22,0.22,10000,0.22
2011-05-31,0.21,0.22,0.21,0.21,000,0.21
2011-05-30,0.21,0.22,0.21,0.21,000,0.21
2011-05-27,0.22,0.22,0.22,0.22,10000,0.22
2011-05-26,0.21,0.22,0.21,0.22,63000,0.22
2011-05-25,0.21,0.21,0.21,0.21,153000,0.21
2011-05-24,0.22,0.22,0.22,0.22,50000,0.22
2011-05-23,0.22,0.22,0.21,0.21,173000,0.21
2011-05-20,0.21,0.22,0.21,0.22,121000,0.22
2011-05-19,0.21,0.22,0.21,0.21,21000,0.21
2011-05-18,0.21,0.22,0.21,0.22,85000,0.22
2011-05-16,0.20,0.21,0.20,0.20,000,0.20
2011-05-13,0.21,0.21,0.21,0.21,120000,0.21
2011-05-12,0.20,0.22,0.20,0.20,000,0.20
2011-05-11,0.20,0.23,0.20,0.20,000,0.20
2011-05-10,0.20,0.23,0.20,0.20,000,0.20
2011-05-09,0.20,0.20,0.20,0.20,3000,0.20
2011-05-06,0.20,0.22,0.20,0.20,000,0.20
2011-05-05,0.20,0.21,0.20,0.20,000,0.20
2011-05-04,0.20,0.20,0.20,0.20,3000,0.20
2011-05-03,0.20,0.21,0.20,0.20,000,0.20
2011-04-29,0.21,0.21,0.21,0.21,10000,0.21
2011-04-28,0.21,0.21,0.21,0.21,100000,0.21
2011-04-27,0.20,0.22,0.20,0.20,000,0.20
2011-04-26,0.20,0.21,0.20,0.20,000,0.20
2011-04-25,0.20,0.22,0.20,0.20,000,0.20
2011-04-21,0.21,0.21,0.21,0.21,22000,0.21
2011-04-20,0.20,0.20,0.20,0.20,4000,0.20
2011-04-19,0.20,0.20,0.20,0.20,18000,0.20
2011-04-18,0.20,0.21,0.20,0.20,000,0.20
2011-04-15,0.20,0.22,0.20,0.20,000,0.20
2011-04-14,0.21,0.21,0.20,0.20,62000,0.20
2011-04-13,0.20,0.21,0.20,0.20,000,0.20
2011-04-12,0.20,0.21,0.20,0.21,131000,0.21
2011-04-11,0.20,0.20,0.20,0.20,20000,0.20
2011-04-08,0.20,0.22,0.20,0.20,000,0.20
2011-04-07,0.21,0.21,0.21,0.21,115000,0.21
2011-04-06,0.21,0.22,0.21,0.22,117000,0.22
2011-04-05,0.21,0.21,0.21,0.21,30000,0.21
2011-04-04,0.20,0.21,0.20,0.20,000,0.20
2011-04-01,0.20,0.21,0.20,0.20,000,0.20
2011-03-31,0.20,0.21,0.20,0.20,000,0.20
2011-03-30,0.20,0.21,0.20,0.20,000,0.20
2011-03-29,0.20,0.21,0.20,0.21,38000,0.21
2011-03-28,0.20,0.21,0.20,0.20,000,0.20
2011-03-25,0.21,0.21,0.21,0.21,11000,0.21
2011-03-24,0.21,0.21,0.20,0.20,30000,0.20
2011-03-23,0.20,0.22,0.20,0.20,000,0.20
2011-03-22,0.21,0.21,0.20,0.20,2000,0.20
2011-03-21,0.20,0.20,0.20,0.20,10000,0.20
2011-03-18,0.20,0.21,0.20,0.20,000,0.20
2011-03-17,0.20,0.20,0.20,0.20,10000,0.20
2011-03-16,0.20,0.20,0.20,0.20,20000,0.20
2011-03-15,0.20,0.20,0.20,0.20,000,0.20
2011-03-14,0.20,0.20,0.20,0.20,2000,0.20
2011-03-11,0.21,0.21,0.21,0.21,103000,0.21
2011-03-10,0.20,0.20,0.20,0.20,20000,0.20
2011-03-09,0.21,0.21,0.21,0.21,57000,0.21
2011-03-08,0.21,0.21,0.21,0.21,450000,0.21
2011-03-07,0.20,0.22,0.20,0.20,000,0.20
2011-03-04,0.20,0.22,0.20,0.20,000,0.20
2011-03-03,0.23,0.23,0.21,0.21,33000,0.21
2011-03-02,0.20,0.21,0.20,0.21,21000,0.21
2011-03-01,0.20,0.20,0.20,0.20,11000,0.20
2011-02-28,0.20,0.22,0.20,0.20,000,0.20
2011-02-25,0.20,0.21,0.20,0.21,264000,0.21
2011-02-24,0.20,0.20,0.20,0.20,70000,0.20
2011-02-23,0.20,0.21,0.20,0.20,000,0.20
2011-02-22,0.20,0.21,0.20,0.20,000,0.20
2011-02-21,0.20,0.20,0.20,0.20,40000,0.20
2011-02-18,0.21,0.21,0.20,0.20,175000,0.20
2011-02-17,0.20,0.20,0.20,0.20,284000,0.20
2011-02-16,0.20,0.21,0.20,0.21,96000,0.21
2011-02-15,0.20,0.20,0.20,0.20,337000,0.20
2011-02-14,0.22,0.22,0.20,0.20,73000,0.20
2011-02-11,0.21,0.23,0.21,0.21,000,0.21
2011-02-10,0.20,0.23,0.20,0.20,000,0.20
2011-02-09,0.20,0.23,0.20,0.20,000,0.20
2011-02-08,0.21,0.23,0.21,0.21,000,0.21
2011-02-07,0.21,0.22,0.21,0.21,000,0.21
2011-02-02,0.21,0.22,0.21,0.21,000,0.21
2011-02-01,0.21,0.22,0.21,0.21,000,0.21
2011-01-31,0.21,0.22,0.21,0.21,000,0.21
2011-01-28,0.22,0.22,0.21,0.21,94000,0.21
2011-01-27,0.21,0.21,0.21,0.21,29000,0.21
2011-01-26,0.21,0.21,0.21,0.21,101000,0.21
2011-01-25,0.22,0.22,0.20,0.20,306000,0.20
2011-01-24,0.22,0.22,0.22,0.22,145000,0.22
2011-01-21,0.22,0.22,0.22,0.22,20000,0.22
2011-01-20,0.22,0.22,0.22,0.22,282000,0.22
2011-01-19,0.22,0.22,0.22,0.22,15000,0.22
2011-01-18,0.22,0.22,0.22,0.22,000,0.22
2011-01-17,0.22,0.22,0.22,0.22,30000,0.22
2011-01-14,0.22,0.22,0.22,0.22,000,0.22
2011-01-13,0.22,0.22,0.22,0.22,50000,0.22
2011-01-12,0.22,0.22,0.22,0.22,288000,0.22
2011-01-11,0.22,0.22,0.22,0.22,31000,0.22
2011-01-10,0.22,0.22,0.22,0.22,48000,0.22
2011-01-07,0.22,0.22,0.22,0.22,30000,0.22
2011-01-06,0.22,0.22,0.22,0.22,97000,0.22
2011-01-05,0.22,0.22,0.22,0.22,17000,0.22
2011-01-04,0.22,0.22,0.22,0.22,157000,0.22
2011-01-03,0.22,0.22,0.22,0.22,101000,0.22
2010-12-31,0.22,0.22,0.22,0.22,65000,0.22
2010-12-30,0.22,0.22,0.22,0.22,11000,0.22
2010-12-29,0.22,0.22,0.22,0.22,000,0.22
2010-12-28,0.22,0.22,0.22,0.22,54000,0.22
2010-12-27,0.22,0.22,0.22,0.22,40000,0.22
2010-12-24,0.22,0.22,0.22,0.22,34000,0.22
2010-12-23,0.22,0.22,0.22,0.22,4000,0.22
2010-12-22,0.22,0.22,0.22,0.22,20000,0.22
2010-12-21,0.22,0.22,0.22,0.22,4000,0.22
2010-12-20,0.22,0.22,0.22,0.22,89000,0.22
2010-12-17,0.22,0.22,0.22,0.22,60000,0.22
2010-12-16,0.21,0.22,0.21,0.21,000,0.21
2010-12-15,0.21,0.22,0.21,0.21,367000,0.21
2010-12-14,0.21,0.21,0.21,0.21,45000,0.21
2010-12-13,0.22,0.22,0.20,0.21,1836000,0.21
2010-12-10,0.22,0.22,0.21,0.22,1290000,0.22
2010-12-09,0.22,0.22,0.22,0.22,246000,0.22
2010-12-08,0.22,0.22,0.22,0.22,85000,0.22
2010-12-07,0.22,0.22,0.22,0.22,445000,0.22
2010-12-06,0.22,0.22,0.22,0.22,10000,0.22
2010-12-03,0.22,0.23,0.22,0.22,000,0.22
2010-12-02,0.23,0.23,0.23,0.23,8000,0.23
2010-12-01,0.23,0.23,0.22,0.22,50000,0.22
2010-11-30,0.22,0.22,0.22,0.22,60000,0.22
2010-11-29,0.22,0.22,0.22,0.22,5000,0.22
2010-11-26,0.22,0.22,0.22,0.22,5000,0.22
2010-11-25,0.22,0.22,0.22,0.22,148000,0.22
2010-11-24,0.22,0.23,0.22,0.22,000,0.22
2010-11-23,0.22,0.22,0.22,0.22,22000,0.22
2010-11-22,0.23,0.23,0.23,0.23,3000,0.23
2010-11-19,0.22,0.23,0.22,0.22,25000,0.22
2010-11-18,0.23,0.23,0.23,0.23,66000,0.23
2010-11-16,0.22,0.23,0.22,0.22,000,0.22
2010-11-15,0.23,0.23,0.23,0.23,96000,0.23
2010-11-12,0.23,0.23,0.23,0.23,000,0.23
2010-11-11,0.23,0.23,0.23,0.23,100000,0.23
2010-11-10,0.23,0.24,0.23,0.23,96000,0.23
2010-11-09,0.23,0.23,0.23,0.23,135000,0.23
2010-11-08,0.23,0.23,0.23,0.23,91000,0.23
2010-11-04,0.23,0.24,0.23,0.23,98000,0.23
2010-11-03,0.23,0.24,0.23,0.24,15000,0.24
2010-11-02,0.23,0.23,0.23,0.23,8000,0.23
2010-11-01,0.24,0.24,0.24,0.24,38000,0.24
2010-10-29,0.23,0.24,0.23,0.24,143000,0.24
2010-10-28,0.23,0.24,0.23,0.23,000,0.23
2010-10-27,0.24,0.25,0.24,0.24,154000,0.24
2010-10-26,0.24,0.24,0.24,0.24,102000,0.24
2010-10-25,0.24,0.25,0.24,0.24,000,0.24
2010-10-22,0.25,0.25,0.25,0.25,32000,0.25
2010-10-21,0.24,0.25,0.24,0.25,51000,0.25
2010-10-20,0.24,0.24,0.24,0.24,79000,0.24
2010-10-19,0.24,0.25,0.24,0.25,141000,0.25
2010-10-18,0.23,0.25,0.23,0.23,000,0.23
2010-10-15,0.24,0.25,0.24,0.24,87000,0.24
2010-10-14,0.25,0.25,0.25,0.25,10000,0.25
2010-10-13,0.25,0.25,0.24,0.25,45000,0.25
2010-10-12,0.24,0.25,0.24,0.24,104000,0.24
2010-10-11,0.23,0.23,0.23,0.23,1000,0.23
2010-10-08,0.23,0.25,0.23,0.23,000,0.23
2010-10-07,0.24,0.24,0.24,0.24,131000,0.24
2010-10-06,0.23,0.23,0.23,0.23,40000,0.23
2010-10-05,0.23,0.23,0.23,0.23,40000,0.23
2010-10-04,0.23,0.23,0.23,0.23,45000,0.23
2010-10-01,0.23,0.23,0.23,0.23,5000,0.23
2010-09-30,0.25,0.25,0.24,0.25,141000,0.25
2010-09-29,0.25,0.25,0.25,0.25,120000,0.25
2010-09-28,0.24,0.24,0.24,0.24,143000,0.24
2010-09-27,0.23,0.24,0.23,0.24,74000,0.24
2010-09-24,0.23,0.24,0.23,0.23,000,0.23
2010-09-23,0.23,0.23,0.23,0.23,44000,0.23
2010-09-22,0.23,0.25,0.23,0.23,000,0.23
2010-09-21,0.23,0.23,0.23,0.23,000,0.23
2010-09-20,0.23,0.23,0.23,0.23,29000,0.23
2010-09-17,0.23,0.23,0.23,0.23,25000,0.23
2010-09-16,0.23,0.23,0.23,0.23,50000,0.23
2010-09-15,0.23,0.24,0.23,0.23,000,0.23
2010-09-14,0.23,0.23,0.23,0.23,5000,0.23
2010-09-13,0.25,0.25,0.23,0.23,71000,0.23
2010-09-09,0.23,0.25,0.23,0.25,50000,0.25
2010-09-08,0.23,0.23,0.23,0.23,000,0.23
2010-09-07,0.23,0.24,0.23,0.23,000,0.23
2010-09-06,0.22,0.24,0.22,0.22,000,0.22
2010-09-03,0.22,0.22,0.22,0.22,15000,0.22
2010-09-02,0.23,0.23,0.23,0.23,124000,0.23
2010-09-01,0.23,0.24,0.23,0.23,000,0.23
2010-08-31,0.23,0.24,0.23,0.24,30000,0.24
2010-08-30,0.23,0.25,0.23,0.23,82000,0.23
2010-08-27,0.23,0.24,0.23,0.24,141000,0.24
2010-08-26,0.25,0.25,0.24,0.24,119000,0.24
2010-08-25,0.24,0.25,0.24,0.25,183000,0.25
2010-08-24,0.24,0.24,0.23,0.23,48000,0.23
2010-08-23,0.24,0.24,0.24,0.24,33000,0.24
2010-08-20,0.25,0.25,0.25,0.25,30000,0.25
2010-08-19,0.24,0.25,0.24,0.25,174000,0.25
2010-08-18,0.25,0.25,0.25,0.25,206000,0.25
2010-08-17,0.25,0.25,0.25,0.25,114000,0.25
2010-08-16,0.25,0.25,0.25,0.25,347000,0.25
2010-08-13,0.26,0.26,0.26,0.26,88000,0.26
2010-08-12,0.25,0.25,0.25,0.25,216000,0.25
2010-08-11,0.25,0.25,0.25,0.25,30000,0.25
2010-08-10,0.25,0.25,0.25,0.25,67000,0.25
2010-08-06,0.25,0.25,0.25,0.25,15000,0.25
2010-08-05,0.25,0.25,0.25,0.25,40000,0.25
2010-08-04,0.25,0.25,0.25,0.25,000,0.25
2010-08-03,0.25,0.25,0.25,0.25,25000,0.25
2010-08-02,0.26,0.26,0.25,0.25,61000,0.25
2010-07-30,0.25,0.26,0.25,0.25,000,0.25
2010-07-29,0.25,0.25,0.25,0.25,40000,0.25
2010-07-28,0.25,0.25,0.25,0.25,15000,0.25
2010-07-27,0.25,0.26,0.25,0.26,155000,0.26
2010-07-26,0.25,0.25,0.25,0.25,000,0.25
2010-07-23,0.25,0.25,0.25,0.25,10000,0.25
2010-07-22,0.25,0.25,0.25,0.25,35000,0.25
2010-07-21,0.25,0.25,0.25,0.25,000,0.25
2010-07-20,0.25,0.25,0.25,0.25,000,0.25
2010-07-19,0.25,0.25,0.25,0.25,150000,0.25
2010-07-16,0.24,0.25,0.24,0.24,000,0.24
2010-07-15,0.25,0.25,0.25,0.25,26000,0.25
2010-07-14,0.25,0.25,0.25,0.25,599000,0.25
2010-07-13,0.26,0.26,0.26,0.26,41000,0.26
2010-07-12,0.26,0.26,0.26,0.26,260000,0.26
2010-07-09,0.26,0.26,0.26,0.26,75000,0.26
2010-07-08,0.25,0.26,0.25,0.26,274000,0.26
2010-07-07,0.25,0.25,0.25,0.25,151000,0.25
2010-07-06,0.25,0.25,0.25,0.25,151000,0.25
2010-07-05,0.25,0.25,0.25,0.25,125000,0.25
2010-07-02,0.24,0.24,0.24,0.24,55000,0.24
2010-07-01,0.24,0.24,0.24,0.24,27000,0.24
2010-06-30,0.23,0.24,0.23,0.24,96000,0.24
2010-06-29,0.24,0.24,0.24,0.24,84000,0.24
2010-06-28,0.25,0.25,0.23,0.23,96000,0.23
2010-06-25,0.24,0.24,0.24,0.24,74000,0.24
2010-06-24,0.24,0.24,0.24,0.24,202000,0.24
2010-06-23,0.25,0.25,0.23,0.23,149000,0.23
2010-06-22,0.24,0.24,0.24,0.24,204000,0.24
2010-06-21,0.23,0.23,0.23,0.23,113000,0.23
2010-06-18,0.22,0.23,0.22,0.22,000,0.22
2010-06-17,0.22,0.23,0.22,0.22,000,0.22
2010-06-16,0.23,0.23,0.23,0.23,1000,0.23
2010-06-15,0.23,0.23,0.23,0.23,80000,0.23
2010-06-14,0.23,0.23,0.23,0.23,10000,0.23
2010-06-11,0.22,0.23,0.22,0.23,102000,0.23
2010-06-10,0.23,0.23,0.22,0.23,893000,0.23
2010-06-09,0.23,0.23,0.23,0.23,225000,0.23
2010-06-08,0.22,0.23,0.22,0.23,290000,0.23
2010-06-07,0.22,0.22,0.22,0.22,126000,0.22
2010-06-04,0.22,0.22,0.21,0.22,596000,0.22
2010-06-03,0.22,0.23,0.22,0.22,170000,0.22
2010-06-02,0.22,0.23,0.22,0.23,113000,0.23
2010-06-01,0.22,0.22,0.22,0.22,6000,0.22
2010-05-31,0.21,0.22,0.21,0.21,000,0.21
2010-05-27,0.21,0.22,0.21,0.21,51000,0.21
2010-05-26,0.20,0.21,0.20,0.21,131000,0.21
2010-05-25,0.22,0.22,0.21,0.21,173000,0.21
2010-05-24,0.22,0.22,0.22,0.22,52000,0.22
