Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.04,0.03,0.03,50745000,0.03
2011-08-03,0.04,0.04,0.04,0.04,18531000,0.04
2011-08-02,0.04,0.04,0.04,0.04,6935000,0.04
2011-08-01,0.04,0.04,0.04,0.04,505000,0.04
2011-07-29,0.04,0.04,0.04,0.04,983000,0.04
2011-07-28,0.04,0.04,0.04,0.04,1380000,0.04
2011-07-27,0.04,0.04,0.04,0.04,5947000,0.04
2011-07-26,0.04,0.04,0.04,0.04,150000,0.04
2011-07-25,0.04,0.04,0.04,0.04,988000,0.04
2011-07-22,0.04,0.04,0.04,0.04,800000,0.04
2011-07-21,0.04,0.04,0.04,0.04,600000,0.04
2011-07-20,0.04,0.04,0.04,0.04,2250000,0.04
2011-07-19,0.04,0.04,0.04,0.04,5137000,0.04
2011-07-18,0.04,0.04,0.04,0.04,4579000,0.04
2011-07-15,0.04,0.04,0.04,0.04,1218000,0.04
2011-07-14,0.04,0.04,0.04,0.04,200000,0.04
2011-07-13,0.04,0.04,0.04,0.04,360000,0.04
2011-07-12,0.04,0.04,0.04,0.04,573000,0.04
2011-07-11,0.04,0.04,0.04,0.04,954000,0.04
2011-07-08,0.04,0.04,0.04,0.04,1020000,0.04
2011-07-07,0.04,0.04,0.04,0.04,750000,0.04
2011-07-06,0.04,0.04,0.04,0.04,360000,0.04
2011-07-05,0.04,0.04,0.04,0.04,600000,0.04
2011-07-04,0.04,0.05,0.04,0.04,5005000,0.04
2011-07-01,0.04,0.04,0.04,0.04,10000,0.04
2011-06-30,0.04,0.05,0.04,0.05,511000,0.05
2011-06-29,0.04,0.05,0.04,0.05,4000,0.05
2011-06-28,0.04,0.05,0.04,0.05,1457000,0.05
2011-06-27,0.04,0.05,0.04,0.05,2000,0.05
2011-06-24,0.04,0.05,0.04,0.05,66000,0.05
2011-06-23,0.04,0.04,0.04,0.04,46000,0.04
2011-06-22,0.05,0.05,0.05,0.05,350000,0.05
2011-06-21,0.04,0.04,0.04,0.04,35000,0.04
2011-06-20,0.04,0.05,0.04,0.05,946000,0.05
2011-06-17,0.04,0.05,0.04,0.05,432000,0.05
2011-06-16,0.04,0.05,0.04,0.04,341000,0.04
2011-06-15,0.05,0.05,0.04,0.05,688000,0.05
2011-06-14,0.04,0.05,0.04,0.04,300000,0.04
2011-06-13,0.04,0.05,0.04,0.04,316000,0.04
2011-06-10,0.04,0.05,0.04,0.05,26000,0.05
2011-06-09,0.05,0.05,0.04,0.05,174000,0.05
