Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.61,0.61,0.61,0.61,5000,0.61
2011-08-03,0.61,0.61,0.61,0.61,15000,0.61
2011-08-02,0.60,0.62,0.60,0.62,43000,0.62
2011-08-01,0.60,0.64,0.60,0.60,000,0.60
2011-07-29,0.60,0.66,0.60,0.60,000,0.60
2011-07-28,0.62,0.66,0.62,0.62,000,0.62
2011-07-27,0.61,0.62,0.61,0.62,54000,0.62
2011-07-26,0.60,0.60,0.60,0.60,10000,0.60
2011-07-25,0.61,0.62,0.61,0.61,000,0.61
2011-07-22,0.61,0.62,0.61,0.61,000,0.61
2011-07-21,0.61,0.62,0.61,0.61,000,0.61
2011-07-20,0.61,0.61,0.61,0.61,40000,0.61
2011-07-19,0.61,0.62,0.61,0.61,000,0.61
2011-07-18,0.62,0.62,0.62,0.62,000,0.62
2011-07-15,0.62,0.62,0.62,0.62,25000,0.62
2011-07-14,0.60,0.72,0.60,0.60,000,0.60
2011-07-13,0.62,0.62,0.62,0.62,34000,0.62
2011-07-12,0.62,0.62,0.62,0.62,7000,0.62
2011-07-11,0.61,0.61,0.61,0.61,8000,0.61
2011-07-08,0.60,0.60,0.60,0.60,13000,0.60
2011-07-07,0.59,0.59,0.59,0.59,000,0.59
2011-07-06,0.59,0.61,0.59,0.59,000,0.59
2011-07-05,0.59,0.59,0.59,0.59,000,0.59
2011-07-04,0.59,0.61,0.59,0.59,000,0.59
2011-07-01,0.60,0.60,0.60,0.60,70000,0.60
2011-06-30,0.60,0.60,0.60,0.60,42000,0.60
2011-06-29,0.60,0.60,0.60,0.60,1000,0.60
2011-06-28,0.60,0.60,0.60,0.60,20000,0.60
2011-06-27,0.60,0.60,0.60,0.60,000,0.60
2011-06-24,0.60,0.60,0.60,0.60,79000,0.60
2011-06-23,0.60,0.60,0.60,0.60,50000,0.60
2011-06-22,0.61,0.61,0.61,0.61,5000,0.61
2011-06-21,0.61,0.61,0.61,0.61,10000,0.61
2011-06-20,0.61,0.61,0.61,0.61,000,0.61
2011-06-17,0.61,0.61,0.61,0.61,100000,0.61
2011-06-16,0.61,0.61,0.61,0.61,90000,0.61
2011-06-15,0.61,0.62,0.61,0.61,000,0.61
2011-06-14,0.61,0.62,0.61,0.62,150000,0.62
2011-06-13,0.62,0.62,0.62,0.62,000,0.62
2011-06-10,0.62,0.62,0.62,0.62,5000,0.62
2011-06-09,0.62,0.62,0.62,0.62,13000,0.62
2011-06-08,0.62,0.62,0.62,0.62,5000,0.62
2011-06-07,0.61,0.61,0.61,0.61,60000,0.61
2011-06-06,0.61,0.61,0.61,0.61,55000,0.61
2011-06-03,0.61,0.61,0.61,0.61,10000,0.61
2011-06-02,0.61,0.61,0.61,0.61,50000,0.61
2011-06-01,0.61,0.61,0.61,0.61,2000,0.61
2011-05-31,0.61,0.61,0.61,0.61,60000,0.61
2011-05-30,0.61,0.61,0.61,0.61,45000,0.61
2011-05-27,0.61,0.61,0.61,0.61,12000,0.61
2011-05-26,0.61,0.62,0.61,0.61,000,0.61
2011-05-25,0.61,0.61,0.61,0.61,20000,0.61
2011-05-24,0.60,0.62,0.60,0.60,000,0.60
2011-05-23,0.61,0.61,0.61,0.61,110000,0.61
2011-05-20,0.61,0.61,0.61,0.61,62000,0.61
2011-05-19,0.61,0.61,0.61,0.61,32000,0.61
2011-05-18,0.61,0.61,0.61,0.61,60000,0.61
2011-05-16,0.61,0.61,0.61,0.61,49000,0.61
2011-05-13,0.61,0.62,0.61,0.61,000,0.61
2011-05-12,0.61,0.61,0.61,0.61,22000,0.61
2011-05-11,0.62,0.62,0.62,0.62,10000,0.62
2011-05-10,0.60,0.61,0.60,0.61,31000,0.61
2011-05-09,0.61,0.61,0.60,0.60,73000,0.60
2011-05-06,0.60,0.60,0.60,0.60,30000,0.60
2011-05-05,0.60,0.60,0.60,0.60,90000,0.60
2011-05-04,0.60,0.60,0.60,0.60,13000,0.60
2011-05-03,0.60,0.60,0.60,0.60,20000,0.60
2011-04-29,0.61,0.61,0.61,0.61,80000,0.61
2011-04-28,0.60,0.61,0.60,0.61,50000,0.61
2011-04-27,0.59,0.59,0.59,0.59,5000,0.59
2011-04-26,0.59,0.59,0.59,0.59,10000,0.59
2011-04-25,0.60,0.60,0.60,0.60,8000,0.60
2011-04-21,0.58,0.61,0.58,0.58,000,0.58
2011-04-20,0.60,0.60,0.60,0.60,35000,0.60
2011-04-19,0.60,0.60,0.59,0.59,30000,0.59
2011-04-18,0.60,0.60,0.60,0.60,9000,0.60
2011-04-15,0.60,0.60,0.60,0.60,25000,0.60
2011-04-14,0.60,0.60,0.60,0.60,30000,0.60
2011-04-13,0.60,0.60,0.60,0.60,10000,0.60
2011-04-12,0.56,0.60,0.56,0.56,000,0.56
2011-04-11,0.58,0.58,0.58,0.58,10000,0.58
2011-04-08,0.57,0.58,0.57,0.58,6000,0.58
2011-04-07,0.58,0.58,0.58,0.58,25000,0.58
2011-04-06,0.58,0.58,0.58,0.58,41000,0.58
2011-04-05,0.58,0.58,0.58,0.58,29000,0.58
2011-04-04,0.58,0.58,0.58,0.58,50000,0.58
2011-04-01,0.57,0.57,0.57,0.57,14000,0.57
2011-03-31,0.56,0.60,0.56,0.56,000,0.56
2011-03-30,0.58,0.58,0.58,0.58,19000,0.58
2011-03-29,0.57,0.57,0.57,0.57,22000,0.57
2011-03-28,0.55,0.58,0.55,0.55,000,0.55
2011-03-25,0.55,0.57,0.55,0.55,000,0.55
2011-03-24,0.55,0.55,0.55,0.55,20000,0.55
2011-03-23,0.55,0.55,0.55,0.55,10000,0.55
2011-03-22,0.58,0.58,0.55,0.55,30000,0.55
2011-03-21,0.60,0.60,0.60,0.60,8000,0.60
2011-03-18,0.55,0.56,0.55,0.56,104000,0.56
2011-03-17,0.53,0.55,0.53,0.55,108000,0.55
2011-03-16,0.52,0.54,0.52,0.54,75000,0.54
2011-03-15,0.54,0.54,0.53,0.53,353000,0.53
2011-03-14,0.53,0.53,0.53,0.53,44000,0.53
2011-03-11,0.54,0.54,0.54,0.54,5000,0.54
2011-03-10,0.52,0.55,0.52,0.52,000,0.52
2011-03-09,0.54,0.54,0.54,0.54,38000,0.54
2011-03-08,0.52,0.53,0.52,0.53,3000,0.53
2011-03-07,0.52,0.54,0.52,0.52,000,0.52
2011-03-04,0.53,0.53,0.53,0.53,18000,0.53
2011-03-03,0.53,0.53,0.53,0.53,45000,0.53
2011-03-02,0.52,0.53,0.52,0.53,71000,0.53
2011-03-01,0.52,0.52,0.52,0.52,68000,0.52
2011-02-28,0.52,0.52,0.52,0.52,100000,0.52
2011-02-25,0.52,0.52,0.52,0.52,2000,0.52
2011-02-24,0.51,0.52,0.51,0.52,274000,0.52
2011-02-23,0.50,0.50,0.50,0.50,30000,0.50
2011-02-22,0.52,0.52,0.52,0.52,12000,0.52
2011-02-21,0.50,0.54,0.50,0.50,000,0.50
2011-02-18,0.52,0.52,0.52,0.52,40000,0.52
2011-02-17,0.52,0.52,0.52,0.52,000,0.52
2011-02-16,0.51,0.52,0.51,0.52,27000,0.52
2011-02-15,0.50,0.50,0.50,0.50,2000,0.50
2011-02-14,0.50,0.52,0.50,0.50,000,0.50
2011-02-11,0.51,0.51,0.51,0.51,130000,0.51
2011-02-10,0.51,0.51,0.51,0.51,225000,0.51
2011-02-09,0.50,0.50,0.50,0.50,10000,0.50
2011-02-08,0.50,0.52,0.50,0.50,000,0.50
2011-02-07,0.52,0.52,0.50,0.50,20000,0.50
2011-02-02,0.50,0.54,0.50,0.50,000,0.50
2011-02-01,0.50,0.53,0.50,0.50,000,0.50
2011-01-31,0.51,0.51,0.51,0.51,450000,0.51
2011-01-28,0.51,0.51,0.51,0.51,310000,0.51
2011-01-27,0.50,0.52,0.50,0.50,000,0.50
2011-01-26,0.50,0.51,0.50,0.51,48000,0.51
2011-01-25,0.51,0.52,0.51,0.51,000,0.51
2011-01-24,0.51,0.51,0.51,0.51,85000,0.51
