Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.17,1.18,1.17,1.17,581000,1.17
2011-08-03,1.18,1.19,1.15,1.17,262000,1.17
2011-08-02,1.21,1.21,1.18,1.18,348000,1.18
2011-08-01,1.21,1.21,1.20,1.21,443000,1.21
2011-07-29,1.22,1.22,1.20,1.21,756000,1.21
2011-07-28,1.22,1.23,1.22,1.22,199000,1.22
2011-07-27,1.22,1.23,1.22,1.23,88000,1.23
2011-07-26,1.21,1.24,1.21,1.23,71000,1.23
2011-07-25,1.21,1.24,1.21,1.22,125000,1.22
2011-07-22,1.19,1.24,1.19,1.21,1028000,1.21
2011-07-21,1.20,1.20,1.18,1.19,301000,1.19
2011-07-20,1.22,1.22,1.19,1.20,603000,1.20
2011-07-19,1.23,1.23,1.20,1.22,125000,1.22
2011-07-18,1.24,1.24,1.23,1.23,68000,1.23
2011-07-15,1.26,1.26,1.25,1.25,143000,1.25
2011-07-14,1.25,1.26,1.25,1.26,165000,1.26
2011-07-13,1.24,1.26,1.22,1.25,491000,1.25
2011-07-12,1.25,1.25,1.23,1.23,181000,1.23
2011-07-11,1.24,1.24,1.23,1.24,80000,1.24
2011-07-08,1.25,1.25,1.24,1.24,151000,1.24
2011-07-07,1.25,1.25,1.24,1.24,97000,1.24
2011-07-06,1.25,1.25,1.24,1.25,237000,1.25
2011-07-05,1.24,1.25,1.22,1.24,134000,1.24
2011-07-04,1.26,1.26,1.25,1.25,154000,1.25
2011-07-01,1.25,1.26,1.25,1.25,197000,1.25
2011-06-30,1.24,1.27,1.23,1.26,846000,1.26
2011-06-29,1.24,1.26,1.23,1.23,286000,1.23
2011-06-28,1.23,1.25,1.23,1.24,613000,1.24
2011-06-27,1.24,1.24,1.21,1.22,222000,1.22
2011-06-24,1.25,1.26,1.24,1.25,294000,1.25
2011-06-23,1.23,1.26,1.23,1.26,324000,1.26
2011-06-22,1.26,1.26,1.25,1.26,473000,1.26
2011-06-21,1.24,1.26,1.24,1.26,473000,1.26
2011-06-20,1.27,1.27,1.24,1.24,606000,1.24
2011-06-17,1.28,1.28,1.25,1.27,950000,1.27
2011-06-16,1.26,1.29,1.25,1.28,1726000,1.28
2011-06-15,1.26,1.26,1.26,1.26,274000,1.26
2011-06-14,1.26,1.27,1.26,1.27,473000,1.27
2011-06-13,1.25,1.27,1.25,1.27,733000,1.27
2011-06-10,1.25,1.27,1.25,1.25,1166000,1.25
2011-06-09,1.24,1.26,1.24,1.26,431000,1.26
2011-06-08,1.24,1.26,1.24,1.25,673000,1.25
2011-06-07,1.22,1.26,1.20,1.26,1055000,1.26
2011-06-06,1.21,1.22,1.20,1.20,440000,1.20
2011-06-03,1.20,1.21,1.20,1.21,323000,1.21
2011-06-02,1.18,1.20,1.18,1.20,870000,1.20
2011-06-01,1.19,1.19,1.17,1.18,412000,1.18
2011-05-31,1.19,1.20,1.18,1.20,504000,1.20
2011-05-30,1.19,1.21,1.19,1.20,321000,1.20
2011-05-27,1.19,1.19,1.19,1.19,49000,1.19
2011-05-26,1.19,1.22,1.19,1.20,1382000,1.20
2011-05-25,1.18,1.18,1.17,1.17,288000,1.17
2011-05-24,1.18,1.18,1.17,1.18,303000,1.18
2011-05-23,1.21,1.21,1.17,1.18,442000,1.18
2011-05-20,1.19,1.20,1.18,1.20,490000,1.20
2011-05-19,1.19,1.20,1.19,1.19,195000,1.19
2011-05-18,1.20,1.21,1.18,1.20,1078000,1.20
2011-05-16,1.21,1.21,1.19,1.19,771000,1.19
2011-05-13,1.21,1.22,1.20,1.21,909000,1.21
2011-05-12,1.21,1.22,1.20,1.20,640000,1.20
2011-05-11,1.19,1.23,1.19,1.23,1233000,1.23
2011-05-10,1.19,1.21,1.19,1.21,700000,1.21
2011-05-09,1.20,1.22,1.19,1.19,933000,1.19
2011-05-06,1.19,1.21,1.18,1.20,2216000,1.20
2011-05-05,1.17,1.20,1.17,1.18,1176000,1.18
2011-05-04,1.17,1.17,1.16,1.17,1164000,1.17
2011-05-03,1.17,1.18,1.16,1.16,1065000,1.16
2011-04-29,1.19,1.19,1.16,1.16,602000,1.16
2011-04-28,1.16,1.19,1.16,1.19,542000,1.19
2011-04-27,1.20,1.21,1.19,1.19,1302000,1.19
2011-04-26,1.19,1.21,1.19,1.19,722000,1.19
2011-04-25,1.22,1.23,1.19,1.19,1242000,1.19
2011-04-21,1.21,1.23,1.21,1.21,2100000,1.21
2011-04-20,1.18,1.21,1.18,1.20,2136000,1.20
2011-04-19,1.18,1.18,1.16,1.17,864000,1.17
2011-04-18,1.20,1.21,1.16,1.18,1778000,1.18
2011-04-15,1.20,1.21,1.19,1.19,2142000,1.19
2011-04-14,1.23,1.24,1.20,1.21,1574000,1.21
2011-04-13,1.22,1.23,1.20,1.22,1705000,1.22
2011-04-12,1.24,1.24,1.21,1.22,1298000,1.22
2011-04-11,1.29,1.30,1.25,1.25,1153000,1.25
2011-04-08,1.29,1.29,1.27,1.28,2273000,1.28
2011-04-07,1.28,1.28,1.26,1.27,1063000,1.27
2011-04-06,1.28,1.29,1.25,1.27,927000,1.27
2011-04-05,1.26,1.29,1.25,1.28,1112000,1.28
2011-04-04,1.26,1.27,1.25,1.26,219000,1.26
2011-04-01,1.24,1.27,1.24,1.27,110000,1.27
2011-03-31,1.25,1.28,1.25,1.26,781000,1.26
2011-03-30,1.23,1.25,1.23,1.25,343000,1.25
2011-03-29,1.21,1.23,1.21,1.22,371000,1.22
2011-03-28,1.23,1.23,1.21,1.21,414000,1.21
2011-03-25,1.25,1.25,1.22,1.23,271000,1.23
2011-03-24,1.22,1.25,1.22,1.25,1802000,1.25
2011-03-23,1.22,1.23,1.21,1.21,203000,1.21
2011-03-22,1.22,1.23,1.21,1.22,378000,1.22
2011-03-21,1.18,1.21,1.18,1.19,394000,1.19
2011-03-18,1.16,1.18,1.15,1.17,307000,1.17
2011-03-17,1.13,1.14,1.12,1.14,254000,1.14
2011-03-16,1.16,1.17,1.13,1.15,332000,1.15
2011-03-15,1.20,1.20,1.12,1.14,962000,1.14
2011-03-14,1.16,1.20,1.16,1.19,270000,1.19
2011-03-11,1.22,1.22,1.18,1.19,472000,1.19
2011-03-10,1.23,1.24,1.21,1.23,171000,1.23
2011-03-09,1.24,1.25,1.23,1.23,325000,1.23
2011-03-08,1.22,1.25,1.22,1.24,1271000,1.24
2011-03-07,1.24,1.24,1.23,1.24,203000,1.24
2011-03-04,1.24,1.25,1.23,1.23,561000,1.23
2011-03-03,1.22,1.25,1.22,1.22,554000,1.22
2011-03-02,1.25,1.26,1.23,1.24,659000,1.24
