Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.19,0.19,0.19,0.19,3027000,0.19
2011-08-03,0.19,0.19,0.19,0.19,40000,0.19
2011-08-02,0.19,0.19,0.19,0.19,3413000,0.19
2011-08-01,0.18,0.19,0.18,0.18,000,0.18
2011-07-29,0.18,0.19,0.18,0.18,000,0.18
2011-07-28,0.18,0.19,0.18,0.18,000,0.18
2011-07-27,0.18,0.18,0.18,0.18,50000,0.18
2011-07-26,0.18,0.18,0.18,0.18,50000,0.18
2011-07-25,0.18,0.18,0.18,0.18,50000,0.18
2011-07-22,0.18,0.19,0.18,0.18,000,0.18
2011-07-21,0.18,0.19,0.18,0.18,000,0.18
2011-07-20,0.18,0.18,0.18,0.18,35000,0.18
2011-07-19,0.18,0.19,0.18,0.18,000,0.18
2011-07-18,0.19,0.19,0.19,0.19,20000,0.19
2011-07-15,0.19,0.19,0.19,0.19,74000,0.19
2011-07-14,0.19,0.19,0.19,0.19,130000,0.19
2011-07-13,0.18,0.19,0.18,0.18,000,0.18
2011-07-12,0.18,0.19,0.18,0.18,000,0.18
2011-07-11,0.19,0.19,0.19,0.19,5000,0.19
2011-07-08,0.19,0.19,0.19,0.19,000,0.19
2011-07-07,0.19,0.19,0.19,0.19,000,0.19
2011-07-06,0.19,0.19,0.19,0.19,27000,0.19
2011-07-05,0.18,0.19,0.18,0.18,000,0.18
2011-07-04,0.19,0.19,0.19,0.19,000,0.19
2011-07-01,0.19,0.19,0.19,0.19,100000,0.19
2011-06-30,0.19,0.19,0.19,0.19,50000,0.19
2011-06-29,0.17,0.19,0.17,0.17,000,0.17
2011-06-28,0.17,0.19,0.17,0.17,000,0.17
2011-06-27,0.17,0.19,0.17,0.17,000,0.17
2011-06-24,0.17,0.19,0.17,0.17,000,0.17
2011-06-23,0.18,0.19,0.18,0.18,000,0.18
2011-06-22,0.18,0.19,0.18,0.18,000,0.18
2011-06-21,0.19,0.20,0.19,0.20,226000,0.20
2011-06-20,0.19,0.19,0.19,0.19,240000,0.19
2011-06-17,0.19,0.19,0.19,0.19,100000,0.19
2011-06-16,0.19,0.19,0.19,0.19,100000,0.19
2011-06-15,0.18,0.19,0.18,0.18,000,0.18
2011-06-14,0.19,0.19,0.19,0.19,100000,0.19
2011-06-13,0.18,0.19,0.18,0.18,000,0.18
2011-06-10,0.19,0.19,0.19,0.19,111000,0.19
2011-06-09,0.19,0.19,0.19,0.19,100000,0.19
2011-06-08,0.18,0.19,0.18,0.18,000,0.18
2011-06-07,0.19,0.19,0.19,0.19,272000,0.19
2011-06-06,0.18,0.18,0.18,0.18,40000,0.18
2011-06-03,0.18,0.18,0.18,0.18,160000,0.18
2011-06-02,0.18,0.19,0.18,0.19,250000,0.19
2011-06-01,0.19,0.19,0.19,0.19,50000,0.19
2011-05-31,0.19,0.19,0.19,0.19,280000,0.19
2011-05-30,0.19,0.19,0.19,0.19,440000,0.19
2011-05-27,0.19,0.19,0.19,0.19,3253000,0.19
2011-05-26,0.19,0.19,0.19,0.19,410000,0.19
2011-05-25,0.19,0.19,0.19,0.19,75000,0.19
2011-05-24,0.19,0.19,0.19,0.19,250000,0.19
2011-05-23,0.19,0.19,0.19,0.19,764000,0.19
2011-05-20,0.19,0.19,0.19,0.19,40000,0.19
2011-05-19,0.19,0.19,0.19,0.19,200000,0.19
2011-05-18,0.19,0.19,0.19,0.19,000,0.19
2011-05-16,0.19,0.19,0.19,0.19,595000,0.19
2011-05-13,0.19,0.19,0.19,0.19,000,0.19
2011-05-12,0.19,0.19,0.19,0.19,38000,0.19
2011-05-11,0.19,0.19,0.19,0.19,000,0.19
2011-05-10,0.19,0.19,0.19,0.19,50000,0.19
2011-05-09,0.19,0.19,0.19,0.19,000,0.19
2011-05-06,0.19,0.19,0.19,0.19,100000,0.19
2011-05-05,0.19,0.19,0.19,0.19,30000,0.19
2011-05-04,0.19,0.19,0.19,0.19,270000,0.19
