Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.13,0.13,0.13,0.13,677000,0.13
2011-08-03,0.13,0.13,0.13,0.13,305000,0.13
2011-08-02,0.13,0.13,0.13,0.13,923000,0.13
2011-08-01,0.13,0.13,0.13,0.13,450000,0.13
2011-07-29,0.13,0.13,0.13,0.13,1173000,0.13
2011-07-28,0.13,0.13,0.13,0.13,3569000,0.13
2011-07-27,0.14,0.14,0.13,0.14,932000,0.14
2011-07-26,0.13,0.14,0.13,0.14,763000,0.14
2011-07-25,0.14,0.14,0.13,0.14,303000,0.14
2011-07-22,0.14,0.14,0.14,0.14,1281000,0.14
2011-07-21,0.14,0.15,0.14,0.14,24779000,0.14
2011-07-20,0.13,0.14,0.13,0.14,410000,0.14
2011-07-19,0.14,0.14,0.14,0.14,90000,0.14
2011-07-18,0.14,0.14,0.13,0.13,994000,0.13
2011-07-15,0.14,0.14,0.14,0.14,895000,0.14
2011-07-14,0.14,0.14,0.14,0.14,108000,0.14
2011-07-13,0.14,0.14,0.14,0.14,292000,0.14
2011-07-12,0.14,0.14,0.13,0.14,2408000,0.14
2011-07-11,0.14,0.14,0.14,0.14,1571000,0.14
2011-07-08,0.14,0.14,0.14,0.14,2079000,0.14
2011-07-07,0.14,0.14,0.14,0.14,635000,0.14
2011-07-06,0.14,0.14,0.14,0.14,1260000,0.14
2011-07-05,0.14,0.14,0.13,0.14,2647000,0.14
2011-07-04,0.16,0.16,0.14,0.14,2450000,0.14
2011-07-01,0.14,0.16,0.14,0.16,17260000,0.16
2011-06-30,0.13,0.14,0.13,0.14,1514000,0.14
2011-06-29,0.13,0.13,0.13,0.13,280000,0.13
2011-06-28,0.12,0.13,0.12,0.12,000,0.12
2011-06-27,0.12,0.12,0.12,0.12,550000,0.12
2011-06-24,0.12,0.13,0.12,0.13,585000,0.13
2011-06-23,0.12,0.12,0.12,0.12,870000,0.12
2011-06-22,0.12,0.12,0.12,0.12,68000,0.12
2011-06-21,0.12,0.12,0.12,0.12,286000,0.12
2011-06-20,0.12,0.12,0.12,0.12,376000,0.12
2011-06-17,0.12,0.12,0.12,0.12,335000,0.12
2011-06-16,0.12,0.12,0.12,0.12,1550000,0.12
2011-06-15,0.12,0.12,0.12,0.12,575000,0.12
2011-06-14,0.12,0.13,0.12,0.13,818000,0.13
2011-06-13,0.12,0.12,0.12,0.12,243000,0.12
2011-06-10,0.13,0.13,0.13,0.13,643000,0.13
2011-06-09,0.13,0.13,0.12,0.13,1643000,0.13
2011-06-08,0.13,0.13,0.12,0.12,779000,0.12
2011-06-07,0.13,0.14,0.13,0.13,1330000,0.13
2011-06-06,0.14,0.14,0.13,0.13,903000,0.13
2011-06-03,0.13,0.14,0.12,0.14,2036000,0.14
2011-06-02,0.14,0.14,0.13,0.13,1099000,0.13
2011-06-01,0.13,0.14,0.13,0.14,1657000,0.14
2011-05-31,0.14,0.14,0.13,0.13,5654000,0.13
2011-05-30,0.15,0.15,0.14,0.14,5417000,0.14
2011-05-27,0.17,0.17,0.13,0.14,24197000,0.14
2011-05-26,0.17,0.17,0.17,0.17,1746000,0.17
2011-05-25,0.17,0.17,0.17,0.17,409000,0.17
2011-05-24,0.17,0.19,0.17,0.17,24694000,0.17
2011-05-23,0.18,0.18,0.17,0.17,6201000,0.17
2011-05-20,0.17,0.19,0.17,0.19,900000,0.19
2011-05-19,0.17,0.18,0.17,0.17,384000,0.17
2011-05-18,0.18,0.18,0.17,0.17,503000,0.17
2011-05-16,0.18,0.18,0.17,0.17,401000,0.17
2011-05-13,0.18,0.18,0.18,0.18,511000,0.18
2011-05-12,0.18,0.18,0.18,0.18,934000,0.18
2011-05-11,0.18,0.18,0.18,0.18,1596000,0.18
2011-05-10,0.18,0.18,0.17,0.17,1151000,0.17
2011-05-09,0.18,0.19,0.18,0.18,807000,0.18
2011-05-06,0.18,0.18,0.17,0.18,686000,0.18
2011-05-05,0.19,0.19,0.18,0.18,1977000,0.18
2011-05-04,0.19,0.19,0.18,0.18,4430000,0.18
2011-05-03,0.19,0.19,0.19,0.19,1868000,0.19
2011-04-29,0.19,0.19,0.19,0.19,2542000,0.19
2011-04-28,0.19,0.19,0.19,0.19,229000,0.19
2011-04-27,0.19,0.19,0.19,0.19,198000,0.19
2011-04-26,0.19,0.19,0.19,0.19,742000,0.19
2011-04-25,0.19,0.20,0.19,0.20,1264000,0.20
2011-04-21,0.19,0.19,0.19,0.19,781000,0.19
2011-04-20,0.19,0.20,0.19,0.20,473000,0.20
2011-04-19,0.19,0.19,0.19,0.19,885000,0.19
2011-04-18,0.19,0.20,0.19,0.20,1172000,0.20
2011-04-15,0.19,0.19,0.19,0.19,442000,0.19
2011-04-14,0.20,0.20,0.19,0.19,2230000,0.19
2011-04-13,0.20,0.20,0.20,0.20,1098000,0.20
2011-04-12,0.20,0.20,0.19,0.20,4235000,0.20
2011-04-11,0.21,0.21,0.20,0.20,1152000,0.20
2011-04-08,0.20,0.21,0.20,0.21,1372000,0.21
2011-04-07,0.20,0.21,0.20,0.20,5151000,0.20
2011-04-06,0.20,0.21,0.20,0.20,17358000,0.20
2011-04-05,0.20,0.20,0.19,0.20,262000,0.20
2011-04-04,0.20,0.20,0.19,0.19,262000,0.19
2011-04-01,0.19,0.20,0.19,0.20,1074000,0.20
2011-03-31,0.19,0.19,0.19,0.19,99000,0.19
2011-03-30,0.19,0.19,0.19,0.19,1875000,0.19
2011-03-29,0.19,0.19,0.19,0.19,1670000,0.19
2011-03-28,0.19,0.19,0.19,0.19,212000,0.19
2011-03-25,0.19,0.19,0.19,0.19,307000,0.19
2011-03-24,0.19,0.19,0.19,0.19,1384000,0.19
2011-03-23,0.19,0.19,0.19,0.19,330000,0.19
2011-03-22,0.19,0.19,0.19,0.19,640000,0.19
2011-03-21,0.19,0.19,0.19,0.19,1445000,0.19
2011-03-18,0.19,0.19,0.18,0.18,320000,0.18
