Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.43,0.44,0.43,0.43,69000,0.43
2011-08-03,0.41,0.42,0.41,0.42,47000,0.42
2011-08-02,0.43,0.43,0.43,0.43,29000,0.43
2011-08-01,0.42,0.42,0.42,0.42,000,0.42
2011-07-29,0.42,0.42,0.42,0.42,7000,0.42
2011-07-28,0.42,0.44,0.42,0.42,000,0.42
2011-07-27,0.42,0.45,0.42,0.42,000,0.42
2011-07-26,0.42,0.43,0.42,0.43,27000,0.43
2011-07-25,0.42,0.45,0.42,0.42,000,0.42
2011-07-22,0.43,0.46,0.43,0.43,000,0.43
2011-07-21,0.43,0.47,0.43,0.47,11000,0.47
2011-07-20,0.41,0.41,0.41,0.41,20000,0.41
2011-07-19,0.41,0.42,0.41,0.41,84000,0.41
2011-07-18,0.41,0.41,0.41,0.41,20000,0.41
2011-07-15,0.40,0.40,0.40,0.40,9000,0.40
2011-07-14,0.39,0.41,0.39,0.39,000,0.39
2011-07-13,0.40,0.40,0.40,0.40,3000,0.40
2011-07-12,0.40,0.40,0.40,0.40,1000,0.40
2011-07-11,0.40,0.41,0.40,0.40,000,0.40
2011-07-08,0.40,0.41,0.40,0.40,000,0.40
2011-07-07,0.38,0.41,0.38,0.38,000,0.38
2011-07-06,0.40,0.40,0.40,0.40,30000,0.40
2011-07-05,0.38,0.41,0.38,0.38,000,0.38
2011-07-04,0.40,0.41,0.40,0.40,000,0.40
2011-07-01,0.41,0.41,0.41,0.41,12000,0.41
2011-06-30,0.41,0.41,0.41,0.41,40000,0.41
2011-06-29,0.40,0.41,0.40,0.40,000,0.40
2011-06-28,0.40,0.40,0.40,0.40,70000,0.40
2011-06-27,0.41,0.41,0.41,0.41,25000,0.41
2011-06-24,0.39,0.41,0.39,0.39,000,0.39
2011-06-23,0.38,0.41,0.38,0.38,000,0.38
2011-06-22,0.38,0.41,0.38,0.41,24000,0.41
2011-06-21,0.39,0.39,0.39,0.39,20000,0.39
2011-06-20,0.38,0.40,0.38,0.38,000,0.38
2011-06-17,0.39,0.39,0.39,0.39,20000,0.39
2011-06-16,0.41,0.41,0.41,0.41,40000,0.41
2011-06-15,0.41,0.41,0.41,0.41,13000,0.41
2011-06-14,0.41,0.41,0.41,0.41,15000,0.41
2011-06-13,0.41,0.41,0.41,0.41,87000,0.41
2011-06-10,0.41,0.41,0.41,0.41,24000,0.41
2011-06-09,0.41,0.41,0.41,0.41,000,0.41
2011-06-08,0.40,0.42,0.40,0.40,000,0.40
2011-06-07,0.39,0.41,0.39,0.39,000,0.39
2011-06-06,0.41,0.42,0.41,0.41,000,0.41
2011-06-03,0.41,0.41,0.41,0.41,15000,0.41
2011-06-02,0.44,0.44,0.44,0.44,1000,0.44
2011-06-01,0.41,0.41,0.41,0.41,15000,0.41
2011-05-31,0.43,0.43,0.43,0.43,000,0.43
2011-05-30,0.40,0.41,0.40,0.40,000,0.40
2011-05-27,0.41,0.41,0.41,0.41,37000,0.41
2011-05-26,0.38,0.41,0.38,0.38,000,0.38
2011-05-25,0.38,0.41,0.38,0.38,000,0.38
2011-05-24,0.36,0.41,0.36,0.36,000,0.36
2011-05-23,0.41,0.41,0.41,0.41,12000,0.41
2011-05-20,0.41,0.41,0.41,0.41,54000,0.41
2011-05-19,0.41,0.41,0.41,0.41,000,0.41
2011-05-18,0.40,0.41,0.40,0.40,000,0.40
2011-05-16,0.41,0.41,0.41,0.41,6000,0.41
2011-05-13,0.40,0.41,0.40,0.40,000,0.40
2011-05-12,0.41,0.41,0.41,0.41,52000,0.41
2011-05-11,0.42,0.42,0.42,0.42,48000,0.42
2011-05-10,0.42,0.42,0.41,0.41,52000,0.41
2011-05-09,0.43,0.43,0.41,0.41,210000,0.41
2011-05-06,0.42,0.42,0.42,0.42,26000,0.42
