Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.02,0.02,0.02,0.02,10000,0.02
2011-08-03,0.02,0.02,0.02,0.02,595000,0.02
2011-08-02,0.02,0.02,0.02,0.02,2018000,0.02
2011-08-01,0.02,0.02,0.02,0.02,600000,0.02
2011-07-29,0.02,0.02,0.02,0.02,290000,0.02
2011-07-28,0.02,0.02,0.02,0.02,210000,0.02
2011-07-27,0.02,0.02,0.02,0.02,254000,0.02
2011-07-26,0.02,0.02,0.02,0.02,995000,0.02
2011-07-25,0.02,0.02,0.02,0.02,260000,0.02
2011-07-22,0.02,0.02,0.02,0.02,343000,0.02
2011-07-21,0.02,0.02,0.02,0.02,2290000,0.02
2011-07-20,0.02,0.02,0.02,0.02,180000,0.02
2011-07-19,0.02,0.02,0.02,0.02,466000,0.02
2011-07-18,0.02,0.02,0.02,0.02,639000,0.02
2011-07-15,0.02,0.02,0.02,0.02,754000,0.02
2011-07-14,0.02,0.02,0.02,0.02,114000,0.02
2011-07-13,0.02,0.02,0.02,0.02,850000,0.02
2011-07-12,0.02,0.02,0.02,0.02,31000,0.02
2011-07-11,0.02,0.02,0.02,0.02,4469000,0.02
2011-07-08,0.01,0.02,0.01,0.02,1943000,0.02
2011-07-07,0.01,0.01,0.01,0.01,1300000,0.01
2011-07-06,0.01,0.02,0.01,0.01,116000,0.01
2011-07-05,0.02,0.02,0.01,0.01,1078000,0.01
2011-07-04,0.02,0.02,0.01,0.02,1390000,0.02
2011-07-01,0.01,0.01,0.01,0.01,328000,0.01
2011-06-30,0.01,0.01,0.01,0.01,20000,0.01
2011-06-29,0.01,0.02,0.01,0.01,000,0.01
2011-06-28,0.01,0.01,0.01,0.01,530000,0.01
2011-06-27,0.01,0.01,0.01,0.01,102000,0.01
2011-06-24,0.01,0.02,0.01,0.01,000,0.01
2011-06-23,0.01,0.02,0.01,0.01,000,0.01
2011-06-22,0.01,0.02,0.01,0.01,000,0.01
2011-06-21,0.01,0.02,0.01,0.02,200000,0.02
2011-06-20,0.01,0.01,0.01,0.01,300000,0.01
