Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.14,0.14,000,0.14
2011-08-03,0.13,0.13,0.13,0.13,000,0.13
2011-08-02,0.13,0.17,0.13,0.13,000,0.13
2011-08-01,0.13,0.13,0.13,0.13,000,0.13
2011-07-29,0.15,0.15,0.15,0.15,8000,0.15
2011-07-28,0.15,0.17,0.15,0.15,000,0.15
2011-07-27,0.15,0.17,0.15,0.15,000,0.15
2011-07-26,0.16,0.17,0.16,0.16,000,0.16
2011-07-25,0.15,0.17,0.15,0.15,000,0.15
2011-07-22,0.13,0.17,0.13,0.13,000,0.13
2011-07-21,0.15,0.17,0.15,0.15,000,0.15
2011-07-20,0.15,0.17,0.15,0.15,000,0.15
2011-07-19,0.15,0.17,0.15,0.15,000,0.15
2011-07-18,0.15,0.17,0.15,0.15,000,0.15
2011-07-15,0.14,0.17,0.14,0.14,000,0.14
2011-07-14,0.14,0.17,0.14,0.14,000,0.14
2011-07-13,0.15,0.17,0.15,0.15,000,0.15
2011-07-12,0.16,0.18,0.16,0.16,000,0.16
2011-07-11,0.15,0.17,0.15,0.15,000,0.15
2011-07-08,0.16,0.17,0.16,0.16,000,0.16
2011-07-07,0.17,0.17,0.17,0.17,70000,0.17
2011-07-06,0.17,0.17,0.17,0.17,000,0.17
2011-07-05,0.16,0.17,0.16,0.16,000,0.16
2011-07-04,0.17,0.17,0.17,0.17,70000,0.17
2011-07-01,0.16,0.17,0.16,0.16,000,0.16
2011-06-30,0.17,0.17,0.17,0.17,30000,0.17
2011-06-29,0.16,0.17,0.16,0.16,000,0.16
2011-06-28,0.16,0.16,0.16,0.16,10000,0.16
2011-06-27,0.16,0.16,0.16,0.16,30000,0.16
2011-06-24,0.16,0.17,0.16,0.16,000,0.16
2011-06-23,0.15,0.17,0.15,0.15,000,0.15
2011-06-22,0.14,0.17,0.14,0.14,000,0.14
2011-06-21,0.16,0.16,0.16,0.16,20000,0.16
2011-06-20,0.16,0.17,0.16,0.16,000,0.16
2011-06-17,0.14,0.14,0.14,0.14,22000,0.14
2011-06-16,0.14,0.17,0.14,0.14,000,0.14
2011-06-15,0.15,0.17,0.15,0.15,000,0.15
2011-06-14,0.16,0.17,0.16,0.16,000,0.16
2011-06-13,0.15,0.17,0.15,0.15,000,0.15
2011-06-10,0.15,0.17,0.15,0.15,000,0.15
2011-06-09,0.16,0.16,0.16,0.16,20000,0.16
2011-06-08,0.16,0.16,0.16,0.16,30000,0.16
2011-06-07,0.14,0.18,0.14,0.14,000,0.14
2011-06-06,0.14,0.17,0.14,0.14,000,0.14
2011-06-03,0.15,0.18,0.15,0.15,000,0.15
2011-06-02,0.15,0.15,0.15,0.15,5000,0.15
2011-06-01,0.15,0.17,0.15,0.15,000,0.15
2011-05-31,0.15,0.17,0.15,0.15,000,0.15
2011-05-30,0.16,0.17,0.16,0.16,000,0.16
2011-05-27,0.17,0.17,0.17,0.17,30000,0.17
2011-05-26,0.16,0.17,0.16,0.16,000,0.16
2011-05-25,0.16,0.16,0.16,0.16,10000,0.16
2011-05-24,0.16,0.16,0.16,0.16,20000,0.16
2011-05-23,0.15,0.15,0.15,0.15,000,0.15
2011-05-20,0.16,0.18,0.16,0.16,000,0.16
2011-05-19,0.15,0.17,0.15,0.15,000,0.15
