Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.01,0.01,0.01,0.01,000,0.01
2011-08-03,0.01,0.01,0.01,0.01,000,0.01
2011-08-02,0.01,0.01,0.01,0.01,30000,0.01
2011-08-01,0.01,0.01,0.01,0.01,000,0.01
2011-07-29,0.01,0.01,0.01,0.01,500000,0.01
2011-07-28,0.01,0.01,0.01,0.01,000,0.01
2011-07-27,0.01,0.01,0.01,0.01,10000,0.01
2011-07-26,0.01,0.01,0.01,0.01,000,0.01
2011-07-25,0.01,0.01,0.01,0.01,000,0.01
2011-07-22,0.01,0.01,0.01,0.01,000,0.01
2011-07-21,0.01,0.01,0.01,0.01,000,0.01
2011-07-20,0.01,0.01,0.01,0.01,20000,0.01
2011-07-19,0.01,0.01,0.01,0.01,000,0.01
2011-07-18,0.01,0.01,0.01,0.01,000,0.01
2011-07-15,0.01,0.01,0.01,0.01,000,0.01
2011-07-14,0.01,0.01,0.01,0.01,100000,0.01
2011-07-13,0.01,0.01,0.01,0.01,000,0.01
2011-07-12,0.01,0.01,0.01,0.01,000,0.01
2011-07-11,0.01,0.01,0.01,0.01,000,0.01
2011-07-08,0.01,0.01,0.01,0.01,000,0.01
2011-07-07,0.01,0.01,0.01,0.01,000,0.01
2011-07-06,0.01,0.01,0.01,0.01,000,0.01
2011-07-05,0.01,0.01,0.01,0.01,000,0.01
2011-07-04,0.01,0.01,0.01,0.01,000,0.01
2011-07-01,0.00,0.01,0.00,0.00,000,0.00
2011-06-30,0.01,0.01,0.01,0.01,1400000,0.01
2011-06-29,0.01,0.01,0.01,0.01,31000,0.01
2011-06-28,0.00,0.01,0.00,0.00,000,0.00
2011-06-27,0.00,0.01,0.00,0.00,000,0.00
2011-06-24,0.00,0.01,0.00,0.00,000,0.00
2011-06-23,0.00,0.01,0.00,0.00,000,0.00
2011-06-22,0.00,0.01,0.00,0.00,000,0.00
2011-06-21,0.00,0.01,0.00,0.00,000,0.00
2011-06-20,0.00,0.01,0.00,0.00,000,0.00
2011-06-17,0.00,0.01,0.00,0.00,000,0.00
2011-06-16,0.00,0.01,0.00,0.00,000,0.00
2011-06-15,0.00,0.01,0.00,0.00,000,0.00
2011-06-14,0.00,0.01,0.00,0.00,000,0.00
2011-06-13,0.00,0.01,0.00,0.00,000,0.00
2011-06-10,0.00,0.01,0.00,0.00,000,0.00
2011-06-09,0.00,0.01,0.00,0.00,000,0.00
2011-06-08,0.01,0.01,0.01,0.01,260000,0.01
2011-06-07,0.00,0.01,0.00,0.00,000,0.00
2011-06-06,0.00,0.01,0.00,0.00,000,0.00
2011-06-03,0.00,0.01,0.00,0.00,000,0.00
2011-06-02,0.00,0.01,0.00,0.00,000,0.00
2011-06-01,0.00,0.01,0.00,0.01,126000,0.01
2011-05-31,0.00,0.00,0.00,0.00,1000,0.00
2011-05-30,0.00,0.01,0.00,0.00,000,0.00
2011-05-27,0.00,0.01,0.00,0.00,000,0.00
2011-05-26,0.00,0.01,0.00,0.00,000,0.00
2011-05-25,0.00,0.01,0.00,0.00,000,0.00
2011-05-24,0.00,0.01,0.00,0.00,000,0.00
2011-05-23,0.00,0.01,0.00,0.00,000,0.00
2011-05-20,0.00,0.01,0.00,0.00,000,0.00
2011-05-19,0.01,0.01,0.01,0.01,40000,0.01
2011-05-18,0.00,0.01,0.00,0.00,000,0.00
2011-05-16,0.00,0.01,0.00,0.00,000,0.00
2011-05-13,0.00,0.01,0.00,0.00,000,0.00
2011-05-12,0.00,0.01,0.00,0.00,000,0.00
2011-05-11,0.00,0.01,0.00,0.00,000,0.00
2011-05-10,0.00,0.01,0.00,0.00,000,0.00
2011-05-09,0.00,0.01,0.00,0.00,000,0.00
2011-05-06,0.00,0.01,0.00,0.00,000,0.00
2011-05-05,0.00,0.01,0.00,0.00,000,0.00
2011-05-04,0.00,0.01,0.00,0.00,000,0.00
2011-05-03,0.00,0.01,0.00,0.00,000,0.00
2011-04-29,0.00,0.01,0.00,0.00,000,0.00
2011-04-28,0.01,0.01,0.01,0.01,200000,0.01
2011-04-27,0.00,0.01,0.00,0.00,000,0.00
2011-04-26,0.00,0.01,0.00,0.00,000,0.00
2011-04-25,0.00,0.01,0.00,0.00,000,0.00
2011-04-21,0.00,0.01,0.00,0.00,000,0.00
2011-04-20,0.00,0.01,0.00,0.00,000,0.00
2011-04-19,0.00,0.01,0.00,0.00,000,0.00
2011-04-18,0.01,0.01,0.01,0.01,20000,0.01
2011-04-15,0.01,0.01,0.00,0.00,269000,0.00
2011-04-14,0.00,0.01,0.00,0.00,000,0.00
2011-04-13,0.00,0.01,0.00,0.00,000,0.00
2011-04-12,0.00,0.01,0.00,0.00,000,0.00
2011-04-11,0.00,0.01,0.00,0.00,000,0.00
2011-04-08,0.00,0.01,0.00,0.00,000,0.00
2011-04-07,0.01,0.01,0.01,0.01,44000,0.01
2011-04-06,0.00,0.01,0.00,0.00,000,0.00
2011-04-05,0.00,0.01,0.00,0.00,000,0.00
2011-04-04,0.00,0.01,0.00,0.00,000,0.00
2011-04-01,0.00,0.01,0.00,0.01,36000,0.01
2011-03-31,0.01,0.01,0.01,0.01,5000,0.01
2011-03-30,0.00,0.01,0.00,0.00,000,0.00
2011-03-29,0.01,0.01,0.01,0.01,000,0.01
2011-03-28,0.00,0.01,0.00,0.00,000,0.00
2011-03-25,0.00,0.01,0.00,0.00,000,0.00
2011-03-24,0.00,0.01,0.00,0.00,000,0.00
2011-03-23,0.01,0.01,0.01,0.01,200000,0.01
2011-03-22,0.00,0.01,0.00,0.00,000,0.00
2011-03-21,0.00,0.01,0.00,0.00,000,0.00
2011-03-18,0.00,0.01,0.00,0.00,000,0.00
2011-03-17,0.00,0.01,0.00,0.00,000,0.00
2011-03-16,0.00,0.01,0.00,0.00,000,0.00
2011-03-15,0.01,0.01,0.01,0.01,312000,0.01
2011-03-14,0.01,0.01,0.01,0.01,000,0.01
2011-03-11,0.01,0.01,0.01,0.01,000,0.01
2011-03-10,0.01,0.01,0.01,0.01,334000,0.01
2011-03-09,0.01,0.01,0.01,0.01,1526000,0.01
2011-03-08,0.01,0.01,0.01,0.01,470000,0.01
2011-03-07,0.01,0.01,0.01,0.01,529000,0.01
2011-03-04,0.01,0.01,0.01,0.01,000,0.01
2011-03-03,0.01,0.01,0.01,0.01,45000,0.01
2011-03-02,0.01,0.01,0.01,0.01,000,0.01
2011-03-01,0.01,0.01,0.01,0.01,000,0.01
2011-02-28,0.01,0.01,0.01,0.01,000,0.01
2011-02-25,0.01,0.01,0.01,0.01,000,0.01
2011-02-24,0.01,0.01,0.01,0.01,000,0.01
2011-02-23,0.01,0.01,0.01,0.01,230000,0.01
2011-02-22,0.01,0.01,0.01,0.01,000,0.01
2011-02-21,0.01,0.01,0.01,0.01,10000,0.01
2011-02-18,0.01,0.02,0.01,0.02,180000,0.02
2011-02-17,0.01,0.01,0.01,0.01,000,0.01
2011-02-16,0.01,0.01,0.01,0.01,232000,0.01
2011-02-15,0.01,0.01,0.01,0.01,000,0.01
2011-02-14,0.01,0.01,0.01,0.01,000,0.01
2011-02-11,0.01,0.01,0.01,0.01,000,0.01
2011-02-10,0.01,0.01,0.01,0.01,000,0.01
2011-02-09,0.01,0.01,0.01,0.01,280000,0.01
2011-02-08,0.01,0.01,0.01,0.01,000,0.01
2011-02-07,0.01,0.01,0.01,0.01,227000,0.01
2011-02-02,0.01,0.02,0.01,0.01,000,0.01
2011-02-01,0.01,0.02,0.01,0.01,000,0.01
2011-01-31,0.01,0.02,0.01,0.01,000,0.01
2011-01-28,0.01,0.01,0.01,0.01,000,0.01
2011-01-27,0.01,0.02,0.01,0.01,000,0.01
2011-01-26,0.01,0.01,0.01,0.01,241000,0.01
2011-01-25,0.01,0.01,0.01,0.01,000,0.01
2011-01-24,0.01,0.01,0.01,0.01,000,0.01
2011-01-21,0.01,0.02,0.01,0.01,000,0.01
2011-01-20,0.01,0.01,0.01,0.01,6000,0.01
2011-01-19,0.01,0.02,0.01,0.01,000,0.01
2011-01-18,0.01,0.01,0.01,0.01,3000,0.01
2011-01-17,0.01,0.01,0.01,0.01,000,0.01
2011-01-14,0.01,0.01,0.01,0.01,000,0.01
2011-01-13,0.01,0.02,0.01,0.01,454000,0.01
2011-01-12,0.01,0.01,0.01,0.01,000,0.01
2011-01-11,0.01,0.02,0.01,0.01,000,0.01
2011-01-10,0.01,0.02,0.01,0.01,000,0.01
2011-01-07,0.01,0.02,0.01,0.01,000,0.01
2011-01-06,0.01,0.01,0.01,0.01,130000,0.01
2011-01-05,0.01,0.01,0.01,0.01,300000,0.01
2011-01-04,0.01,0.02,0.01,0.02,625000,0.02
2011-01-03,0.01,0.02,0.01,0.02,2102000,0.02
2010-12-31,0.02,0.02,0.02,0.02,1000,0.02
2010-12-30,0.02,0.02,0.02,0.02,1440000,0.02
2010-12-29,0.01,0.02,0.01,0.02,1355000,0.02
2010-12-28,0.01,0.01,0.01,0.01,000,0.01
2010-12-27,0.01,0.01,0.01,0.01,100000,0.01
2010-12-24,0.01,0.01,0.01,0.01,400000,0.01
2010-12-23,0.01,0.01,0.01,0.01,350000,0.01
2010-12-22,0.01,0.01,0.01,0.01,000,0.01
2010-12-21,0.01,0.01,0.01,0.01,000,0.01
2010-12-20,0.01,0.01,0.01,0.01,700000,0.01
2010-12-17,0.01,0.01,0.01,0.01,830000,0.01
2010-12-16,0.01,0.01,0.01,0.01,20000,0.01
2010-12-15,0.01,0.01,0.01,0.01,000,0.01
2010-12-14,0.01,0.01,0.01,0.01,000,0.01
2010-12-13,0.01,0.01,0.01,0.01,2104000,0.01
2010-12-10,0.01,0.01,0.01,0.01,000,0.01
2010-12-09,0.01,0.01,0.01,0.01,1451000,0.01
2010-12-08,0.01,0.01,0.01,0.01,000,0.01
2010-12-07,0.01,0.01,0.01,0.01,1252000,0.01
2010-12-06,0.01,0.01,0.01,0.01,000,0.01
2010-12-03,0.01,0.01,0.01,0.01,6000,0.01
2010-12-02,0.01,0.01,0.01,0.01,000,0.01
2010-12-01,0.01,0.01,0.01,0.01,1000000,0.01
2010-11-30,0.01,0.01,0.01,0.01,000,0.01
2010-11-29,0.01,0.01,0.01,0.01,1002000,0.01
2010-11-26,0.01,0.01,0.01,0.01,000,0.01
2010-11-25,0.01,0.01,0.01,0.01,000,0.01
2010-11-24,0.01,0.01,0.01,0.01,12000,0.01
2010-11-23,0.01,0.01,0.01,0.01,46000,0.01
2010-11-22,0.01,0.01,0.01,0.01,2138000,0.01
2010-11-19,0.01,0.01,0.01,0.01,000,0.01
2010-11-18,0.01,0.01,0.01,0.01,20000,0.01
2010-11-16,0.01,0.02,0.01,0.01,000,0.01
2010-11-15,0.02,0.02,0.02,0.02,11000,0.02
2010-11-12,0.01,0.01,0.01,0.01,23000,0.01
2010-11-11,0.01,0.01,0.01,0.01,19000,0.01
2010-11-10,0.01,0.01,0.01,0.01,452000,0.01
2010-11-09,0.01,0.01,0.01,0.01,000,0.01
2010-11-08,0.01,0.01,0.01,0.01,000,0.01
2010-11-04,0.01,0.01,0.01,0.01,000,0.01
2010-11-03,0.01,0.01,0.01,0.01,000,0.01
2010-11-02,0.01,0.01,0.01,0.01,000,0.01
2010-11-01,0.01,0.01,0.01,0.01,000,0.01
2010-10-29,0.01,0.01,0.01,0.01,000,0.01
2010-10-28,0.01,0.01,0.01,0.01,000,0.01
2010-10-27,0.01,0.01,0.01,0.01,000,0.01
2010-10-26,0.01,0.01,0.01,0.01,000,0.01
2010-10-25,0.01,0.01,0.01,0.01,502000,0.01
2010-10-22,0.01,0.01,0.01,0.01,000,0.01
2010-10-21,0.01,0.01,0.01,0.01,000,0.01
2010-10-20,0.01,0.02,0.01,0.01,000,0.01
2010-10-19,0.01,0.02,0.01,0.01,000,0.01
2010-10-18,0.01,0.01,0.01,0.01,610000,0.01
2010-10-15,0.01,0.01,0.01,0.01,136000,0.01
2010-10-14,0.01,0.01,0.01,0.01,495000,0.01
2010-10-13,0.01,0.02,0.01,0.01,000,0.01
2010-10-12,0.01,0.02,0.01,0.01,000,0.01
2010-10-11,0.01,0.02,0.01,0.01,000,0.01
2010-10-08,0.01,0.01,0.01,0.01,120000,0.01
2010-10-07,0.01,0.02,0.01,0.01,000,0.01
2010-10-06,0.01,0.01,0.01,0.01,000,0.01
2010-10-05,0.01,0.01,0.01,0.01,000,0.01
2010-10-04,0.01,0.01,0.01,0.01,000,0.01
2010-10-01,0.01,0.01,0.01,0.01,000,0.01
2010-09-30,0.01,0.01,0.01,0.01,100000,0.01
2010-09-29,0.01,0.02,0.01,0.01,000,0.01
2010-09-28,0.01,0.01,0.01,0.01,100000,0.01
2010-09-27,0.01,0.01,0.01,0.01,215000,0.01
2010-09-24,0.01,0.01,0.01,0.01,113000,0.01
2010-09-23,0.01,0.02,0.01,0.01,000,0.01
2010-09-22,0.01,0.02,0.01,0.01,000,0.01
2010-09-21,0.01,0.02,0.01,0.01,000,0.01
2010-09-20,0.01,0.01,0.01,0.01,203000,0.01
2010-09-17,0.01,0.01,0.01,0.01,000,0.01
2010-09-16,0.01,0.02,0.01,0.01,000,0.01
2010-09-15,0.01,0.02,0.01,0.01,000,0.01
2010-09-14,0.01,0.01,0.01,0.01,20000,0.01
2010-09-13,0.01,0.02,0.01,0.01,000,0.01
2010-09-09,0.01,0.02,0.01,0.01,000,0.01
2010-09-08,0.01,0.02,0.01,0.01,000,0.01
