Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.34,0.35,0.34,0.34,000,0.34
2011-08-03,0.34,0.34,0.34,0.34,40000,0.34
2011-08-02,0.34,0.34,0.34,0.34,34000,0.34
2011-08-01,0.35,0.35,0.35,0.35,60000,0.35
2011-07-29,0.34,0.34,0.34,0.34,21000,0.34
2011-07-28,0.34,0.35,0.34,0.34,000,0.34
2011-07-27,0.34,0.34,0.34,0.34,000,0.34
2011-07-26,0.32,0.35,0.32,0.34,82000,0.34
2011-07-25,0.34,0.35,0.34,0.34,000,0.34
2011-07-22,0.35,0.35,0.34,0.34,136000,0.34
2011-07-21,0.34,0.35,0.34,0.34,000,0.34
2011-07-20,0.35,0.35,0.34,0.34,344000,0.34
2011-07-19,0.35,0.35,0.34,0.34,126000,0.34
2011-07-18,0.35,0.35,0.34,0.34,50000,0.34
2011-07-15,0.34,0.35,0.34,0.35,175000,0.35
2011-07-14,0.34,0.35,0.34,0.35,110000,0.35
2011-07-13,0.32,0.36,0.32,0.32,000,0.32
2011-07-12,0.34,0.35,0.34,0.35,110000,0.35
2011-07-11,0.36,0.36,0.35,0.36,39000,0.36
2011-07-08,0.36,0.36,0.35,0.36,77000,0.36
2011-07-07,0.36,0.36,0.35,0.35,90000,0.35
2011-07-06,0.37,0.37,0.35,0.35,230000,0.35
2011-07-05,0.35,0.36,0.35,0.35,000,0.35
2011-07-04,0.36,0.36,0.35,0.35,59000,0.35
2011-07-01,0.35,0.36,0.35,0.36,50000,0.36
2011-06-30,0.34,0.34,0.34,0.34,72000,0.34
2011-06-29,0.34,0.34,0.34,0.34,20000,0.34
2011-06-28,0.34,0.34,0.34,0.34,60000,0.34
2011-06-27,0.34,0.34,0.34,0.34,74000,0.34
2011-06-24,0.34,0.34,0.34,0.34,5000,0.34
2011-06-23,0.33,0.36,0.33,0.33,000,0.33
2011-06-22,0.34,0.34,0.34,0.34,28000,0.34
2011-06-21,0.32,0.34,0.32,0.34,95000,0.34
2011-06-20,0.32,0.32,0.32,0.32,31000,0.32
2011-06-17,0.32,0.32,0.31,0.32,34000,0.32
2011-06-16,0.32,0.34,0.32,0.34,71000,0.34
2011-06-15,0.34,0.34,0.32,0.32,51000,0.32
2011-06-14,0.34,0.34,0.34,0.34,30000,0.34
2011-06-13,0.31,0.34,0.31,0.33,96000,0.33
2011-06-10,0.32,0.34,0.32,0.32,000,0.32
2011-06-09,0.33,0.34,0.33,0.33,000,0.33
2011-06-08,0.33,0.34,0.33,0.34,15000,0.34
2011-06-07,0.32,0.34,0.32,0.34,16000,0.34
2011-06-06,0.34,0.35,0.34,0.34,000,0.34
2011-06-03,0.33,0.35,0.33,0.34,6000,0.34
2011-06-02,0.31,0.34,0.31,0.31,000,0.31
2011-06-01,0.34,0.34,0.34,0.34,21000,0.34
2011-05-31,0.34,0.35,0.34,0.34,000,0.34
2011-05-30,0.34,0.35,0.34,0.34,105000,0.34
2011-05-27,0.35,0.35,0.35,0.35,20000,0.35
2011-05-26,0.34,0.35,0.34,0.34,000,0.34
2011-05-25,0.34,0.35,0.34,0.34,000,0.34
2011-05-24,0.35,0.36,0.34,0.36,32000,0.36
2011-05-23,0.33,0.35,0.33,0.33,000,0.33
2011-05-20,0.32,0.35,0.32,0.32,000,0.32
2011-05-19,0.34,0.35,0.34,0.35,30000,0.35
2011-05-18,0.34,0.35,0.34,0.34,000,0.34
2011-05-16,0.35,0.35,0.34,0.34,71000,0.34
2011-05-13,0.35,0.37,0.35,0.35,000,0.35
2011-05-12,0.35,0.35,0.35,0.35,27000,0.35
2011-05-11,0.35,0.37,0.35,0.35,000,0.35
2011-05-10,0.38,0.38,0.38,0.38,20000,0.38
2011-05-09,0.35,0.38,0.35,0.38,6000,0.38
2011-05-06,0.33,0.37,0.33,0.37,2000,0.37
2011-05-05,0.35,0.37,0.35,0.35,000,0.35
2011-05-04,0.35,0.35,0.35,0.35,20000,0.35
2011-05-03,0.37,0.37,0.36,0.36,102000,0.36
2011-04-29,0.35,0.36,0.35,0.36,72000,0.36
2011-04-28,0.36,0.36,0.36,0.36,10000,0.36
2011-04-27,0.36,0.38,0.36,0.36,000,0.36
2011-04-26,0.36,0.36,0.36,0.36,1000,0.36
2011-04-25,0.38,0.38,0.38,0.38,35000,0.38
2011-04-21,0.38,0.39,0.38,0.38,166000,0.38
2011-04-20,0.36,0.37,0.36,0.37,59000,0.37
2011-04-19,0.37,0.37,0.36,0.36,138000,0.36
2011-04-18,0.37,0.37,0.37,0.37,1000,0.37
2011-04-15,0.38,0.38,0.37,0.38,111000,0.38
2011-04-14,0.37,0.37,0.37,0.37,10000,0.37
2011-04-13,0.37,0.38,0.37,0.38,69000,0.38
2011-04-12,0.37,0.38,0.37,0.37,70000,0.37
2011-04-11,0.38,0.38,0.37,0.37,83000,0.37
2011-04-08,0.38,0.38,0.38,0.38,28000,0.38
2011-04-07,0.38,0.40,0.38,0.39,590000,0.39
2011-04-06,0.37,0.38,0.37,0.37,000,0.37
2011-04-05,0.38,0.38,0.37,0.37,38000,0.37
2011-04-04,0.38,0.38,0.38,0.38,152000,0.38
2011-04-01,0.37,0.37,0.37,0.37,25000,0.37
2011-03-31,0.38,0.38,0.38,0.38,20000,0.38
2011-03-30,0.38,0.40,0.38,0.38,89000,0.38
2011-03-29,0.36,0.37,0.36,0.36,000,0.36
2011-03-28,0.37,0.37,0.37,0.37,9000,0.37
2011-03-25,0.38,0.38,0.37,0.38,210000,0.38
2011-03-24,0.38,0.38,0.37,0.37,20000,0.37
2011-03-23,0.37,0.37,0.36,0.36,17000,0.36
2011-03-22,0.37,0.38,0.36,0.37,68000,0.37
2011-03-21,0.36,0.36,0.35,0.36,93000,0.36
2011-03-18,0.35,0.35,0.34,0.34,21000,0.34
2011-03-17,0.34,0.34,0.34,0.34,43000,0.34
2011-03-16,0.34,0.34,0.34,0.34,32000,0.34
2011-03-15,0.37,0.37,0.34,0.34,444000,0.34
2011-03-14,0.38,0.38,0.36,0.37,69000,0.37
2011-03-11,0.38,0.38,0.38,0.38,1000,0.38
2011-03-10,0.39,0.39,0.38,0.38,80000,0.38
2011-03-09,0.38,0.38,0.38,0.38,71000,0.38
2011-03-08,0.37,0.37,0.37,0.37,30000,0.37
2011-03-07,0.37,0.37,0.36,0.37,97000,0.37
2011-03-04,0.37,0.37,0.36,0.36,75000,0.36
2011-03-03,0.36,0.37,0.36,0.37,82000,0.37
2011-03-02,0.35,0.35,0.35,0.35,74000,0.35
2011-03-01,0.38,0.38,0.36,0.36,151000,0.36
2011-02-28,0.38,0.38,0.36,0.37,121000,0.37
2011-02-25,0.34,0.38,0.34,0.38,383000,0.38
2011-02-24,0.34,0.35,0.34,0.34,232000,0.34
2011-02-23,0.35,0.35,0.34,0.34,134000,0.34
2011-02-22,0.36,0.36,0.35,0.35,526000,0.35
2011-02-21,0.38,0.38,0.38,0.38,32000,0.38
2011-02-18,0.41,0.41,0.40,0.40,18000,0.40
2011-02-17,0.41,0.41,0.40,0.40,144000,0.40
2011-02-16,0.41,0.41,0.41,0.41,34000,0.41
2011-02-15,0.43,0.43,0.41,0.41,128000,0.41
2011-02-14,0.41,0.43,0.41,0.43,118000,0.43
2011-02-11,0.41,0.41,0.41,0.41,65000,0.41
2011-02-10,0.41,0.41,0.41,0.41,20000,0.41
2011-02-09,0.42,0.42,0.42,0.42,120000,0.42
2011-02-08,0.43,0.43,0.43,0.43,18000,0.43
2011-02-07,0.43,0.43,0.43,0.43,27000,0.43
2011-02-02,0.44,0.44,0.44,0.44,1000,0.44
2011-02-01,0.42,0.43,0.42,0.43,52000,0.43
2011-01-31,0.43,0.43,0.43,0.43,72000,0.43
2011-01-28,0.43,0.43,0.43,0.43,83000,0.43
2011-01-27,0.44,0.44,0.44,0.44,2000,0.44
