Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.08,0.08,0.08,0.08,3251000,0.08
2011-08-03,0.08,0.08,0.07,0.08,5893000,0.08
2011-08-02,0.08,0.08,0.08,0.08,11110000,0.08
2011-08-01,0.08,0.08,0.08,0.08,5014000,0.08
2011-07-29,0.08,0.08,0.07,0.08,3034000,0.08
2011-07-28,0.08,0.08,0.08,0.08,3794000,0.08
2011-07-27,0.08,0.08,0.08,0.08,2495000,0.08
2011-07-26,0.08,0.08,0.08,0.08,4799000,0.08
2011-07-25,0.08,0.08,0.08,0.08,4159000,0.08
2011-07-22,0.08,0.08,0.08,0.08,1590000,0.08
2011-07-21,0.08,0.08,0.08,0.08,5728000,0.08
2011-07-20,0.08,0.08,0.07,0.07,823000,0.07
2011-07-19,0.07,0.08,0.07,0.08,2862000,0.08
2011-07-18,0.07,0.07,0.07,0.07,592000,0.07
2011-07-15,0.07,0.07,0.07,0.07,510000,0.07
2011-07-14,0.07,0.07,0.07,0.07,3724000,0.07
2011-07-13,0.07,0.08,0.07,0.08,1008000,0.08
2011-07-12,0.07,0.07,0.07,0.07,900000,0.07
2011-07-11,0.07,0.07,0.07,0.07,290000,0.07
2011-07-08,0.07,0.08,0.07,0.07,470000,0.07
2011-07-07,0.07,0.07,0.07,0.07,4072000,0.07
2011-07-06,0.07,0.08,0.07,0.07,5356000,0.07
2011-07-05,0.07,0.07,0.07,0.07,200000,0.07
2011-07-04,0.07,0.07,0.07,0.07,20000,0.07
2011-07-01,0.07,0.07,0.06,0.07,1026000,0.07
2011-06-30,0.06,0.08,0.06,0.08,3483000,0.08
2011-06-29,0.06,0.07,0.06,0.07,2330000,0.07
2011-06-28,0.05,0.06,0.05,0.05,000,0.05
2011-06-27,0.05,0.06,0.05,0.05,000,0.05
2011-06-24,0.06,0.06,0.06,0.06,195000,0.06
2011-06-23,0.06,0.06,0.06,0.06,663000,0.06
2011-06-22,0.05,0.06,0.05,0.05,000,0.05
2011-06-21,0.06,0.06,0.05,0.06,245000,0.06
