Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.05,0.05,0.05,0.05,232000,0.05
2011-08-03,0.05,0.05,0.05,0.05,50000,0.05
2011-08-02,0.06,0.06,0.05,0.05,360000,0.05
2011-08-01,0.06,0.06,0.06,0.06,80000,0.06
2011-07-29,0.06,0.06,0.06,0.06,432000,0.06
2011-07-28,0.06,0.06,0.06,0.06,124000,0.06
2011-07-27,0.06,0.06,0.06,0.06,115000,0.06
2011-07-26,0.05,0.06,0.05,0.06,391000,0.06
2011-07-25,0.05,0.05,0.05,0.05,000,0.05
2011-07-22,0.05,0.05,0.05,0.05,000,0.05
2011-07-21,0.05,0.06,0.05,0.05,000,0.05
2011-07-20,0.05,0.05,0.05,0.05,8000,0.05
2011-07-19,0.05,0.05,0.05,0.05,000,0.05
2011-07-18,0.05,0.05,0.05,0.05,80000,0.05
2011-07-15,0.05,0.05,0.05,0.05,310000,0.05
2011-07-14,0.05,0.05,0.05,0.05,60000,0.05
2011-07-13,0.05,0.05,0.05,0.05,000,0.05
2011-07-12,0.05,0.05,0.05,0.05,180000,0.05
2011-07-11,0.05,0.05,0.05,0.05,266000,0.05
2011-07-08,0.06,0.06,0.05,0.05,195000,0.05
2011-07-07,0.05,0.06,0.05,0.06,1349000,0.06
2011-07-06,0.05,0.05,0.05,0.05,3111000,0.05
2011-07-05,0.07,0.07,0.06,0.06,890000,0.06
2011-07-04,0.07,0.07,0.07,0.07,52000,0.07
2011-07-01,0.07,0.07,0.06,0.06,80000,0.06
2011-06-30,0.06,0.08,0.06,0.06,000,0.06
2011-06-29,0.07,0.07,0.07,0.07,169000,0.07
2011-06-28,0.07,0.07,0.07,0.07,200000,0.07
2011-06-27,0.06,0.07,0.06,0.06,000,0.06
2011-06-24,0.06,0.06,0.06,0.06,131000,0.06
2011-06-23,0.06,0.06,0.06,0.06,110000,0.06
2011-06-22,0.06,0.06,0.06,0.06,260000,0.06
2011-06-21,0.06,0.06,0.06,0.06,50000,0.06
2011-06-20,0.06,0.07,0.06,0.06,000,0.06
2011-06-17,0.06,0.06,0.06,0.06,40000,0.06
2011-06-16,0.06,0.06,0.06,0.06,124000,0.06
2011-06-15,0.06,0.07,0.06,0.06,000,0.06
2011-06-14,0.06,0.06,0.06,0.06,30000,0.06
2011-06-13,0.06,0.06,0.06,0.06,70000,0.06
2011-06-10,0.06,0.06,0.06,0.06,158000,0.06
2011-06-09,0.06,0.06,0.06,0.06,10000,0.06
2011-06-08,0.06,0.06,0.06,0.06,76000,0.06
2011-06-07,0.06,0.06,0.06,0.06,80000,0.06
2011-06-06,0.06,0.06,0.06,0.06,50000,0.06
2011-06-03,0.06,0.06,0.06,0.06,120000,0.06
2011-06-02,0.06,0.06,0.06,0.06,399000,0.06
2011-06-01,0.06,0.06,0.06,0.06,20000,0.06
2011-05-31,0.06,0.06,0.06,0.06,100000,0.06
2011-05-30,0.06,0.07,0.06,0.07,10000,0.07
2011-05-27,0.07,0.07,0.07,0.07,9000,0.07
2011-05-26,0.06,0.07,0.06,0.07,136000,0.07
2011-05-25,0.06,0.06,0.06,0.06,50000,0.06
2011-05-24,0.06,0.06,0.06,0.06,30000,0.06
2011-05-23,0.06,0.06,0.06,0.06,200000,0.06
2011-05-20,0.06,0.07,0.06,0.06,000,0.06
2011-05-19,0.06,0.07,0.06,0.06,000,0.06
2011-05-18,0.06,0.07,0.06,0.07,250000,0.07
2011-05-16,0.06,0.06,0.06,0.06,214000,0.06
2011-05-13,0.07,0.07,0.06,0.07,85000,0.07
2011-05-12,0.06,0.08,0.06,0.06,000,0.06
2011-05-11,0.07,0.07,0.07,0.07,63000,0.07
2011-05-10,0.07,0.07,0.07,0.07,30000,0.07
2011-05-09,0.07,0.08,0.07,0.08,46000,0.08
2011-05-06,0.06,0.07,0.06,0.06,000,0.06
2011-05-05,0.06,0.06,0.06,0.06,54000,0.06
2011-05-04,0.06,0.06,0.06,0.06,30000,0.06
2011-05-03,0.07,0.07,0.07,0.07,29000,0.07
2011-04-29,0.07,0.07,0.06,0.07,81000,0.07
2011-04-28,0.07,0.07,0.07,0.07,150000,0.07
2011-04-27,0.07,0.07,0.07,0.07,4000,0.07
2011-04-26,0.08,0.08,0.08,0.08,100000,0.08
2011-04-25,0.07,0.08,0.07,0.07,000,0.07
2011-04-21,0.07,0.08,0.07,0.07,000,0.07
2011-04-20,0.08,0.08,0.08,0.08,3682000,0.08
2011-04-19,0.07,0.08,0.07,0.08,1948000,0.08
2011-04-18,0.06,0.08,0.06,0.08,500000,0.08
2011-04-15,0.06,0.07,0.06,0.06,000,0.06
2011-04-14,0.06,0.08,0.06,0.06,000,0.06
2011-04-13,0.06,0.08,0.06,0.06,000,0.06
2011-04-12,0.06,0.08,0.06,0.06,000,0.06
2011-04-11,0.07,0.07,0.07,0.07,70000,0.07
2011-04-08,0.07,0.07,0.07,0.07,20000,0.07
2011-04-07,0.07,0.07,0.07,0.07,11000,0.07
2011-04-06,0.06,0.08,0.06,0.06,000,0.06
2011-04-05,0.06,0.07,0.06,0.07,290000,0.07
2011-04-04,0.06,0.07,0.06,0.06,000,0.06
2011-04-01,0.06,0.06,0.06,0.06,45000,0.06
2011-03-31,0.06,0.06,0.06,0.06,200000,0.06
2011-03-30,0.07,0.07,0.07,0.07,170000,0.07
2011-03-29,0.06,0.07,0.06,0.06,000,0.06
2011-03-28,0.07,0.07,0.06,0.06,80000,0.06
2011-03-25,0.06,0.06,0.06,0.06,160000,0.06
2011-03-24,0.06,0.08,0.06,0.06,000,0.06
2011-03-23,0.06,0.08,0.06,0.06,000,0.06
2011-03-22,0.07,0.07,0.07,0.07,75000,0.07
2011-03-21,0.07,0.07,0.07,0.07,93000,0.07
2011-03-18,0.06,0.06,0.06,0.06,8000,0.06
2011-03-17,0.06,0.06,0.06,0.06,160000,0.06
2011-03-16,0.06,0.06,0.06,0.06,322000,0.06
2011-03-15,0.06,0.06,0.06,0.06,288000,0.06
2011-03-14,0.07,0.07,0.07,0.07,40000,0.07
2011-03-11,0.07,0.07,0.07,0.07,450000,0.07
2011-03-10,0.07,0.08,0.07,0.07,000,0.07
2011-03-09,0.08,0.08,0.08,0.08,167000,0.08
2011-03-08,0.07,0.07,0.07,0.07,106000,0.07
2011-03-07,0.07,0.07,0.07,0.07,55000,0.07
2011-03-04,0.07,0.08,0.07,0.07,000,0.07
2011-03-03,0.08,0.08,0.07,0.07,96000,0.07
2011-03-02,0.06,0.08,0.06,0.06,000,0.06
2011-03-01,0.07,0.07,0.07,0.07,30000,0.07
2011-02-28,0.07,0.07,0.07,0.07,250000,0.07
2011-02-25,0.07,0.07,0.07,0.07,19000,0.07
2011-02-24,0.06,0.08,0.06,0.06,000,0.06
2011-02-23,0.06,0.07,0.06,0.07,484000,0.07
2011-02-22,0.08,0.08,0.08,0.08,228000,0.08
2011-02-21,0.08,0.08,0.08,0.08,10000,0.08
2011-02-18,0.08,0.08,0.08,0.08,000,0.08
2011-02-17,0.08,0.08,0.08,0.08,400000,0.08
2011-02-16,0.08,0.08,0.08,0.08,150000,0.08
2011-02-15,0.08,0.08,0.08,0.08,58000,0.08
2011-02-14,0.08,0.08,0.08,0.08,50000,0.08
2011-02-11,0.08,0.08,0.08,0.08,112000,0.08
2011-02-10,0.08,0.08,0.08,0.08,12000,0.08
2011-02-09,0.08,0.08,0.08,0.08,638000,0.08
2011-02-08,0.08,0.08,0.08,0.08,60000,0.08
2011-02-07,0.08,0.08,0.08,0.08,000,0.08
2011-02-02,0.08,0.08,0.08,0.08,000,0.08
2011-02-01,0.08,0.08,0.08,0.08,396000,0.08
2011-01-31,0.08,0.08,0.08,0.08,000,0.08
2011-01-28,0.08,0.08,0.08,0.08,358000,0.08
2011-01-27,0.08,0.08,0.08,0.08,30000,0.08
2011-01-26,0.08,0.08,0.08,0.08,150000,0.08
2011-01-25,0.08,0.08,0.08,0.08,000,0.08
2011-01-24,0.08,0.08,0.08,0.08,280000,0.08
2011-01-21,0.08,0.08,0.08,0.08,663000,0.08
2011-01-20,0.08,0.08,0.08,0.08,487000,0.08
2011-01-19,0.08,0.09,0.08,0.08,000,0.08
2011-01-18,0.08,0.08,0.08,0.08,130000,0.08
2011-01-17,0.08,0.08,0.08,0.08,56000,0.08
2011-01-14,0.08,0.09,0.08,0.08,000,0.08
2011-01-13,0.09,0.09,0.08,0.08,18000,0.08
2011-01-12,0.08,0.08,0.08,0.08,10000,0.08
2011-01-11,0.08,0.09,0.08,0.08,000,0.08
2011-01-10,0.09,0.09,0.09,0.09,150000,0.09
2011-01-07,0.09,0.09,0.09,0.09,96000,0.09
2011-01-06,0.09,0.09,0.08,0.08,290000,0.08
2011-01-05,0.08,0.09,0.08,0.09,395000,0.09
2011-01-04,0.08,0.08,0.08,0.08,10000,0.08
2011-01-03,0.08,0.09,0.08,0.08,000,0.08
2010-12-31,0.08,0.08,0.08,0.08,88000,0.08
2010-12-30,0.08,0.09,0.08,0.08,000,0.08
2010-12-29,0.08,0.08,0.08,0.08,364000,0.08
2010-12-28,0.08,0.08,0.08,0.08,100000,0.08
2010-12-27,0.08,0.08,0.08,0.08,000,0.08
2010-12-24,0.08,0.09,0.08,0.08,000,0.08
2010-12-23,0.08,0.08,0.08,0.08,20000,0.08
2010-12-22,0.08,0.09,0.08,0.08,000,0.08
2010-12-21,0.08,0.08,0.08,0.08,195000,0.08
2010-12-20,0.08,0.08,0.08,0.08,794000,0.08
2010-12-17,0.09,0.09,0.08,0.08,333000,0.08
2010-12-16,0.08,0.09,0.08,0.08,000,0.08
2010-12-15,0.08,0.08,0.08,0.08,138000,0.08
2010-12-14,0.08,0.09,0.08,0.08,000,0.08
2010-12-13,0.08,0.09,0.08,0.08,7256000,0.08
2010-12-10,0.08,0.09,0.08,0.09,610000,0.09
2010-12-09,0.08,0.08,0.08,0.08,100000,0.08
2010-12-08,0.08,0.08,0.08,0.08,100000,0.08
2010-12-07,0.08,0.08,0.08,0.08,000,0.08
2010-12-06,0.08,0.08,0.08,0.08,200000,0.08
2010-12-03,0.08,0.08,0.08,0.08,787000,0.08
2010-12-02,0.08,0.08,0.08,0.08,100000,0.08
2010-12-01,0.08,0.08,0.08,0.08,300000,0.08
2010-11-30,0.08,0.08,0.08,0.08,400000,0.08
2010-11-29,0.08,0.08,0.08,0.08,294000,0.08
2010-11-26,0.08,0.08,0.08,0.08,109000,0.08
2010-11-25,0.08,0.08,0.08,0.08,120000,0.08
2010-11-24,0.07,0.07,0.07,0.07,282000,0.07
2010-11-23,0.08,0.08,0.07,0.07,372000,0.07
2010-11-22,0.08,0.08,0.08,0.08,105000,0.08
2010-11-19,0.08,0.08,0.08,0.08,167000,0.08
2010-11-18,0.08,0.08,0.08,0.08,300000,0.08
2010-11-16,0.08,0.08,0.08,0.08,000,0.08
2010-11-15,0.08,0.08,0.08,0.08,10000,0.08
2010-11-12,0.08,0.08,0.08,0.08,137000,0.08
2010-11-11,0.08,0.09,0.08,0.08,000,0.08
2010-11-10,0.08,0.08,0.08,0.08,261000,0.08
2010-11-09,0.08,0.08,0.08,0.08,571000,0.08
2010-11-08,0.08,0.09,0.08,0.08,792000,0.08
2010-11-04,0.09,0.09,0.09,0.09,30000,0.09
2010-11-03,0.09,0.09,0.09,0.09,158000,0.09
2010-11-02,0.08,0.08,0.08,0.08,1000,0.08
2010-11-01,0.08,0.09,0.08,0.08,000,0.08
2010-10-29,0.08,0.08,0.08,0.08,59000,0.08
2010-10-28,0.08,0.08,0.08,0.08,240000,0.08
