Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.19,0.21,0.19,0.19,000,0.19
2011-08-03,0.19,0.21,0.19,0.19,000,0.19
2011-08-02,0.19,0.21,0.19,0.19,000,0.19
2011-08-01,0.19,0.21,0.19,0.19,000,0.19
2011-07-29,0.19,0.21,0.19,0.19,000,0.19
2011-07-28,0.19,0.20,0.19,0.19,000,0.19
2011-07-27,0.19,0.21,0.19,0.19,000,0.19
2011-07-26,0.20,0.20,0.19,0.20,15000,0.20
2011-07-25,0.20,0.20,0.20,0.20,1000,0.20
2011-07-22,0.19,0.19,0.19,0.19,5000,0.19
2011-07-21,0.19,0.20,0.19,0.19,000,0.19
2011-07-20,0.19,0.20,0.19,0.19,000,0.19
2011-07-19,0.19,0.19,0.19,0.19,4000,0.19
2011-07-18,0.19,0.19,0.19,0.19,10000,0.19
2011-07-15,0.19,0.20,0.19,0.19,000,0.19
2011-07-14,0.19,0.21,0.19,0.19,000,0.19
2011-07-13,0.19,0.21,0.19,0.19,000,0.19
2011-07-12,0.19,0.21,0.19,0.19,000,0.19
2011-07-11,0.19,0.21,0.19,0.19,000,0.19
2011-07-08,0.19,0.19,0.19,0.19,50000,0.19
2011-07-07,0.19,0.21,0.19,0.19,000,0.19
2011-07-06,0.19,0.21,0.19,0.19,000,0.19
2011-07-05,0.19,0.19,0.19,0.19,86000,0.19
2011-07-04,0.19,0.20,0.19,0.19,000,0.19
2011-07-01,0.19,0.21,0.19,0.19,000,0.19
2011-06-30,0.19,0.19,0.19,0.19,1249000,0.19
2011-06-29,0.19,0.20,0.19,0.19,000,0.19
2011-06-28,0.20,0.20,0.20,0.20,50000,0.20
2011-06-27,0.19,0.21,0.19,0.19,000,0.19
2011-06-24,0.19,0.20,0.19,0.19,000,0.19
2011-06-23,0.19,0.20,0.19,0.19,000,0.19
2011-06-22,0.19,0.20,0.19,0.19,000,0.19
2011-06-21,0.19,0.20,0.19,0.19,000,0.19
2011-06-20,0.18,0.21,0.18,0.18,000,0.18
2011-06-17,0.19,0.20,0.19,0.20,100000,0.20
2011-06-16,0.17,0.21,0.17,0.17,000,0.17
2011-06-15,0.19,0.19,0.19,0.19,20000,0.19
2011-06-14,0.19,0.21,0.19,0.19,000,0.19
2011-06-13,0.19,0.23,0.19,0.19,000,0.19
2011-06-10,0.19,0.23,0.19,0.19,000,0.19
2011-06-09,0.23,0.23,0.23,0.23,2000,0.23
2011-06-08,0.17,0.23,0.17,0.17,000,0.17
