Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,600000,0.03
2011-08-03,0.03,0.03,0.03,0.03,200000,0.03
2011-08-02,0.03,0.03,0.03,0.03,905000,0.03
2011-08-01,0.03,0.03,0.03,0.03,1802000,0.03
2011-07-29,0.03,0.03,0.03,0.03,1200000,0.03
2011-07-28,0.03,0.03,0.03,0.03,1084000,0.03
2011-07-27,0.03,0.03,0.03,0.03,1704000,0.03
2011-07-26,0.03,0.03,0.03,0.03,4270000,0.03
2011-07-25,0.03,0.04,0.03,0.03,2273000,0.03
2011-07-22,0.03,0.03,0.03,0.03,1111000,0.03
2011-07-21,0.03,0.03,0.03,0.03,120000,0.03
2011-07-20,0.03,0.03,0.03,0.03,000,0.03
2011-07-19,0.03,0.03,0.03,0.03,970000,0.03
2011-07-18,0.03,0.03,0.03,0.03,1396000,0.03
2011-07-15,0.03,0.03,0.03,0.03,300000,0.03
2011-07-14,0.03,0.03,0.03,0.03,120000,0.03
2011-07-13,0.03,0.03,0.03,0.03,1005000,0.03
2011-07-12,0.03,0.03,0.03,0.03,1300000,0.03
2011-07-11,0.03,0.03,0.03,0.03,231000,0.03
2011-07-08,0.03,0.03,0.03,0.03,380000,0.03
2011-07-07,0.03,0.03,0.03,0.03,125000,0.03
2011-07-06,0.03,0.03,0.03,0.03,275000,0.03
2011-07-05,0.03,0.03,0.03,0.03,2900000,0.03
2011-07-04,0.04,0.04,0.03,0.03,430000,0.03
2011-07-01,0.03,0.04,0.03,0.04,510000,0.04
2011-06-30,0.03,0.04,0.03,0.03,000,0.03
2011-06-29,0.04,0.04,0.04,0.04,100000,0.04
2011-06-28,0.03,0.04,0.03,0.04,1340000,0.04
2011-06-27,0.03,0.03,0.03,0.03,1680000,0.03
2011-06-24,0.03,0.03,0.03,0.03,1060000,0.03
2011-06-23,0.03,0.03,0.03,0.03,834000,0.03
2011-06-22,0.03,0.03,0.03,0.03,780000,0.03
2011-06-21,0.03,0.03,0.03,0.03,1830000,0.03
2011-06-20,0.03,0.03,0.03,0.03,1052000,0.03
2011-06-17,0.03,0.04,0.03,0.03,7420000,0.03
2011-06-16,0.04,0.04,0.03,0.04,1481000,0.04
2011-06-15,0.04,0.04,0.04,0.04,95000,0.04
2011-06-14,0.04,0.04,0.04,0.04,250000,0.04
2011-06-13,0.04,0.04,0.04,0.04,1080000,0.04
2011-06-10,0.04,0.04,0.04,0.04,1216000,0.04
2011-06-09,0.04,0.04,0.04,0.04,000,0.04
2011-06-08,0.04,0.04,0.04,0.04,000,0.04
2011-06-07,0.04,0.04,0.04,0.04,55000,0.04
2011-06-06,0.04,0.04,0.04,0.04,250000,0.04
2011-06-03,0.04,0.04,0.04,0.04,300000,0.04
2011-06-02,0.04,0.04,0.04,0.04,000,0.04
2011-06-01,0.04,0.04,0.04,0.04,510000,0.04
2011-05-31,0.04,0.04,0.04,0.04,580000,0.04
2011-05-30,0.04,0.04,0.04,0.04,1270000,0.04
2011-05-27,0.04,0.04,0.04,0.04,4400000,0.04
2011-05-26,0.04,0.04,0.04,0.04,630000,0.04
2011-05-25,0.04,0.04,0.04,0.04,430000,0.04
2011-05-24,0.04,0.04,0.04,0.04,711000,0.04
2011-05-23,0.04,0.05,0.04,0.05,826000,0.05
2011-05-20,0.04,0.04,0.04,0.04,230000,0.04
2011-05-19,0.05,0.05,0.04,0.04,510000,0.04
2011-05-18,0.04,0.04,0.04,0.04,225000,0.04
2011-05-16,0.04,0.04,0.04,0.04,1875000,0.04
2011-05-13,0.05,0.05,0.04,0.04,700000,0.04
2011-05-12,0.04,0.04,0.04,0.04,690000,0.04
2011-05-11,0.04,0.04,0.04,0.04,130000,0.04
2011-05-10,0.04,0.05,0.04,0.04,000,0.04
2011-05-09,0.04,0.05,0.04,0.04,000,0.04
2011-05-06,0.04,0.04,0.04,0.04,100000,0.04
2011-05-05,0.04,0.05,0.04,0.04,3411000,0.04
2011-05-04,0.04,0.05,0.04,0.04,3808000,0.04
2011-05-03,0.04,0.04,0.04,0.04,2841000,0.04
2011-04-29,0.04,0.05,0.04,0.05,2309000,0.05
2011-04-28,0.05,0.05,0.04,0.04,22000,0.04
2011-04-27,0.04,0.05,0.04,0.04,000,0.04
2011-04-26,0.05,0.05,0.04,0.05,54000,0.05
2011-04-25,0.04,0.05,0.04,0.05,261000,0.05
2011-04-21,0.05,0.05,0.04,0.04,235000,0.04
2011-04-20,0.04,0.04,0.04,0.04,20000,0.04
2011-04-19,0.04,0.04,0.04,0.04,50000,0.04
2011-04-18,0.04,0.05,0.04,0.04,000,0.04
2011-04-15,0.05,0.05,0.05,0.05,1268000,0.05
2011-04-14,0.05,0.05,0.04,0.04,305000,0.04
2011-04-13,0.05,0.05,0.05,0.05,590000,0.05
2011-04-12,0.04,0.05,0.04,0.04,000,0.04
2011-04-11,0.05,0.05,0.05,0.05,461000,0.05
2011-04-08,0.05,0.05,0.04,0.05,718000,0.05
2011-04-07,0.05,0.05,0.05,0.05,400000,0.05
2011-04-06,0.05,0.05,0.05,0.05,911000,0.05
2011-04-05,0.05,0.05,0.05,0.05,877000,0.05
2011-04-04,0.05,0.05,0.05,0.05,410000,0.05
2011-04-01,0.05,0.05,0.05,0.05,255000,0.05
2011-03-31,0.05,0.05,0.05,0.05,1200000,0.05
2011-03-30,0.05,0.05,0.05,0.05,118000,0.05
2011-03-29,0.05,0.05,0.05,0.05,2044000,0.05
2011-03-28,0.05,0.05,0.05,0.05,769000,0.05
2011-03-25,0.05,0.05,0.05,0.05,580000,0.05
2011-03-24,0.05,0.05,0.05,0.05,1200000,0.05
2011-03-23,0.05,0.05,0.05,0.05,000,0.05
2011-03-22,0.05,0.05,0.05,0.05,6531000,0.05
2011-03-21,0.05,0.05,0.05,0.05,2442000,0.05
2011-03-18,0.04,0.05,0.04,0.05,2894000,0.05
2011-03-17,0.05,0.05,0.05,0.05,000,0.05
2011-03-16,0.05,0.05,0.05,0.05,240000,0.05
2011-03-15,0.05,0.05,0.05,0.05,5095000,0.05
2011-03-14,0.05,0.05,0.05,0.05,200000,0.05
2011-03-11,0.05,0.05,0.05,0.05,80000,0.05
2011-03-10,0.05,0.05,0.05,0.05,100000,0.05
2011-03-09,0.05,0.05,0.05,0.05,1863000,0.05
2011-03-08,0.05,0.05,0.05,0.05,323000,0.05
2011-03-07,0.05,0.05,0.05,0.05,571000,0.05
2011-03-04,0.05,0.05,0.05,0.05,3310000,0.05
2011-03-03,0.05,0.05,0.05,0.05,180000,0.05
2011-03-02,0.05,0.05,0.05,0.05,5711000,0.05
2011-03-01,0.05,0.05,0.05,0.05,6834000,0.05
2011-02-28,0.05,0.05,0.05,0.05,2544000,0.05
2011-02-25,0.05,0.05,0.05,0.05,380000,0.05
2011-02-24,0.05,0.05,0.05,0.05,6694000,0.05
2011-02-23,0.05,0.05,0.05,0.05,6412000,0.05
2011-02-22,0.05,0.05,0.05,0.05,2447000,0.05
2011-02-21,0.05,0.05,0.05,0.05,1542000,0.05
2011-02-18,0.05,0.05,0.05,0.05,160000,0.05
2011-02-17,0.05,0.05,0.05,0.05,350000,0.05
2011-02-16,0.05,0.05,0.05,0.05,750000,0.05
2011-02-15,0.05,0.05,0.05,0.05,9190000,0.05
2011-02-14,0.05,0.05,0.05,0.05,577000,0.05
2011-02-11,0.05,0.05,0.05,0.05,1303000,0.05
2011-02-10,0.05,0.05,0.05,0.05,1365000,0.05
2011-02-09,0.05,0.05,0.05,0.05,2645000,0.05
2011-02-08,0.05,0.06,0.05,0.05,10688000,0.05
2011-02-07,0.05,0.05,0.05,0.05,1125000,0.05
2011-02-02,0.05,0.05,0.05,0.05,5000,0.05
2011-02-01,0.05,0.05,0.05,0.05,303000,0.05
2011-01-31,0.05,0.05,0.05,0.05,1701000,0.05
2011-01-28,0.05,0.05,0.05,0.05,2307000,0.05
2011-01-27,0.05,0.05,0.05,0.05,1943000,0.05
2011-01-26,0.05,0.05,0.05,0.05,1485000,0.05
2011-01-25,0.05,0.05,0.05,0.05,000,0.05
2011-01-24,0.05,0.05,0.05,0.05,1572000,0.05
2011-01-21,0.05,0.06,0.05,0.05,21412000,0.05
2011-01-20,0.05,0.05,0.05,0.05,316000,0.05
2011-01-19,0.05,0.05,0.05,0.05,1433000,0.05
2011-01-18,0.05,0.05,0.05,0.05,430000,0.05
2011-01-17,0.05,0.05,0.05,0.05,3746000,0.05
2011-01-14,0.05,0.05,0.05,0.05,370000,0.05
2011-01-13,0.05,0.05,0.05,0.05,1251000,0.05
2011-01-12,0.05,0.05,0.05,0.05,821000,0.05
2011-01-11,0.05,0.05,0.05,0.05,2865000,0.05
2011-01-10,0.05,0.05,0.05,0.05,6489000,0.05
2011-01-07,0.05,0.05,0.05,0.05,1210000,0.05
2011-01-06,0.05,0.05,0.05,0.05,1148000,0.05
2011-01-05,0.06,0.06,0.05,0.05,4375000,0.05
2011-01-04,0.06,0.06,0.05,0.05,13621000,0.05
2011-01-03,0.05,0.06,0.05,0.06,20381000,0.06
2010-12-31,0.05,0.05,0.05,0.05,1849000,0.05
2010-12-30,0.05,0.05,0.05,0.05,400000,0.05
2010-12-29,0.05,0.05,0.05,0.05,6265000,0.05
2010-12-28,0.05,0.05,0.05,0.05,4071000,0.05
2010-12-27,0.05,0.05,0.05,0.05,3503000,0.05
2010-12-24,0.05,0.05,0.05,0.05,000,0.05
