Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.30,0.30,0.30,0.30,264000,0.30
2011-08-03,0.29,0.31,0.29,0.30,739000,0.30
2011-08-02,0.31,0.31,0.30,0.31,856000,0.31
2011-08-01,0.33,0.34,0.32,0.33,350000,0.33
2011-07-29,0.33,0.33,0.31,0.32,617000,0.32
2011-07-28,0.34,0.34,0.33,0.34,197000,0.34
2011-07-27,0.34,0.34,0.34,0.34,450000,0.34
2011-07-26,0.34,0.35,0.34,0.34,8527000,0.34
2011-07-25,0.31,0.33,0.30,0.33,2563000,0.33
2011-07-22,0.29,0.31,0.29,0.31,1018000,0.31
2011-07-21,0.29,0.29,0.29,0.29,192000,0.29
2011-07-20,0.29,0.29,0.28,0.29,193000,0.29
2011-07-19,0.28,0.29,0.28,0.29,123000,0.29
2011-07-18,0.29,0.29,0.28,0.28,286000,0.28
2011-07-15,0.29,0.29,0.29,0.29,194000,0.29
2011-07-14,0.30,0.30,0.29,0.30,116000,0.30
2011-07-13,0.30,0.30,0.30,0.30,250000,0.30
2011-07-12,0.30,0.30,0.29,0.30,210000,0.30
2011-07-11,0.31,0.31,0.31,0.31,14000,0.31
2011-07-08,0.31,0.32,0.31,0.32,869000,0.32
2011-07-07,0.31,0.31,0.31,0.31,256000,0.31
2011-07-06,0.31,0.31,0.31,0.31,167000,0.31
2011-07-05,0.31,0.31,0.30,0.30,379000,0.30
2011-07-04,0.31,0.31,0.31,0.31,250000,0.31
2011-07-01,0.31,0.31,0.31,0.31,314000,0.31
2011-06-30,0.31,0.31,0.31,0.31,471000,0.31
2011-06-29,0.31,0.31,0.30,0.30,388000,0.30
2011-06-28,0.30,0.31,0.30,0.31,745000,0.31
2011-06-27,0.29,0.30,0.29,0.29,125000,0.29
2011-06-24,0.29,0.31,0.29,0.31,593000,0.31
2011-06-23,0.29,0.29,0.29,0.29,171000,0.29
2011-06-22,0.30,0.30,0.29,0.29,130000,0.29
2011-06-21,0.29,0.30,0.29,0.30,799000,0.30
2011-06-20,0.29,0.29,0.29,0.29,1095000,0.29
2011-06-17,0.30,0.30,0.28,0.28,1007000,0.28
2011-06-16,0.31,0.31,0.30,0.31,335000,0.31
2011-06-15,0.31,0.31,0.31,0.31,131000,0.31
2011-06-14,0.32,0.32,0.31,0.32,285000,0.32
2011-06-13,0.32,0.32,0.32,0.32,124000,0.32
2011-06-10,0.33,0.33,0.32,0.32,221000,0.32
2011-06-09,0.32,0.32,0.32,0.32,124000,0.32
2011-06-08,0.34,0.34,0.33,0.33,229000,0.33
2011-06-07,0.32,0.34,0.32,0.34,322000,0.34
2011-06-06,0.32,0.32,0.32,0.32,55000,0.32
2011-06-03,0.33,0.34,0.33,0.34,97000,0.34
2011-06-02,0.32,0.32,0.32,0.32,235000,0.32
2011-06-01,0.33,0.34,0.32,0.32,90000,0.32
2011-05-31,0.34,0.34,0.32,0.33,148000,0.33
2011-05-30,0.34,0.34,0.34,0.34,50000,0.34
2011-05-27,0.34,0.34,0.34,0.34,197000,0.34
2011-05-26,0.34,0.34,0.34,0.34,91000,0.34
2011-05-25,0.34,0.34,0.34,0.34,452000,0.34
2011-05-24,0.34,0.34,0.34,0.34,341000,0.34
2011-05-23,0.34,0.34,0.34,0.34,387000,0.34
2011-05-20,0.35,0.35,0.34,0.34,478000,0.34
2011-05-19,0.35,0.35,0.35,0.35,550000,0.35
2011-05-18,0.35,0.36,0.35,0.35,473000,0.35
2011-05-16,0.35,0.35,0.35,0.35,537000,0.35
2011-05-13,0.36,0.36,0.35,0.35,394000,0.35
2011-05-12,0.36,0.37,0.35,0.35,215000,0.35
2011-05-11,0.37,0.37,0.37,0.37,525000,0.37
2011-05-10,0.36,0.37,0.36,0.37,293000,0.37
2011-05-09,0.35,0.36,0.35,0.36,194000,0.36
2011-05-06,0.35,0.35,0.35,0.35,110000,0.35
2011-05-05,0.35,0.35,0.35,0.35,344000,0.35
2011-05-04,0.35,0.35,0.34,0.35,286000,0.35
2011-05-03,0.36,0.36,0.35,0.35,389000,0.35
2011-04-29,0.36,0.36,0.36,0.36,157000,0.36
2011-04-28,0.37,0.37,0.36,0.36,641000,0.36
2011-04-27,0.37,0.38,0.37,0.37,412000,0.37
2011-04-26,0.37,0.37,0.37,0.37,180000,0.37
2011-04-25,0.38,0.38,0.37,0.37,795000,0.37
2011-04-21,0.39,0.39,0.38,0.38,383000,0.38
2011-04-20,0.38,0.39,0.38,0.38,910000,0.38
2011-04-19,0.38,0.38,0.38,0.38,733000,0.38
2011-04-18,0.39,0.40,0.38,0.39,1017000,0.39
2011-04-15,0.40,0.40,0.39,0.39,475000,0.39
2011-04-14,0.40,0.40,0.39,0.40,515000,0.40
2011-04-13,0.40,0.41,0.39,0.40,2011000,0.40
2011-04-12,0.40,0.40,0.38,0.40,1409000,0.40
2011-04-11,0.41,0.42,0.41,0.41,2906000,0.41
2011-04-08,0.41,0.41,0.40,0.41,1121000,0.41
2011-04-07,0.40,0.41,0.40,0.41,3218000,0.41
2011-04-06,0.38,0.40,0.38,0.39,1925000,0.39
2011-04-05,0.40,0.40,0.38,0.38,1018000,0.38
2011-04-04,0.37,0.39,0.37,0.39,4399000,0.39
2011-04-01,0.35,0.37,0.35,0.37,2106000,0.37
2011-03-31,0.35,0.35,0.34,0.35,571000,0.35
2011-03-30,0.35,0.36,0.35,0.35,901000,0.35
2011-03-29,0.34,0.35,0.34,0.34,1010000,0.34
2011-03-28,0.35,0.35,0.34,0.35,344000,0.35
2011-03-25,0.36,0.37,0.35,0.36,1199000,0.36
2011-03-24,0.34,0.36,0.34,0.35,1972000,0.35
2011-03-23,0.34,0.34,0.34,0.34,1061000,0.34
2011-03-22,0.32,0.34,0.31,0.34,6498000,0.34
2011-03-21,0.31,0.32,0.31,0.32,597000,0.32
2011-03-18,0.31,0.31,0.31,0.31,1227000,0.31
2011-03-17,0.31,0.31,0.31,0.31,1280000,0.31
2011-03-16,0.33,0.33,0.31,0.32,2207000,0.32
2011-03-15,0.34,0.34,0.32,0.32,1017000,0.32
2011-03-14,0.35,0.35,0.34,0.35,415000,0.35
2011-03-11,0.36,0.36,0.35,0.35,965000,0.35
2011-03-10,0.37,0.37,0.36,0.36,403000,0.36
2011-03-09,0.38,0.38,0.37,0.37,555000,0.37
2011-03-08,0.36,0.38,0.36,0.38,1076000,0.38
2011-03-07,0.36,0.37,0.36,0.36,156000,0.36
2011-03-04,0.37,0.37,0.36,0.36,806000,0.36
2011-03-03,0.36,0.38,0.36,0.37,1668000,0.37
2011-03-02,0.36,0.36,0.35,0.35,646000,0.35
2011-03-01,0.35,0.37,0.35,0.37,1194000,0.37
2011-02-28,0.37,0.37,0.35,0.35,3366000,0.35
2011-02-25,0.36,0.38,0.36,0.38,2371000,0.38
2011-02-24,0.37,0.37,0.35,0.35,2195000,0.35
2011-02-23,0.37,0.38,0.35,0.38,1905000,0.38
2011-02-22,0.41,0.41,0.37,0.37,3150000,0.37
2011-02-21,0.42,0.42,0.41,0.41,1174000,0.41
2011-02-18,0.41,0.43,0.41,0.41,1771000,0.41
2011-02-17,0.43,0.43,0.41,0.41,2897000,0.41
2011-02-16,0.42,0.43,0.41,0.43,2115000,0.43
